arrival_time_s,input_len,output_len
0.2477,512,32
0.2577,2048,32
0.2841,512,32
0.4234,2048,128
0.5046,128,128
0.6709,512,32
0.7850,512,32
0.9046,512,32
0.9968,512,32
1.0346,512,32
1.2870,2048,32
1.5046,1024,32
1.5504,3072,128
1.6699,512,32
1.8975,2048,512
1.9228,1024,32
2.0358,512,128
2.1524,512,32
2.4005,2048,32
2.6708,1024,32
2.7605,512,32
2.7880,2048,512
2.9208,128,32
2.9238,512,32
3.1576,512,32
3.2574,128,32
3.4000,512,32
3.5373,512,32
3.6688,5120,1024
3.7518,512,32
3.9054,4096,32
4.0338,5120,32
4.1526,3072,128
4.1756,6144,32
4.2568,2048,32
4.4004,128,32
4.7957,5120,32
5.0067,512,32
5.2564,512,32
5.5070,3072,32
5.6485,512,32
5.7583,3072,32
5.8981,2048,32
5.9951,512,32
6.0155,512,32
6.0386,1024,32
6.1523,7168,512
6.3983,512,32
6.6497,512,32
6.7850,512,32
6.9976,512,32
7.1487,512,32
7.4001,512,32
7.4238,2048,512
7.6488,3072,512
7.7817,1024,128
8.1536,512,32
8.2485,3072,512
8.2857,512,32
8.4011,512,32
8.4978,2048,32
8.6516,512,32
8.7444,512,32
8.9010,7168,32
8.9953,2048,32
9.1635,128,32
9.3995,512,32
9.6503,2048,1024
9.7049,512,32
9.7451,4096,32
9.7855,4096,32
9.8989,128,32
9.9955,512,32
10.0390,512,32
10.2447,3072,512
10.4025,512,32
10.4215,1024,32
10.6474,1024,32
10.7472,2048,512
10.9142,1024,32
10.9946,128,32
11.2434,2048,512
11.2873,2048,32
11.4933,128,128
11.5022,3072,128
11.7460,2048,512
11.8974,512,32
11.9982,4096,32
12.2454,512,32
12.4150,128,128
12.6494,2048,128
12.6640,1024,32
12.8997,5120,32
12.9935,512,32
13.1646,512,32
13.2877,4096,32
13.3986,128,32
13.6510,512,32
13.7500,2048,32
13.9029,128,128
13.9965,7168,32
14.2411,1024,32
14.4174,1024,32
14.5902,6144,512
14.7462,512,32
14.7469,128,32
14.8928,6144,512
14.9959,2048,512
15.1650,512,32
15.2451,512,32
15.2972,3072,128
15.3999,512,32
15.5064,3072,32
15.5468,512,32
15.7483,3072,32
15.8981,512,32
15.9963,512,32
16.0418,3072,512
16.1557,4096,32
16.1595,2048,512
16.3952,512,32
16.5022,512,32
16.6516,5120,32
16.7483,512,32
16.7552,128,32
16.9060,512,32
17.0018,1024,32
17.1430,1024,32
17.1500,512,32
17.4111,512,32
17.6562,3072,32
17.7903,3072,512
17.9466,4096,32
18.0031,512,32
18.2513,1024,32
18.4262,2048,512
18.6445,1024,128
18.6724,2048,32
18.8932,2048,512
18.9054,512,32
19.1558,2048,32
19.2514,2048,32
19.4957,512,32
19.4965,128,32
19.6602,2048,512
19.7445,2048,32
19.7898,7168,32
19.9982,512,32
20.1570,1024,32
20.2459,2048,32
20.5404,512,32
20.6502,5120,32
21.0336,4096,32
21.3916,128,32
21.5036,3072,512
21.6428,3072,512
21.6551,6144,32
21.7566,128,32
21.7941,3072,512
21.8954,128,32
22.2462,3072,32
22.4944,2048,32
22.6281,3072,32
22.6784,2048,32
22.7915,1024,32
22.9229,1024,32
23.0442,128,32
23.3095,128,32
23.4934,512,32
23.6751,512,32
23.7920,5120,32
23.9922,1024,32
24.0440,512,32
24.2456,3072,512
24.3974,512,32
24.4962,3072,128
24.6701,7168,32
24.9977,3072,128
25.1445,512,32
25.2499,2048,512
25.3967,2048,32
25.6590,512,32
25.7939,2048,32
25.9957,512,32
26.0424,32,128
26.2265,3072,32
26.2609,4096,512
26.4002,3072,128
26.4961,4096,512
26.5657,4096,32
26.5732,512,32
26.6571,1024,32
26.6612,512,32
26.9180,512,32
27.0398,2048,32
27.1577,128,128
27.3948,512,32
27.5036,512,128
27.6551,5120,32
27.8951,2048,32
28.0000,1024,512
28.1427,3072,512
28.2492,4096,32
28.4244,1024,32
28.5060,2048,512
28.7464,512,32
28.8956,512,32
29.0001,512,32
29.1421,512,32
29.2501,3072,512
29.2922,512,32
29.5473,2048,512
29.5517,4096,32
29.7698,2048,512
29.7870,512,32
30.0061,512,32
30.1454,512,32
30.1550,4096,512
30.1586,512,32
30.3939,2048,512
30.4220,128,32
30.6552,3072,128
30.7552,512,128
30.8940,5120,32
31.0003,512,32
31.0314,512,32
31.2519,512,32
31.3102,6144,32
31.4193,1024,32
31.7553,2048,128
31.7875,128,32
31.9979,128,32
32.1428,3072,128
32.2837,1024,32
32.3970,2048,32
32.4956,1024,32
32.5055,512,32
32.5414,1024,32
32.7444,512,32
32.9212,512,32
33.1550,128,32
33.2638,512,32
33.3959,3072,128
33.5341,2048,32
33.6468,4096,128
33.7652,3072,512
33.9973,512,32
34.1549,5120,32
34.2468,2048,128
34.2548,512,32
34.5404,3072,512
34.6558,1024,512
34.7436,2048,128
34.9917,512,32
35.1623,1024,32
35.2443,1024,32
35.5008,6144,32
35.6457,512,32
35.7438,512,32
35.9983,512,32
36.0042,2048,32
36.1480,512,32
