arrival_time_s,input_len,output_len
66.7466,3072,32
66.8943,2048,512
66.9954,512,32
67.0454,512,32
67.1657,2048,512
67.4735,1024,32
67.6455,512,32
67.6641,512,32
67.8938,512,128
68.1649,2048,512
68.4957,2048,32
68.5411,1024,32
68.8980,512,32
68.9988,5120,512
69.1452,512,32
69.4964,2048,128
69.6485,2048,32
69.8949,2048,512
70.1425,3072,128
70.4116,128,32
70.6423,2048,32
70.7501,512,32
70.8079,2048,32
70.9977,512,32
71.1443,2048,512
71.1651,2048,128
71.2943,2048,32
71.4200,2048,512
71.5428,512,32
71.6950,2048,32
71.8938,3072,128
72.0002,2048,32
72.2454,2048,32
72.3950,2048,32
72.3990,128,32
72.5011,3072,512
72.6470,4096,32
72.7501,512,32
73.1484,2048,128
73.2919,1024,32
73.5016,1024,32
73.7465,2048,512
73.9070,2048,512
74.0096,512,32
74.2541,2048,128
74.5016,512,32
74.7464,1024,32
74.8981,512,32
75.1628,512,32
75.3933,512,32
75.6539,512,32
75.9078,128,32
76.0392,512,32
76.0547,4096,32
76.1665,128,128
76.2492,2048,32
76.5128,3072,512
76.7503,2048,128
76.8188,4096,1024
77.0000,2048,32
77.1641,128,32
77.2485,512,32
77.4046,2048,512
77.7490,2048,32
77.9041,3072,512
77.9993,512,32
78.1580,512,32
78.4275,2048,128
78.4951,128,32
78.7476,128,32
78.9097,512,32
79.1702,2048,32
79.2838,1024,32
79.6540,512,32
79.7765,512,32
80.1728,4096,512
80.5347,3072,512
80.6722,512,32
80.9954,4096,32
81.0111,512,32
81.2455,512,32
81.4956,512,32
81.7469,2048,32
81.7641,512,32
81.9024,512,32
81.9998,512,32
82.1687,512,32
82.4975,3072,32
82.7992,5120,32
83.0012,1024,32
83.1762,2048,32
83.2489,512,32
83.4986,512,32
83.9339,512,32
84.0352,512,128
84.4231,6144,32
84.5350,128,32
84.9050,2048,32
85.0044,128,32
85.2557,128,128
85.5067,5120,1024
86.0077,2048,512
86.2539,2048,512
86.5036,512,32
86.5058,3072,512
86.9125,3072,32
87.1522,3072,128
87.1705,512,32
87.4260,3072,128
87.6569,512,512
88.0058,3072,128
88.1563,8192,512
88.2550,128,32
88.3996,4096,512
88.7284,3072,32
89.2618,2048,32
89.4000,4096,32
89.6699,512,32
89.7839,512,32
89.9135,1024,128
90.1525,2048,32
90.2471,2048,32
90.4112,3072,32
90.6510,1024,32
90.6540,2048,32
90.9137,512,32
91.0070,2048,128
91.2521,512,32
91.5004,128,32
91.6559,512,32
91.7548,4096,32
91.9961,1024,32
92.1504,3072,128
92.2494,512,32
92.5000,512,32
92.6690,3072,32
92.8085,6144,32
92.9164,4096,32
93.2493,2048,32
93.5043,2048,32
93.9014,512,32
94.5054,2048,1024
94.7476,512,32
94.9141,128,128
95.1644,2048,32
95.4141,3072,128
95.6619,512,32
95.6844,2048,32
95.9013,128,32
96.0009,512,32
96.1517,1024,128
96.2826,1024,128
96.5066,1024,32
96.7500,5120,32
96.9038,512,32
97.2497,2048,32
97.4031,1024,32
97.7520,512,128
98.0000,128,32
98.2502,128,32
98.4000,512,32
98.4990,128,32
98.7474,512,32
99.2485,128,32
99.4928,2048,32
99.6480,4096,512
99.7924,1024,32
99.9925,128,32
100.4966,512,32
100.6528,512,128
100.9958,512,32
101.1596,512,32
101.5033,2048,512
101.7612,512,32
101.9997,512,32
102.0050,128,32
102.3284,512,32
102.4920,128,32
102.5445,512,32
103.0034,2048,32
103.1623,4096,32
103.2608,512,128
103.6769,512,32
103.7498,2048,32
103.9118,2048,32
104.1502,512,32
104.2454,128,128
104.4047,1024,32
104.6562,2048,512
104.9043,512,32
104.9921,128,32
104.9965,2048,128
105.4074,4096,512
105.7502,4096,128
106.1496,6144,32
106.5675,512,128
106.6472,512,32
107.1532,512,32
107.4194,512,32
107.6663,512,32
107.7947,3072,32
107.9987,5120,1024
108.1654,2048,32
108.4277,2048,512
108.5440,4096,32
108.8996,512,32
109.1713,512,32
109.2904,2048,32
109.4958,3072,512
109.7503,512,32
109.9491,512,32
109.9988,3072,32
110.2426,512,32
110.4957,2048,128
110.6481,3072,512
110.8997,1024,512
110.9980,512,32
111.1504,2048,32
111.4946,512,32
111.6462,512,32
111.9056,2048,32
112.2467,512,32
112.4209,512,32
112.7464,3072,32
113.0582,2048,32
113.2929,512,32
113.4960,3072,512
113.7430,512,32
114.0402,3072,512
114.1558,512,32
114.4229,5120,512
114.6601,3072,512
114.7585,3072,128
114.9056,512,32
115.2470,2048,32
115.2873,512,32
115.4258,512,32
115.5576,2048,32
115.7895,512,32
115.9094,1024,32
115.9949,1024,32
116.1737,1024,128
116.4232,1024,32
116.5386,2048,512
116.7555,512,32
117.0401,512,32
117.2536,512,128
117.4312,512,32
117.6429,512,32
117.7421,3072,128
117.9926,512,32
118.1688,512,32
118.4116,128,32
118.5051,512,32
118.6586,6144,512
119.0415,3072,32
119.1824,4096,32
119.4082,512,32
119.7552,2048,32
120.0044,4096,512
120.2497,2048,32
120.4225,512,32
120.5048,512,32
120.6594,512,32
120.9149,1024,32
121.1676,2048,32
121.5499,5120,32
121.7469,512,32
122.0440,128,32
122.4037,2048,128
122.5175,512,32
122.9419,1024,128
123.2475,3072,32
123.4270,512,32
123.5411,512,32
123.7469,512,32
123.7926,2048,512
124.0436,512,32
124.2506,3072,32
124.5376,32,32
124.7833,2048,32
125.1729,512,32
125.5026,128,32
125.5101,128,128
125.6787,512,32
125.9986,512,32
126.2827,512,32
126.4077,512,32
126.5399,512,32
126.7510,1024,128
127.0025,2048,128
127.2511,512,32
127.5043,5120,1024
127.9222,512,32
128.0037,2048,32
128.2489,4096,32
128.5338,512,32
128.6645,1024,128
128.8916,512,32
129.1633,512,32
129.2864,3072,32
129.4965,512,32
129.5412,3072,1024
129.6642,512,32
129.7859,2048,32
129.9990,5120,512
130.1587,2048,32
130.2461,512,32
130.4973,1024,32
130.6619,2048,512
130.7884,512,32
131.1599,3072,512
131.2853,512,32
131.6564,512,32
131.7825,512,32
131.7854,3072,32
132.1521,32,32
