workload_id,input_len,output_len,request_rate,window_seconds,burstiness,description
input8192_r1_o128,8192,128,1,12,1.0,low_rate_long_prompt
input8192_r2_o128,8192,128,2,12,1.0,medium_rate_long_prompt
input8192_r4_o128,8192,128,4,12,1.0,high_rate_long_prompt
input8192_r1_o512,8192,512,1,16,1.0,long_prompt_decode_heavy
