seq,workload_id,duration_s,successful_requests,gpu_stream_count,covered_gpu_stream_count,min_gpu_coverage_ratio,neptune_energy_j,ganymede_energy_j,combined_energy_j,combined_energy_wh,combined_avg_power_w,energy_per_request_j
1,baseline_1p1d,24.623677,4,12,12,1.0,3798.013383,3479.908759,7277.922142,2.021645039,295.566011,1819.480535
2,long_prompt_slo_scaleout,36.573467,16,12,12,1.0,10430.614007,8913.83698,19344.450987,5.373458608,528.920347,1209.028187
3,recovery_scalein,23.672951,4,12,12,1.0,5915.94153,4127.340344,10043.281874,2.789800521,424.251365,2510.820469
