method,policy,decisions_mean,decisions_std,oracle_exists_mean,oracle_exists_std,chosen_exists_mean,chosen_exists_std,no_admit_when_oracle_exists_mean,no_admit_when_oracle_exists_std,false_safe_mean,false_safe_std,saturated_false_safe_mean,saturated_false_safe_std,false_safe_rate_pct_of_chosen_mean,false_safe_rate_pct_of_chosen_std,saturated_false_safe_rate_pct_of_chosen_mean,saturated_false_safe_rate_pct_of_chosen_std,no_admit_rate_pct_of_oracle_mean,no_admit_rate_pct_of_oracle_std,chosen_coverage_pct_mean,chosen_coverage_pct_std,oracle_coverage_pct_mean,oracle_coverage_pct_std,top1_match_rate_pct_mean,top1_match_rate_pct_std,top3_actual_feasible_rate_pct_mean,top3_actual_feasible_rate_pct_std,median_regret_pct_feasible_chosen_mean,median_regret_pct_feasible_chosen_std,p90_regret_pct_feasible_chosen_mean,p90_regret_pct_feasible_chosen_std,median_regret_pct_all_chosen_mean,median_regret_pct_all_chosen_std,p90_regret_pct_all_chosen_mean,p90_regret_pct_all_chosen_std,mean_num_candidates_mean,mean_num_candidates_std,mean_num_measured_feasible_mean,mean_num_measured_feasible_std,mean_num_predicted_feasible_mean,mean_num_predicted_feasible_std
local_base_50,latency_only,802.8,40.94752739787837,250.2,16.513630733427465,321.0,27.16615541441225,10.2,6.220932405998316,128.8,15.449919093639291,108.4,15.852444606432156,40.04404809186113,1.8831669358925058,33.65029406302991,2.340480749267434,4.007058046171406,2.265259117926685,40.13904901652517,4.739393382993085,31.248296824232263,2.8693180173150425,63.805041532725,1.1645622504445499,77.79168827102389,3.4654107004150267,0.0,0.0,10.308566846995108,15.227554615538853,0.0,0.0,3.27587070245526,4.530393388713701,3.2256157635467977,0.22201651193943486,0.8917426545086119,0.11626495513584746,1.122317328333469,0.1386939242074124
local_base_50,latency_plus_saturation,802.8,40.94752739787837,250.2,16.513630733427465,231.6,12.973048986263793,31.2,4.54972526643093,31.8,6.906518659932803,13.2,5.449770637375485,13.779259738163848,3.130223513805245,5.6777253352595825,2.3370255181193142,12.520412500527165,2.0828224382076597,28.930347389628388,2.5234663290994317,31.248296824232263,2.8693180173150425,70.104369877215,7.084467207630698,88.24228756518217,3.1776062487385626,0.0,0.0,29.853632534966465,22.691349357214985,0.0,0.0,19.37434070775796,20.5473049200332,3.2256157635467977,0.22201651193943486,0.8917426545086119,0.11626495513584746,0.8093828972038803,0.1077704585822033
local_base_plus_residual,latency_only,802.8,40.94752739787837,250.2,16.513630733427465,320.2,29.90317708873089,9.6,6.841052550594828,125.0,26.49528259898354,107.6,21.743964679883014,38.763839086072,5.483431042450867,33.354943492650314,3.911377229792151,3.772417725084651,2.5493401237854845,40.06113964294448,5.1998479358590775,31.248296824232263,2.8693180173150425,65.05084738051491,3.515635561242958,78.22656277880644,5.572416073206583,0.0,0.0,10.55488472553078,15.233991573695187,0.0,0.0,9.040947495574645,13.620606835245232,3.2256157635467977,0.22201651193943486,0.8917426545086119,0.11626495513584746,1.1164129856719733,0.15638818053785639
local_base_plus_residual,latency_plus_saturation,802.8,40.94752739787837,250.2,16.513630733427465,226.8,5.449770637375483,31.8,11.924764148611073,25.2,10.73312629199899,9.0,7.035623639735144,11.147900747900747,4.821649151308983,3.97033957033957,3.0902169226218583,12.572927344445171,4.0868503709124235,28.30911038908104,1.571697700535904,31.248296824232263,2.8693180173150425,69.58844079896711,4.195818073621813,88.14656535937999,4.268383263071586,0.0,0.0,19.32344117410234,19.692971677924582,0.0,0.0,19.88669116968166,20.73002946162172,3.2256157635467977,0.22201651193943486,0.8917426545086119,0.11626495513584746,0.8102039152662778,0.11917865624499009
local_retrained_75,latency_only,802.8,40.94752739787837,250.2,16.513630733427465,318.6,31.061229853307477,8.4,2.5099800796022267,119.4,21.14946807841748,104.2,20.0174923504419,37.290980407125,3.7762559523893944,32.483318388048446,3.279371844892245,3.3330480802652955,0.8373064519383419,39.843948339913126,5.134918550651534,31.248296824232263,2.8693180173150425,65.49773871102163,7.341976056503111,78.15538704534056,3.331069730222482,0.0,0.0,2.5752786897727673,2.3361809024475515,0.0,0.0,1.2191573261349284,0.6918765714583855,3.2256157635467977,0.22201651193943486,0.8917426545086119,0.11626495513584746,1.1087313232947862,0.15537491321538158
local_retrained_75,latency_plus_saturation,802.8,40.94752739787837,250.2,16.513630733427465,229.2,13.007690033207282,28.8,8.378544026261364,24.0,8.48528137423857,10.0,8.336666000266533,10.440738982423586,3.62401236505628,4.26224853846921,3.5120555973868224,11.506920645178504,3.333910433922425,28.60421106569309,2.1180599961931525,31.248296824232263,2.8693180173150425,70.74454005141192,7.9016286248483985,87.90289918700172,2.6789276897984227,0.0,0.0,17.523816599671864,33.39770325517091,0.0,0.0,23.819418978626405,31.408468381099045,3.2256157635467977,0.22201651193943486,0.8917426545086119,0.11626495513584746,0.8265309172499193,0.1266985481616587
shared_base,latency_only,802.8,40.94752739787837,250.2,16.513630733427465,293.4,25.928748523598284,24.0,9.9498743710662,116.4,18.902380802428034,97.2,17.569860557215588,39.49625981891227,3.702118982888214,32.96493101549767,3.873561753398591,9.533937061615523,3.741306328340684,36.68652249356578,4.383624089086324,31.248296824232263,2.8693180173150425,60.35377623752579,6.182169324884331,75.21052602507059,5.08883091805838,0.0,0.0,23.16512324523415,26.8376349284983,0.0,0.0,10.1374543799964,6.469148287800216,3.2256157635467977,0.22201651193943486,0.8917426545086119,0.11626495513584746,1.0085385878489326,0.1787582387850644
shared_base,latency_plus_saturation,802.8,40.94752739787837,250.2,16.513630733427465,202.2,13.349157276772196,54.0,6.0,27.0,5.612486080160912,9.6,7.765307463326871,13.28110336525484,2.1560321763176216,4.6187740717895,3.62891141863677,21.588913688692262,2.053540603262089,25.282174009246646,2.6563272450468145,31.248296824232263,2.8693180173150425,64.9054414395627,8.870523200052348,85.19053094270247,3.949061341598843,0.0,0.0,51.609273429035355,28.15656431694729,0.0,0.0,47.56126611723117,24.74111078990515,3.2256157635467977,0.22201651193943486,0.8917426545086119,0.11626495513584746,0.7099139386740267,0.12155423917462162
shared_plus_gpu_adapter,latency_only,802.8,40.94752739787837,250.2,16.513630733427465,301.8,32.90440699967103,19.2,6.906518659932803,119.6,28.280735492557476,98.6,22.656124999655173,39.173480590526836,6.268528181020222,32.3464662804363,5.000626852413873,7.670554592211682,2.7585208439026543,37.76729669613015,5.341655175151048,31.248296824232263,2.8693180173150425,62.95322113257762,6.1983685989048105,75.1191380269112,3.9218476954236743,0.0,0.0,11.720794249582942,9.69388426643128,0.0,0.0,6.648965913014631,3.930878384080704,3.2256157635467977,0.22201651193943486,0.8917426545086119,0.11626495513584746,1.0379789757265914,0.18573914245691694
shared_plus_gpu_adapter,latency_plus_saturation,802.8,40.94752739787837,250.2,16.513630733427465,213.0,16.015617378046965,44.4,16.211107303327555,28.2,7.8230428862431785,9.0,6.0,13.17914328783894,3.1593906946356936,4.268503398938181,2.8411453951120738,17.690576406694152,6.333235641978713,26.610127054000863,2.65875213091624,31.248296824232263,2.8693180173150425,66.61276763708092,7.893111398340468,85.32786681771267,6.008481349526192,0.0,0.0,51.28576134573653,28.266320675860968,0.0,0.0,43.428300576334486,15.464556768222701,3.2256157635467977,0.22201651193943486,0.8917426545086119,0.11626495513584746,0.7343534919470356,0.1282367901725942
