time_start_s,time_end_s,component,samples,running_avg,running_max,waiting_avg,waiting_max,gpu_cache_usage_avg,gpu_cache_usage_max
0.0,5.0,decode,5,0.0,0.0,0.0,0.0,,
0.0,5.0,prefill,5,0.0,0.0,0.0,0.0,,
5.0,10.0,decode,5,0.0,0.0,0.0,0.0,,
5.0,10.0,prefill,5,0.0,0.0,0.0,0.0,,
10.0,15.0,decode,5,0.0,0.0,0.0,0.0,,
10.0,15.0,prefill,5,0.0,0.0,0.0,0.0,,
15.0,20.0,decode,5,10.4,23.0,0.0,0.0,,
15.0,20.0,prefill,5,7.4,20.0,0.2,1.0,,
20.0,25.0,decode,5,32.0,32.0,17.6,32.0,,
20.0,25.0,prefill,5,15.2,20.0,44.0,68.0,,
25.0,30.0,decode,5,30.8,32.0,43.2,64.0,,
25.0,30.0,prefill,5,15.2,20.0,109.6,136.0,,
30.0,35.0,decode,5,32.0,32.0,70.4,84.0,,
30.0,35.0,prefill,5,15.2,20.0,181.0,201.0,,
35.0,40.0,decode,5,26.8,32.0,99.6,116.0,,
35.0,40.0,prefill,5,15.2,20.0,246.4,267.0,,
40.0,45.0,decode,5,32.0,32.0,122.8,140.0,,
40.0,45.0,prefill,5,15.2,20.0,302.8,320.0,,
45.0,50.0,decode,5,32.0,32.0,148.4,160.0,,
45.0,50.0,prefill,5,15.2,20.0,298.4,308.0,,
50.0,55.0,decode,5,32.0,32.0,176.4,192.0,,
50.0,55.0,prefill,5,15.2,20.0,269.2,276.0,,
55.0,60.0,decode,5,32.0,32.0,199.6,212.0,,
55.0,60.0,prefill,5,16.8,20.0,242.0,256.0,,
60.0,65.0,decode,5,32.0,32.0,234.0,244.0,,
60.0,65.0,prefill,5,15.2,20.0,208.8,224.0,,
65.0,70.0,decode,5,32.0,32.0,258.4,268.0,,
65.0,70.0,prefill,5,15.2,20.0,187.2,206.0,,
70.0,75.0,decode,5,32.0,32.0,281.6,300.0,,
70.0,75.0,prefill,5,15.2,20.0,165.6,180.0,,
75.0,80.0,decode,5,32.0,32.0,312.4,320.0,,
75.0,80.0,prefill,5,15.2,20.0,133.6,148.0,,
80.0,85.0,decode,5,26.8,32.0,336.4,352.0,,
80.0,85.0,prefill,5,15.2,20.0,106.8,116.0,,
85.0,90.0,decode,5,32.0,32.0,362.0,372.0,,
85.0,90.0,prefill,5,15.2,20.0,80.8,96.0,,
90.0,95.0,decode,5,32.0,32.0,394.0,404.0,,
90.0,95.0,prefill,5,15.2,20.0,48.8,64.0,,
95.0,100.0,decode,5,30.8,32.0,420.8,428.0,,
95.0,100.0,prefill,5,15.2,20.0,27.2,46.0,,
100.0,105.0,decode,5,29.6,32.0,449.6,480.0,,
100.0,105.0,prefill,5,11.2,20.0,6.8,20.0,,
105.0,110.0,decode,5,29.2,32.0,466.4,468.0,,
105.0,110.0,prefill,5,2.4,12.0,0.0,0.0,,
110.0,115.0,decode,5,32.0,32.0,468.0,480.0,,
110.0,115.0,prefill,5,0.0,0.0,0.0,0.0,,
115.0,120.0,decode,5,30.8,32.0,464.6,468.0,,
115.0,120.0,prefill,5,2.6,13.0,0.0,0.0,,
120.0,125.0,decode,5,32.0,32.0,457.2,480.0,,
120.0,125.0,prefill,5,0.0,0.0,0.0,0.0,,
125.0,130.0,decode,5,32.0,32.0,387.0,417.0,,
125.0,130.0,prefill,5,0.0,0.0,0.0,0.0,,
130.0,135.0,decode,5,32.0,32.0,316.6,339.0,,
130.0,135.0,prefill,5,0.0,0.0,0.0,0.0,,
135.0,140.0,decode,5,26.8,32.0,248.6,269.0,,
135.0,140.0,prefill,5,0.0,0.0,0.0,0.0,,
140.0,145.0,decode,5,30.8,32.0,175.8,205.0,,
140.0,145.0,prefill,5,0.0,0.0,0.0,0.0,,
145.0,150.0,decode,5,32.0,32.0,107.8,141.0,,
145.0,150.0,prefill,5,0.0,0.0,0.0,0.0,,
150.0,155.0,decode,5,32.0,32.0,35.0,65.0,,
150.0,155.0,prefill,5,0.0,0.0,0.0,0.0,,
155.0,160.0,decode,3,10.666666666666666,19.0,0.0,0.0,,
155.0,160.0,prefill,3,0.0,0.0,0.0,0.0,,
