bin,request_index_start,request_index_end,nominal_send_start_s,nominal_send_end_s,count,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms
1,1,160,0.0,5.0,160,3967.958753462881,7205.108266277238,7414.974616765976,,,,,,
2,161,320,5.0,10.0,160,10592.533498478588,13712.008102447726,13868.082244452089,,,,,,
3,321,480,10.0,15.0,160,17379.487535974476,20450.75540036778,20680.59352526092,,,,,,
4,481,640,15.0,20.0,160,23752.281503460836,27215.028951648856,27374.755763824796,,,,,,
5,641,800,20.0,25.0,160,30380.41839352809,33429.77442673873,33666.700891996734,,,,,,
6,801,960,25.0,30.0,160,34674.635156523436,35159.228705911664,35164.60776124732,,,,,,
7,961,1120,30.0,35.0,160,34693.341261474416,35183.19359730231,35196.87312884955,,,,,,
8,1121,1280,35.0,40.0,160,34716.46727697225,35208.98210363812,35214.923575444845,,,,,,
9,1281,1440,40.0,45.0,160,34704.06275847927,35193.52928281878,35201.10924543929,,,,,,
10,1441,1600,45.0,50.0,160,34604.893999465276,35141.06878992752,35185.53781220107,,,,,,
11,1601,1760,50.0,55.0,160,34442.456166027114,34532.543186697876,34988.88437679736,,,,,,
12,1761,1920,55.0,60.0,160,34302.13454598561,34806.230557046365,34863.57552008005,,,,,,
