unix_ts,seq,phase,workload_id,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib
1784715749.189130645,0,server_start,none,28294395577,7593262716,0, 16.11, 210, 0
1784715749.810815972,0,server_start,none,28294412039,7593284955,0, 16.11, 210, 0
1784715750.450686465,0,server_start,none,28294412039,7593284955,0, 16.11, 210, 0
1784715751.074280216,0,server_start,none,28294492351,7593382315,0, 16.16, 210, 0
1784715751.695165651,0,server_start,none,28294646953,7593575369,0, 16.16, 210, 0
1784715752.318950064,0,server_start,none,28294646953,7593575369,0, 16.16, 210, 0
1784715752.940105968,0,server_start,none,28294807771,7593762477,0, 16.16, 210, 0
1784715753.562159922,0,server_start,none,28294977607,7593974011,0, 16.16, 210, 0
1784715754.182554505,0,server_start,none,28294977607,7593974011,0, 16.20, 210, 0
1784715754.803350725,0,server_start,none,28295182265,7594177193,0, 16.16, 210, 0
1784715755.424669984,0,server_start,none,28295182265,7594177193,0, 16.16, 210, 0
1784715756.046052300,0,server_start,none,28295954621,7594855231,0, 16.11, 210, 0
1784715756.663334671,0,server_start,none,28296740119,7595538265,0, 16.16, 210, 0
1784715757.285834133,0,server_start,none,28296740119,7595538265,0, 16.16, 210, 0
1784715757.906147535,0,server_start,none,28297492721,7596193013,0, 16.11, 210, 0
1784715758.526500644,0,server_start,none,28297492721,7596193013,0, 16.11, 210, 0
1784715759.147699361,0,server_start,none,28297814253,7596470327,0, 16.11, 210, 0
1784715759.765881196,0,server_start,none,28298134173,7596767665,0, 16.16, 210, 0
1784715760.388317089,0,server_start,none,28298134173,7596767665,0, 16.16, 210, 0
1784715761.011515754,0,server_start,none,28298579719,7597166521,0, 16.16, 210, 0
1784715761.632575186,0,server_start,none,28298579719,7597166521,0, 16.16, 210, 0
1784715762.252567220,0,server_start,none,28298680113,7597257943,0, 16.16, 210, 0
1784715762.874630060,0,server_start,none,28299130285,7597680277,0, 16.16, 210, 0
1784715763.496709509,0,server_start,none,28299130285,7597680277,0, 16.16, 210, 0
1784715764.117997275,0,server_start,none,28299650667,7598174751,0, 16.16, 210, 0
1784715764.740553962,0,server_start,none,28299650667,7598174751,0, 16.16, 210, 0
1784715765.362006780,0,server_start,none,28300169465,7598671681,0, 16.16, 210, 0
1784715765.983842678,0,server_start,none,28300694459,7599171403,0, 16.16, 210, 0
1784715766.605349432,0,server_start,none,28300694459,7599171403,0, 16.16, 210, 0
1784715767.231430425,0,server_start,none,28301038798,7599495620,0, 16.16, 210, 0
1784715767.851296024,0,server_start,none,28301038798,7599495620,0, 16.16, 210, 0
1784715768.476493919,0,server_start,none,28301226580,7599670013,0, 16.16, 210, 0
1784715769.102225805,0,server_start,none,28301495183,7599929596,0, 16.16, 210, 0
1784715769.726009901,0,server_start,none,28301495183,7599929596,0, 16.16, 210, 0
1784715770.348871344,0,server_start,none,28301534011,7599967758,0, 16.16, 210, 0
1784715770.971674335,0,server_start,none,28301616915,7600049994,0, 16.16, 210, 0
1784715771.596977527,0,server_start,none,28301616915,7600049994,0, 16.16, 210, 0
1784715772.226238627,0,server_start,none,28301706405,7600135292,0, 16.16, 210, 0
1784715772.846627791,0,server_start,none,28301706405,7600135292,0, 16.16, 210, 0
1784715773.469883107,0,server_start,none,28301831675,7600263768,0, 16.16, 210, 0
1784715774.090538542,0,server_start,none,28302018529,7600423268,0, 16.16, 210, 0
1784715774.716035731,0,server_start,none,28302018529,7600423268,0, 16.16, 210, 0
1784715775.337112449,0,server_start,none,28302134891,7600524458,0, 16.16, 210, 0
1784715775.959104272,0,server_start,none,28302134891,7600524458,0, 16.16, 210, 0
1784715776.577971332,0,server_start,none,28302319477,7600715140,0, 16.16, 210, 0
1784715777.193097629,0,server_start,none,28302876961,7601280472,0, 16.16, 210, 0
1784715777.812009647,0,server_start,none,28302876961,7601280472,0, 16.16, 210, 0
1784715778.432938866,0,server_start,none,28303326795,7601741688,0, 16.16, 210, 0
1784715779.054679294,0,server_start,none,28303326795,7601741688,3, 18.09, 2040, 227
1784715779.670134924,0,server_start,none,28303694213,7602126316,0, 20.78, 2040, 225
1784715780.287043542,0,server_start,none,28304135621,7602557892,1, 27.13, 2040, 665
1784715780.905049551,0,server_start,none,28304135621,7602557892,0, 26.95, 2040, 665
1784715781.522191383,0,server_start,none,28304522651,7602924010,0, 26.90, 2040, 14147
1784715782.144759685,0,server_start,none,28304522651,7602924010,0, 27.00, 2040, 14147
1784715782.773089279,0,server_start,none,28304603049,7602984708,10, 27.62, 2040, 14147
