seq,workload_id,input_len,output_len,request_rate,baseline_energy_j,scheduler_energy_j,scheduler_energy_delta_percent,baseline_avg_power_w,scheduler_avg_power_w,baseline_energy_per_request_j,scheduler_energy_per_request_j,baseline_p99_ttft_ms,scheduler_p99_ttft_ms,baseline_p99_tpot_ms,scheduler_p99_tpot_ms
1,short_r1,32,32,1.0,4380.314762733531,4417.485112158918,0.8485771328951464,124.16201530169438,92.60520948872508,365.02623022779426,368.1237593465765,240.75,261.09,58.1,64.74
2,prefill_r1,512,128,1.0,5960.246138505994,4730.0129180198255,-20.640644562282137,140.063340754181,105.8815940605785,496.68717820883285,394.1677431683188,293.18,366.1,61.09,66.04
3,burst_r10,128,32,10.0,4687.124328908922,3797.2618413785476,-18.9852546057279,146.08842340473475,117.40103882771768,46.871243289089215,37.972618413785476,378.75,386.9,62.19,63.78
