unix_ts,event,seq,workload_id
1784715815.288820267,workload_start,1,short_r1
1784715850.567844629,workload_end,1,short_r1
1784715850.739948273,workload_start,2,prefill_r1
1784715893.293882132,workload_end,2,prefill_r1
1784715893.359198093,workload_start,3,burst_r10
1784715925.443357944,workload_end,3,burst_r10
