unix_ts,event,seq,workload_id,policy
1784841703.930746553,workload_start,1,steady_start,latency_plus_saturation
1784841735.863737259,workload_end,1,steady_start,latency_plus_saturation
1784841743.649833009,workload_start,2,short_ramp,latency_plus_saturation
1784841778.747702689,workload_end,2,short_ramp,latency_plus_saturation
1784841785.495629746,workload_start,3,prefill_shift,latency_plus_saturation
1784841816.673682702,workload_end,3,prefill_shift,latency_plus_saturation
1784841823.495974695,workload_start,4,decode_shift,latency_plus_saturation
1784841868.472624026,workload_end,4,decode_shift,latency_plus_saturation
1784841874.092008894,workload_start,5,sudden_burst,latency_plus_saturation
1784841903.804303594,workload_end,5,sudden_burst,latency_plus_saturation
1784841911.613725446,workload_start,6,short_recovery,latency_plus_saturation
1784841946.027644373,workload_end,6,short_recovery,latency_plus_saturation
1784841952.809060188,workload_start,7,long_prefill,latency_plus_saturation
1784841983.787157800,workload_end,7,long_prefill,latency_plus_saturation
1784841990.568051519,workload_start,8,mixed_pressure,latency_plus_saturation
1784842037.701425646,workload_end,8,mixed_pressure,latency_plus_saturation
1784842044.399884527,workload_start,9,quiet_window,latency_plus_saturation
