actual_benchmark_duration_s,actual_failed_requests,actual_measured_saturated,actual_output_token_throughput_tps,actual_p99_itl_ms,actual_p99_tpot_ms,actual_p99_ttft_ms,actual_request_throughput_rps,actual_successful_requests,actual_throughput_ratio,actual_total_token_throughput_tps,actual_tpot_slo_ok,actual_ttft_slo_ok,combined_avg_power_w,combined_energy_j,configured_request_rate_rps,decision_mode,decision_status,decode_ganymede_gpu_mem_clock_avg_mhz,decode_ganymede_gpu_mem_clock_max_mhz,decode_ganymede_gpu_mem_util_avg_pct,decode_ganymede_gpu_mem_util_max_pct,decode_ganymede_gpu_memory_used_avg_mib,decode_ganymede_gpu_memory_used_max_mib,decode_ganymede_gpu_power_avg_w,decode_ganymede_gpu_power_limit_avg_w,decode_ganymede_gpu_power_limit_max_w,decode_ganymede_gpu_power_max_w,decode_ganymede_gpu_pstate_mode,decode_ganymede_gpu_sm_clock_avg_mhz,decode_ganymede_gpu_sm_clock_max_mhz,decode_ganymede_gpu_sm_clock_min_mhz,decode_ganymede_gpu_temperature_avg_c,decode_ganymede_gpu_temperature_max_c,decode_ganymede_gpu_util_avg_pct,decode_ganymede_gpu_util_max_pct,decode_ganymede_network_rx_bytes,decode_ganymede_network_tx_bytes,decode_ganymede_samples,decode_ganymede_target_freq_mhz,decode_gpu,decode_predicted_p99_tpot_ms,decode_predicted_p_saturated,decode_target_freq_mhz,energy_per_request_j,input_len,num_candidates,num_safe,output_len,predicted_cluster_power_w,prefill_gpu,prefill_neptune_gpu_mem_clock_avg_mhz,prefill_neptune_gpu_mem_clock_max_mhz,prefill_neptune_gpu_mem_util_avg_pct,prefill_neptune_gpu_mem_util_max_pct,prefill_neptune_gpu_memory_used_avg_mib,prefill_neptune_gpu_memory_used_max_mib,prefill_neptune_gpu_power_avg_w,prefill_neptune_gpu_power_limit_avg_w,prefill_neptune_gpu_power_limit_max_w,prefill_neptune_gpu_power_max_w,prefill_neptune_gpu_pstate_mode,prefill_neptune_gpu_sm_clock_avg_mhz,prefill_neptune_gpu_sm_clock_max_mhz,prefill_neptune_gpu_sm_clock_min_mhz,prefill_neptune_gpu_temperature_avg_c,prefill_neptune_gpu_temperature_max_c,prefill_neptune_gpu_util_avg_pct,prefill_neptune_gpu_util_max_pct,prefill_neptune_network_rx_bytes,prefill_neptune_network_tx_bytes,prefill_neptune_samples,prefill_neptune_target_freq_mhz,prefill_predicted_p99_ttft_ms,prefill_predicted_p_saturated,prefill_target_freq_mhz,recommended_is_safe,seq,workload_id
14.2,0,True,27.04,73.68,64.8,280.99,0.85,12,0.85,53.24,True,True,96.395584,3078.199286,1.0,safe_min_power,OK,6251.0,6251.0,44.078431,100.0,18668.411765,18677.0,35.061176,72.0,72.0,55.74,P0,360.0,360.0,360.0,40.941176,44.0,44.705882,100.0,59652947.0,2664317.0,51,360.0,l4,154.4,0.079869,360,256.516607,32,40,30,32,147.8,l40s,9001.0,9001.0,0.490909,27.0,37816.054545,37817.0,61.133091,350.0,350.0,75.37,P0,480.0,480.0,480.0,27.0,27.0,0.709091,38.0,2666335.0,59305906.0,55,480.0,112.4,0.024298,480,True,1,steady_start
14.39,0,True,106.76,83.17,69.31,412.03,3.34,48,0.835,210.19,True,True,98.672865,3463.207352,4.0,safe_min_power,OK,6251.0,6251.0,46.160714,100.0,18687.892857,18715.0,34.843929,72.0,72.0,55.89,P0,360.0,360.0,360.0,43.607143,47.0,45.892857,100.0,219803554.0,4395384.0,56,360.0,l4,133.1,0.081364,360,72.150153,32,40,30,32,161.7,l40s,9001.0,9001.0,2.557377,32.0,37817.0,37817.0,63.61541,350.0,350.0,90.68,P0,210.0,210.0,210.0,27.311475,28.0,7.47541,98.0,779386.0,216092277.0,61,210.0,142.7,0.125887,210,True,2,short_ramp
14.23,0,True,80.93,74.86,65.08,433.72,2.53,36,0.843333,402.14,True,True,102.669744,3201.042714,3.0,safe_min_power,OK,6251.0,6251.0,51.020408,100.0,18748.959184,18811.0,37.6,72.0,72.0,57.02,P0,570.0,570.0,570.0,46.020408,49.0,50.938776,100.0,652639127.0,3562510.0,49,570.0,l4,163.4,0.093087,570,88.917853,128,40,18,32,177.2,l40s,9001.0,9001.0,2.240741,30.0,37822.037037,37831.0,64.932222,350.0,350.0,88.31,P0,480.0,480.0,480.0,28.074074,29.0,4.37037,94.0,1253256.0,650538615.0,54,480.0,181.0,0.023551,480,True,3,prefill_shift
20.13,0,True,152.6,74.15,64.39,292.17,1.19,24,0.595,189.56,True,True,114.662769,5157.147161,2.0,overload_min_slo_violation,OVERLOAD_FALLBACK,6251.0,6251.0,61.428571,100.0,18811.0,18811.0,42.470857,72.0,72.0,58.38,P0,780.0,780.0,780.0,48.671429,53.0,61.4,100.0,114194896.0,4205954.0,70,780.0,l4,90.1,0.482318,780,214.881132,32,40,0,128,264.6,l40s,9001.0,9001.0,2.320513,62.0,37831.0,37831.0,71.931282,350.0,350.0,87.93,P0,2265.0,2265.0,2265.0,29.153846,30.0,2.230769,58.0,467343214.0,110871112.0,78,2265.0,75.0,0.088827,2265,False,4,decode_shift
14.21,0,True,180.09,78.89,66.63,405.65,5.63,80,0.70375,894.84,True,True,115.992457,3446.402076,8.0,overload_min_slo_violation,OVERLOAD_FALLBACK,6251.0,6251.0,52.914894,100.0,18860.319149,18933.0,39.666809,72.0,72.0,58.5,P0,780.0,780.0,780.0,50.659574,53.0,52.638298,100.0,1425904002.0,4871890.0,47,780.0,l4,212.8,0.404959,780,43.080026,128,40,0,32,205.6,l40s,9001.0,9001.0,5.196078,29.0,37839.235294,37851.0,75.879216,350.0,350.0,123.31,P0,1755.0,1755.0,1755.0,29.803922,32.0,5.666667,33.0,340427338.0,1424131774.0,51,1755.0,90.6,0.122929,1755,False,5,sudden_burst
14.21,0,True,54.05,76.24,66.3,362.87,1.69,24,0.845,106.41,True,True,96.521348,3321.677854,2.0,safe_min_power,OK,6251.0,6251.0,43.636364,100.0,18933.0,18933.0,35.685455,72.0,72.0,56.54,P0,360.0,360.0,360.0,50.018182,53.0,43.854545,100.0,114115444.0,4106498.0,55,360.0,l4,133.4,0.079869,360,138.403244,32,40,30,32,148.7,l40s,9001.0,9001.0,1.733333,37.0,37851.0,37851.0,60.667333,350.0,350.0,70.89,P0,210.0,210.0,210.0,28.45,29.0,3.916667,94.0,360668236.0,110770099.0,60,210.0,129.2,0.108784,210,True,6,short_recovery
14.28,0,True,53.79,78.92,68.33,485.07,1.68,24,0.84,912.8,True,True,108.441573,3359.313643,2.0,overload_min_slo_violation,OVERLOAD_FALLBACK,6251.0,6251.0,49.22449,100.0,19130.142857,19393.0,37.828776,72.0,72.0,57.17,P0,570.0,570.0,570.0,50.591837,54.0,50.653061,100.0,1757875325.0,4206671.0,49,570.0,l4,666.9,0.16783,570,139.971402,512,40,0,32,190.8,l40s,9001.0,9001.0,2.185185,33.0,37914.222222,38057.0,70.22,350.0,350.0,98.95,P0,1755.0,1755.0,1755.0,29.296296,32.0,2.851852,42.0,278507509.0,1756038521.0,54,1755.0,168.2,0.024257,1755,False,7,long_prefill
22.05,0,True,174.15,78.64,66.51,413.7,1.36,30,0.453333,346.94,True,True,110.093967,5189.100125,3.0,overload_min_slo_violation,OVERLOAD_FALLBACK,6251.0,6251.0,60.702703,100.0,19393.0,19393.0,43.433649,72.0,72.0,58.83,P0,780.0,780.0,780.0,52.175676,56.0,60.432432,100.0,548655014.0,4852868.0,74,780.0,l4,100.4,0.514316,780,172.970004,128,40,0,128,242.6,l40s,9001.0,9001.0,0.962963,26.0,38057.0,38057.0,66.418519,350.0,350.0,79.93,P0,1755.0,1755.0,1755.0,29.222222,31.0,1.012346,26.0,277519038.0,545219876.0,81,1755.0,80.7,0.102249,1755,False,8,mixed_pressure
14.18,0,True,27.08,73.58,64.75,262.33,0.85,12,0.85,53.32,True,True,98.254313,3058.658866,1.0,safe_min_power,OK,6251.0,6251.0,48.489796,100.0,19393.0,19393.0,36.476327,72.0,72.0,57.07,P0,360.0,360.0,360.0,52.285714,55.0,48.102041,100.0,59664094.0,2615815.0,49,360.0,l4,154.4,0.079869,360,254.888239,32,40,30,32,147.8,l40s,9001.0,9001.0,1.166667,56.0,38057.0,38057.0,61.555,350.0,350.0,73.17,P0,480.0,480.0,480.0,28.222222,29.0,1.351852,65.0,362001.0,57567552.0,54,480.0,112.4,0.024298,480,True,9,quiet_window
12.24,0,True,52.28,78.56,68.73,612.33,1.63,20,0.815,1723.55,True,False,121.416576,3898.277764,2.0,overload_min_slo_violation,OVERLOAD_FALLBACK,6251.0,6251.0,41.176471,100.0,19516.529412,19833.0,35.914902,72.0,72.0,58.18,P0,780.0,780.0,780.0,51.509804,54.0,41.45098,100.0,2953017512.0,6215172.0,51,780.0,l4,1138.4,0.351247,780,194.913888,1024,40,0,32,251.4,l40s,9001.0,9001.0,2.428571,35.0,38087.0,38267.0,85.371071,350.0,350.0,137.69,P0,2516.517857,2520.0,2475.0,30.446429,35.0,4.053571,57.0,2654040.0,2949322253.0,56,2520.0,309.9,0.024411,2520,False,10,prefill_peak
