step,gpu_type,gpu_freq_mhz,mem_freq_mhz,tp_degree,input_len,output_len,request_rate,run,num_prompts,benchmark_duration_s,request_throughput_rps,output_token_throughput_tps,total_token_throughput_tps,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p99_itl_ms,avg_power_w,min_power_w,max_power_w,energy_j,avg_gpu_util_pct,avg_mem_util_pct,monitor_samples
step2a,L4,2040,6251,1,32,32,1,1,500,501.96,1.00,31.87,62.75,150.40,158.73,195.25,57.82,57.98,59.55,57.82,57.65,64.70,63.11,28.52,77.56,0,77.5,0.0,10448
step2a,L4,2040,6251,1,32,32,1,2,500,501.95,1.00,31.88,62.76,147.14,154.80,194.55,57.81,58.02,59.38,57.81,57.68,64.26,64.85,31.60,73.85,-0.015,81.4,0.0,9950
step2a,L4,2040,6251,1,32,32,1,3,500,501.95,1.00,31.88,62.76,146.44,153.97,191.15,57.81,58.02,59.39,57.81,57.68,64.25,64.87,31.84,74.00,-0.015,81.3,0.0,9949
step2a,L4,2040,6251,1,32,32,10,1,500,52.04,9.61,307.47,605.34,184.08,184.93,222.77,65.50,66.01,67.64,65.50,66.04,70.76,63.13,31.70,72.67,0,78.2,0.0,1332
step2a,L4,2040,6251,1,32,32,10,2,500,52.04,9.61,307.46,605.31,183.63,182.86,223.97,65.51,66.04,67.68,65.51,65.99,70.81,65.28,31.88,72.70,-0.015,84.0,0.0,1242
step2a,L4,2040,6251,1,32,32,10,3,500,52.04,9.61,307.47,605.33,183.29,182.94,221.92,65.51,66.04,67.67,65.51,66.01,71.36,64.87,31.74,73.12,0,82.5,0.0,1264
step2a,L4,2040,6251,1,32,32,50,1,500,13.14,38.06,1217.78,2397.51,376.66,389.36,548.57,130.37,134.61,156.55,130.37,142.18,196.11,54.46,31.99,72.91,0,47.2,0.0,517
step2a,L4,2040,6251,1,32,32,50,2,500,13.13,38.07,1218.15,2398.24,367.51,379.27,545.10,127.84,131.11,154.47,127.84,119.64,196.50,55.03,32.02,74.13,-0.015,49.8,0.0,499
step2a,L4,2040,6251,1,32,32,50,3,500,13.10,38.18,1221.72,2405.27,360.66,370.81,525.03,125.70,128.16,150.93,125.70,115.01,193.34,53.88,31.54,72.95,-0.015,47.7,0.0,519
step2a,L4,2040,6251,1,32,128,1,1,500,507.60,0.99,126.08,156.62,167.84,167.97,200.86,59.28,59.24,60.73,59.28,58.95,65.99,71.05,31.36,73.11,-0.015,97.8,0.0,10089
step2a,L4,2040,6251,1,32,128,1,2,500,507.58,0.99,126.09,156.62,166.24,165.87,201.55,59.29,59.24,60.73,59.29,58.93,66.16,70.71,31.89,73.61,-0.015,96.9,0.0,10181
step2a,L4,2040,6251,1,32,128,1,3,500,507.58,0.99,126.09,156.63,166.55,165.41,199.15,59.28,59.23,60.73,59.28,58.93,66.06,70.81,31.99,73.47,0,97.2,0.0,10154
step2a,L4,2040,6251,1,32,128,10,1,500,59.83,8.36,1069.66,1328.72,282.00,293.55,349.08,94.55,98.29,99.53,94.55,94.64,114.79,65.74,32.17,73.41,-0.015,80.6,0.0,1542
step2a,L4,2040,6251,1,32,128,10,2,500,59.86,8.35,1069.15,1328.09,281.54,293.72,352.08,94.60,98.29,99.66,94.60,95.22,114.19,65.69,31.88,73.65,-0.015,80.6,0.0,1542
step2a,L4,2040,6251,1,32,128,10,3,500,59.84,8.36,1069.54,1328.56,282.18,295.02,349.86,94.56,98.19,99.61,94.56,94.59,113.84,66.64,32.17,73.16,-0.015,82.7,0.0,1501
step2a,L4,2040,6251,1,32,128,50,1,500,40.22,12.43,1591.31,1976.70,519.18,575.80,707.25,139.65,141.24,148.94,139.65,127.89,257.21,63.89,32.02,73.83,-0.015,65.2,0.0,1163
step2a,L4,2040,6251,1,32,128,50,2,500,40.11,12.46,1595.43,1981.82,523.42,578.66,707.49,139.39,141.22,148.10,139.39,127.60,258.75,63.88,31.92,73.17,0,65.2,0.0,1162
step2a,L4,2040,6251,1,32,128,50,3,500,40.19,12.44,1592.28,1977.91,525.85,579.34,705.75,139.68,141.41,148.75,139.68,127.54,259.76,63.72,31.80,74.59,-0.015,64.8,0.0,1167
step2a,L4,2040,6251,1,32,512,1,1,500,616.02,0.81,415.57,440.73,213.66,215.92,222.09,72.28,72.60,72.64,72.28,72.45,75.06,71.27,31.93,73.33,0,98.3,0.0,12733
step2a,L4,2040,6251,1,32,512,1,2,500,616.00,0.81,415.58,440.75,213.64,216.09,221.15,72.28,72.60,72.64,72.28,72.45,74.82,71.01,31.75,73.33,0,97.6,0.0,12824
step2a,L4,2040,6251,1,32,512,1,3,500,616.02,0.81,415.57,440.74,214.06,216.11,222.44,72.28,72.60,72.64,72.28,72.45,74.84,71,31.84,73.33,0,97.6,0.0,12823
step2a,L4,2040,6251,1,32,512,10,1,500,269.86,1.85,948.64,1006.07,876.11,341.36,7790.59,117.82,117.21,141.90,117.82,111.92,239.22,70.01,31.84,74.01,0,86.3,0.0,6126
