window_id,request_index,request_id,trace_id,client_span_id,planned_send_unix_ns,client_ready_unix_ns,actual_send_unix_ns,response_headers_unix_ns,first_token_unix_ns,completed_unix_ns,planned_to_ready_ms,client_queue_delay_ms,send_lag_ms,ttft_ms,tpot_ms,e2e_ms,planned_input_tokens,actual_input_tokens,max_tokens,actual_output_tokens,token_event_count,stream_chunk_count,token_id_event_count,token_timestamp_complete,http_status,response_request_id,outcome,timeout,cancelled,retry_count,attempt_count,response_bytes,error
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,131,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00131-1599fcbb803c,3dcdd57b425e473bbdc4b7d2453aa4d7,6ee926be1446408b,1785511590837829948,1785511590838551420,1785511590840564864,1785511590848330004,1785511590902949832,1785511591578320332,0.721472,2.013444,2.734916,62.384968,21.78614516129032,737.755468,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00131-1599fcbb803c,success,False,False,0,1,12334,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,132,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00132-bcbec155e1a8,bf7830b270bb444cbd8979eca3b1d5f4,e5721119a2eb472c,1785511590937829948,1785511590939134490,1785511590940966573,1785511590948314486,1785511591012236254,1785511591687441812,1.304542,1.832083,3.136625,71.269681,21.780824451612904,746.475239,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00132-bcbec155e1a8,success,False,False,0,1,12369,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,133,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00133-064eb867a4b5,9c6b3353434246c68ecbe43ec496f02b,dc0fc586f0c74738,1785511591037829948,1785511591038483944,1785511591040445225,1785511591047411538,1785511591100097989,1785511591774826917,0.653996,1.961281,2.615277,59.652764,21.765449290322582,734.381692,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00133-064eb867a4b5,success,False,False,0,1,12337,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,134,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00134-56acff7af5ac,c9851bd370c2441189b105c3b39c00d5,5c70e3f391524b61,1785511591137829948,1785511591138494518,1785511591140579679,1785511591148344238,1785511591208856080,1785511591883925350,0.66457,2.085161,2.749731,68.276401,21.77642806451613,743.345671,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00134-56acff7af5ac,success,False,False,0,1,12337,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,135,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00135-bfe532a72d4a,bea763a4d8484884890b2ec951f89dba,a09c869d4e3c4e59,1785511591237829948,1785511591238049476,1785511591240308292,1785511591247819153,1785511591317730329,1785511591992831330,0.219528,2.258816,2.478344,77.422037,21.77745164516129,752.523038,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00135-bfe532a72d4a,success,False,False,0,1,12337,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,136,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00136-43637588e3ec,4ade20dcb0fb473d9850282a3d2a4ad5,ec5cc9fdc7204b41,1785511591337829948,1785511591338164777,1785511591339763364,1785511591348221213,1785511591405665337,1785511592080841108,0.334829,1.598587,1.933416,65.901973,21.779863580645163,741.077744,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00136-43637588e3ec,success,False,False,0,1,12337,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,137,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00137-5ca91c446a74,412d90bd0db641118b361079999e066b,248a9439817945fb,1785511591437829948,1785511591439510157,1785511591441857770,1785511591451999619,1785511591514632237,1785511592189756220,1.680209,2.347613,4.027822,72.774467,21.778192999999998,747.89845,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00137-5ca91c446a74,success,False,False,0,1,12337,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,138,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00138-31f46d1c7c57,aaa5279461c74230a9ee94ced18677dc,8c54561e43f04646,1785511591537829948,1785511591538620325,1785511591540218275,1785511591547804964,1785511591602687056,1785511592277379830,0.790377,1.59795,2.388327,62.468781,21.764283032258064,737.161555,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00138-31f46d1c7c57,success,False,False,0,1,12384,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,139,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00139-364b7ceb28e1,63999044acf542419d8b4b54c61440bf,053f730416944e10,1785511591637829948,1785511591638538224,1785511591641128514,1785511591648857558,1785511591710556195,1785511592385886840,0.708276,2.59029,3.298566,69.427681,21.784859516129032,744.758326,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00139-364b7ceb28e1,success,False,False,0,1,12337,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,140,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00140-8a46c652498c,5f6c2792681442c08c38d1fec32a3d93,37f9ca1b300e4df7,1785511591737829948,1785511591738482864,1785511591740850520,1785511591748579238,1785511591804064673,1785511592473942863,0.652916,2.367656,3.020572,63.214153,21.60897387096774,733.092343,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00140-8a46c652498c,success,False,False,0,1,12340,
