seq,workload_id,duration_s,successful_requests,gpu_stream_count,covered_gpu_stream_count,min_gpu_coverage_ratio,neptune_energy_j,ganymede_energy_j,combined_energy_j,combined_energy_wh,combined_avg_power_w,energy_per_request_j
1,input512_r2_o128,31.937674,20,4,4,1.0,0.0,2944.673231,8341.151997,2.316986666,261.169674,417.0576
2,input2048_r2_o128,24.834081,20,4,4,1.0,0.0,2601.479848,7451.597371,2.069888159,300.055293,372.579869
3,input4096_r1_o256,33.572425,12,4,4,1.0,0.0,3776.492498,9921.049179,2.755846994,295.51184,826.754098
4,input8192_r1_o128,26.724445,12,4,4,1.0,0.0,2915.80223,8627.162909,2.396434141,322.81916,718.930242
