seq,workload_id,duration_s,successful_requests,gpu_stream_count,covered_gpu_stream_count,min_gpu_coverage_ratio,neptune_energy_j,ganymede_energy_j,combined_energy_j,combined_energy_wh,combined_avg_power_w,energy_per_request_j
1,short_low,29.874569,12,4,4,1.0,0.0,1806.616823,5435.56148,1.509878189,181.946104,452.963457
2,prefill_128,24.100281,48,4,4,1.0,0.0,1761.749527,4894.807919,1.359668866,203.101691,101.975165
3,mixed_512,28.902538,36,4,4,1.0,0.0,2943.311066,6799.20988,1.888669411,235.246122,188.866941
4,prefill_1024,23.836773,24,4,4,1.0,0.0,2289.254805,5676.508047,1.576807791,238.140795,236.521169
5,decode_512,47.428302,24,4,4,1.0,0.0,4135.495981,9820.34316,2.7278731,207.056603,409.180965
