request_id,input_len,requested_output_len,observed_output_tokens,prefill_endpoint_id,decode_endpoint_id,ttft_ms,tpot_ms,mean_itl_ms,e2e_latency_ms,prefill_latency_ms,decode_stream_latency_ms,real_sse,logical_request_id_propagated
phase3c-warm-12-feedback_routing_only-decode_heavy-0000,128,256,256,P0,D0,187.5974909926299,56.024430360868756,56.02168484714211,14473.827233014163,105.87798300548457,14362.704834988108,True,True
phase3c-warm-12-feedback_routing_only-decode_heavy-0001,128,256,256,P0,D1,202.68386500538327,56.02799218042991,56.026902925519856,14489.82187101501,120.65942600020207,14362.637268990511,True,True
phase3c-warm-12-feedback_routing_only-decode_heavy-0002,128,256,256,P1,D0,189.78043098468333,56.02983324320567,56.028519741227555,14477.387908002129,108.45546700875275,14362.473310990026,True,True
phase3c-warm-12-feedback_routing_only-decode_heavy-0003,128,256,256,P1,D1,186.69338800827973,56.0263482901706,56.025205937205065,14473.412202001782,104.92297899327241,14362.246615986805,True,True
