workload_id,input_len,output_len,request_rate,window_seconds,burstiness,description
input512_r2_o128,512,128,2,10,1.0,short_prompt
input2048_r2_o128,2048,128,2,10,1.0,medium_prompt
input4096_r1_o256,4096,256,1,12,1.0,long_prompt
input8192_r1_o128,8192,128,1,12,1.0,very_long_prompt
