gpu_type,phase,slo_ms,target,p_th,rho_th,false_safe,false_unsafe,true_safe,true_unsafe,unsafe_support,safe_support,false_safe_rate_pct,false_unsafe_rate_pct,safe_precision_pct,admit_rate_pct
l40s,prefill,200,p99_ttft,0.5,1.0,3,125,86,323,326,211,0.92,59.24,96.63,16.57
l40s,prefill,200,p99_ttft,0.5,0.9,3,127,84,323,326,211,0.92,60.19,96.55,16.2
l40s,prefill,200,p99_ttft,0.5,0.8,3,128,83,323,326,211,0.92,60.66,96.51,16.01
l40s,prefill,200,p99_ttft,0.5,0.7,3,132,79,323,326,211,0.92,62.56,96.34,15.27
l40s,prefill,200,p99_ttft,0.5,0.6,3,135,76,323,326,211,0.92,63.98,96.2,14.71
l40s,prefill,200,p99_ttft,0.5,0.5,3,135,76,323,326,211,0.92,63.98,96.2,14.71
l40s,prefill,200,p99_ttft,0.5,0.4,3,136,75,323,326,211,0.92,64.45,96.15,14.53
l40s,prefill,200,p99_ttft,0.5,0.3,3,139,72,323,326,211,0.92,65.88,96.0,13.97
l40s,prefill,200,p99_ttft,0.5,0.2,2,149,62,324,326,211,0.61,70.62,96.88,11.92
l40s,prefill,200,p99_ttft,0.5,0.1,1,167,44,325,326,211,0.31,79.15,97.78,8.38
l40s,prefill,200,p99_ttft,0.4,1.0,2,131,80,324,326,211,0.61,62.09,97.56,15.27
l40s,prefill,200,p99_ttft,0.4,0.9,2,133,78,324,326,211,0.61,63.03,97.5,14.9
l40s,prefill,200,p99_ttft,0.4,0.8,2,134,77,324,326,211,0.61,63.51,97.47,14.71
l40s,prefill,200,p99_ttft,0.4,0.7,2,138,73,324,326,211,0.61,65.4,97.33,13.97
l40s,prefill,200,p99_ttft,0.4,0.6,2,141,70,324,326,211,0.61,66.82,97.22,13.41
l40s,prefill,200,p99_ttft,0.4,0.5,2,141,70,324,326,211,0.61,66.82,97.22,13.41
l40s,prefill,200,p99_ttft,0.4,0.4,2,142,69,324,326,211,0.61,67.3,97.18,13.22
l40s,prefill,200,p99_ttft,0.4,0.3,2,144,67,324,326,211,0.61,68.25,97.1,12.85
l40s,prefill,200,p99_ttft,0.4,0.2,2,153,58,324,326,211,0.61,72.51,96.67,11.17
l40s,prefill,200,p99_ttft,0.4,0.1,1,167,44,325,326,211,0.31,79.15,97.78,8.38
l40s,prefill,200,p99_ttft,0.3,1.0,1,138,73,325,326,211,0.31,65.4,98.65,13.78
l40s,prefill,200,p99_ttft,0.3,0.9,1,140,71,325,326,211,0.31,66.35,98.61,13.41
l40s,prefill,200,p99_ttft,0.3,0.8,1,141,70,325,326,211,0.31,66.82,98.59,13.22
l40s,prefill,200,p99_ttft,0.3,0.7,1,143,68,325,326,211,0.31,67.77,98.55,12.85
l40s,prefill,200,p99_ttft,0.3,0.6,1,145,66,325,326,211,0.31,68.72,98.51,12.48
l40s,prefill,200,p99_ttft,0.3,0.5,1,145,66,325,326,211,0.31,68.72,98.51,12.48
l40s,prefill,200,p99_ttft,0.3,0.4,1,146,65,325,326,211,0.31,69.19,98.48,12.29
l40s,prefill,200,p99_ttft,0.3,0.3,1,148,63,325,326,211,0.31,70.14,98.44,11.92
l40s,prefill,200,p99_ttft,0.3,0.2,1,156,55,325,326,211,0.31,73.93,98.21,10.43
l40s,prefill,200,p99_ttft,0.3,0.1,1,168,43,325,326,211,0.31,79.62,97.73,8.19
l40s,prefill,200,p99_ttft,0.2,1.0,0,155,56,326,326,211,0.0,73.46,100.0,10.43
l40s,prefill,200,p99_ttft,0.2,0.9,0,157,54,326,326,211,0.0,74.41,100.0,10.06
l40s,prefill,200,p99_ttft,0.2,0.8,0,158,53,326,326,211,0.0,74.88,100.0,9.87
l40s,prefill,200,p99_ttft,0.2,0.7,0,159,52,326,326,211,0.0,75.36,100.0,9.68
l40s,prefill,200,p99_ttft,0.2,0.6,0,160,51,326,326,211,0.0,75.83,100.0,9.5
l40s,prefill,200,p99_ttft,0.2,0.5,0,160,51,326,326,211,0.0,75.83,100.0,9.5
l40s,prefill,200,p99_ttft,0.2,0.4,0,161,50,326,326,211,0.0,76.3,100.0,9.31
l40s,prefill,200,p99_ttft,0.2,0.3,0,161,50,326,326,211,0.0,76.3,100.0,9.31
l40s,prefill,200,p99_ttft,0.2,0.2,0,165,46,326,326,211,0.0,78.2,100.0,8.57
l40s,prefill,200,p99_ttft,0.2,0.1,0,172,39,326,326,211,0.0,81.52,100.0,7.26
l40s,prefill,200,p99_ttft,0.15,1.0,0,158,53,326,326,211,0.0,74.88,100.0,9.87
l40s,prefill,200,p99_ttft,0.15,0.9,0,160,51,326,326,211,0.0,75.83,100.0,9.5
l40s,prefill,200,p99_ttft,0.15,0.8,0,161,50,326,326,211,0.0,76.3,100.0,9.31
l40s,prefill,200,p99_ttft,0.15,0.7,0,162,49,326,326,211,0.0,76.78,100.0,9.12
l40s,prefill,200,p99_ttft,0.15,0.6,0,163,48,326,326,211,0.0,77.25,100.0,8.94
l40s,prefill,200,p99_ttft,0.15,0.5,0,163,48,326,326,211,0.0,77.25,100.0,8.94
l40s,prefill,200,p99_ttft,0.15,0.4,0,164,47,326,326,211,0.0,77.73,100.0,8.75
l40s,prefill,200,p99_ttft,0.15,0.3,0,164,47,326,326,211,0.0,77.73,100.0,8.75
l40s,prefill,200,p99_ttft,0.15,0.2,0,168,43,326,326,211,0.0,79.62,100.0,8.01
l40s,prefill,200,p99_ttft,0.15,0.1,0,172,39,326,326,211,0.0,81.52,100.0,7.26
l40s,prefill,200,p99_ttft,0.1,1.0,0,163,48,326,326,211,0.0,77.25,100.0,8.94
l40s,prefill,200,p99_ttft,0.1,0.9,0,165,46,326,326,211,0.0,78.2,100.0,8.57
l40s,prefill,200,p99_ttft,0.1,0.8,0,166,45,326,326,211,0.0,78.67,100.0,8.38
l40s,prefill,200,p99_ttft,0.1,0.7,0,167,44,326,326,211,0.0,79.15,100.0,8.19
l40s,prefill,200,p99_ttft,0.1,0.6,0,168,43,326,326,211,0.0,79.62,100.0,8.01
l40s,prefill,200,p99_ttft,0.1,0.5,0,168,43,326,326,211,0.0,79.62,100.0,8.01
l40s,prefill,200,p99_ttft,0.1,0.4,0,169,42,326,326,211,0.0,80.09,100.0,7.82
l40s,prefill,200,p99_ttft,0.1,0.3,0,169,42,326,326,211,0.0,80.09,100.0,7.82
l40s,prefill,200,p99_ttft,0.1,0.2,0,173,38,326,326,211,0.0,81.99,100.0,7.08
l40s,prefill,200,p99_ttft,0.1,0.1,0,176,35,326,326,211,0.0,83.41,100.0,6.52
l40s,prefill,200,p99_ttft,0.05,1.0,0,173,38,326,326,211,0.0,81.99,100.0,7.08
l40s,prefill,200,p99_ttft,0.05,0.9,0,173,38,326,326,211,0.0,81.99,100.0,7.08
l40s,prefill,200,p99_ttft,0.05,0.8,0,174,37,326,326,211,0.0,82.46,100.0,6.89
l40s,prefill,200,p99_ttft,0.05,0.7,0,175,36,326,326,211,0.0,82.94,100.0,6.7
l40s,prefill,200,p99_ttft,0.05,0.6,0,175,36,326,326,211,0.0,82.94,100.0,6.7
l40s,prefill,200,p99_ttft,0.05,0.5,0,175,36,326,326,211,0.0,82.94,100.0,6.7
l40s,prefill,200,p99_ttft,0.05,0.4,0,176,35,326,326,211,0.0,83.41,100.0,6.52
l40s,prefill,200,p99_ttft,0.05,0.3,0,176,35,326,326,211,0.0,83.41,100.0,6.52
l40s,prefill,200,p99_ttft,0.05,0.2,0,180,31,326,326,211,0.0,85.31,100.0,5.77
l40s,prefill,200,p99_ttft,0.05,0.1,0,182,29,326,326,211,0.0,86.26,100.0,5.4
l40s,prefill,200,p99_ttft,0.02,1.0,0,193,18,326,326,211,0.0,91.47,100.0,3.35
l40s,prefill,200,p99_ttft,0.02,0.9,0,193,18,326,326,211,0.0,91.47,100.0,3.35
l40s,prefill,200,p99_ttft,0.02,0.8,0,193,18,326,326,211,0.0,91.47,100.0,3.35
l40s,prefill,200,p99_ttft,0.02,0.7,0,194,17,326,326,211,0.0,91.94,100.0,3.17
l40s,prefill,200,p99_ttft,0.02,0.6,0,194,17,326,326,211,0.0,91.94,100.0,3.17
l40s,prefill,200,p99_ttft,0.02,0.5,0,194,17,326,326,211,0.0,91.94,100.0,3.17
l40s,prefill,200,p99_ttft,0.02,0.4,0,194,17,326,326,211,0.0,91.94,100.0,3.17
l40s,prefill,200,p99_ttft,0.02,0.3,0,194,17,326,326,211,0.0,91.94,100.0,3.17
l40s,prefill,200,p99_ttft,0.02,0.2,0,195,16,326,326,211,0.0,92.42,100.0,2.98
l40s,prefill,200,p99_ttft,0.02,0.1,0,197,14,326,326,211,0.0,93.36,100.0,2.61
l40s,prefill,200,p99_ttft,0.01,1.0,0,204,7,326,326,211,0.0,96.68,100.0,1.3
l40s,prefill,200,p99_ttft,0.01,0.9,0,204,7,326,326,211,0.0,96.68,100.0,1.3
l40s,prefill,200,p99_ttft,0.01,0.8,0,204,7,326,326,211,0.0,96.68,100.0,1.3
l40s,prefill,200,p99_ttft,0.01,0.7,0,205,6,326,326,211,0.0,97.16,100.0,1.12
l40s,prefill,200,p99_ttft,0.01,0.6,0,205,6,326,326,211,0.0,97.16,100.0,1.12
l40s,prefill,200,p99_ttft,0.01,0.5,0,205,6,326,326,211,0.0,97.16,100.0,1.12
l40s,prefill,200,p99_ttft,0.01,0.4,0,205,6,326,326,211,0.0,97.16,100.0,1.12
l40s,prefill,200,p99_ttft,0.01,0.3,0,205,6,326,326,211,0.0,97.16,100.0,1.12
l40s,prefill,200,p99_ttft,0.01,0.2,0,206,5,326,326,211,0.0,97.63,100.0,0.93
l40s,prefill,200,p99_ttft,0.01,0.1,0,206,5,326,326,211,0.0,97.63,100.0,0.93
l40s,prefill,500,p99_ttft,0.5,1.0,4,116,154,263,267,270,1.5,42.96,97.47,29.42
l40s,prefill,500,p99_ttft,0.5,0.9,4,118,152,263,267,270,1.5,43.7,97.44,29.05
l40s,prefill,500,p99_ttft,0.5,0.8,3,120,150,264,267,270,1.12,44.44,98.04,28.49
l40s,prefill,500,p99_ttft,0.5,0.7,3,132,138,264,267,270,1.12,48.89,97.87,26.26
l40s,prefill,500,p99_ttft,0.5,0.6,3,136,134,264,267,270,1.12,50.37,97.81,25.51
l40s,prefill,500,p99_ttft,0.5,0.5,2,139,131,265,267,270,0.75,51.48,98.5,24.77
l40s,prefill,500,p99_ttft,0.5,0.4,1,152,118,266,267,270,0.37,56.3,99.16,22.16
l40s,prefill,500,p99_ttft,0.5,0.3,1,164,106,266,267,270,0.37,60.74,99.07,19.93
l40s,prefill,500,p99_ttft,0.5,0.2,0,185,85,267,267,270,0.0,68.52,100.0,15.83
l40s,prefill,500,p99_ttft,0.5,0.1,0,222,48,267,267,270,0.0,82.22,100.0,8.94
l40s,prefill,500,p99_ttft,0.4,1.0,4,117,153,263,267,270,1.5,43.33,97.45,29.24
l40s,prefill,500,p99_ttft,0.4,0.9,4,119,151,263,267,270,1.5,44.07,97.42,28.86
l40s,prefill,500,p99_ttft,0.4,0.8,3,121,149,264,267,270,1.12,44.81,98.03,28.31
l40s,prefill,500,p99_ttft,0.4,0.7,3,133,137,264,267,270,1.12,49.26,97.86,26.07
l40s,prefill,500,p99_ttft,0.4,0.6,3,137,133,264,267,270,1.12,50.74,97.79,25.33
l40s,prefill,500,p99_ttft,0.4,0.5,2,140,130,265,267,270,0.75,51.85,98.48,24.58
l40s,prefill,500,p99_ttft,0.4,0.4,1,153,117,266,267,270,0.37,56.67,99.15,21.97
l40s,prefill,500,p99_ttft,0.4,0.3,1,164,106,266,267,270,0.37,60.74,99.07,19.93
l40s,prefill,500,p99_ttft,0.4,0.2,0,185,85,267,267,270,0.0,68.52,100.0,15.83
l40s,prefill,500,p99_ttft,0.4,0.1,0,222,48,267,267,270,0.0,82.22,100.0,8.94
l40s,prefill,500,p99_ttft,0.3,1.0,4,120,150,263,267,270,1.5,44.44,97.4,28.68
l40s,prefill,500,p99_ttft,0.3,0.9,4,122,148,263,267,270,1.5,45.19,97.37,28.31
l40s,prefill,500,p99_ttft,0.3,0.8,3,124,146,264,267,270,1.12,45.93,97.99,27.75
l40s,prefill,500,p99_ttft,0.3,0.7,3,136,134,264,267,270,1.12,50.37,97.81,25.51
l40s,prefill,500,p99_ttft,0.3,0.6,3,140,130,264,267,270,1.12,51.85,97.74,24.77
l40s,prefill,500,p99_ttft,0.3,0.5,2,143,127,265,267,270,0.75,52.96,98.45,24.02
l40s,prefill,500,p99_ttft,0.3,0.4,1,156,114,266,267,270,0.37,57.78,99.13,21.42
l40s,prefill,500,p99_ttft,0.3,0.3,1,167,103,266,267,270,0.37,61.85,99.04,19.37
l40s,prefill,500,p99_ttft,0.3,0.2,0,186,84,267,267,270,0.0,68.89,100.0,15.64
l40s,prefill,500,p99_ttft,0.3,0.1,0,222,48,267,267,270,0.0,82.22,100.0,8.94
l40s,prefill,500,p99_ttft,0.2,1.0,3,126,144,264,267,270,1.12,46.67,97.96,27.37
l40s,prefill,500,p99_ttft,0.2,0.9,3,128,142,264,267,270,1.12,47.41,97.93,27.0
l40s,prefill,500,p99_ttft,0.2,0.8,2,130,140,265,267,270,0.75,48.15,98.59,26.44
l40s,prefill,500,p99_ttft,0.2,0.7,2,142,128,265,267,270,0.75,52.59,98.46,24.21
l40s,prefill,500,p99_ttft,0.2,0.6,2,145,125,265,267,270,0.75,53.7,98.43,23.65
l40s,prefill,500,p99_ttft,0.2,0.5,1,148,122,266,267,270,0.37,54.81,99.19,22.91
l40s,prefill,500,p99_ttft,0.2,0.4,1,158,112,266,267,270,0.37,58.52,99.12,21.04
l40s,prefill,500,p99_ttft,0.2,0.3,1,167,103,266,267,270,0.37,61.85,99.04,19.37
l40s,prefill,500,p99_ttft,0.2,0.2,0,186,84,267,267,270,0.0,68.89,100.0,15.64
l40s,prefill,500,p99_ttft,0.2,0.1,0,222,48,267,267,270,0.0,82.22,100.0,8.94
l40s,prefill,500,p99_ttft,0.15,1.0,1,136,134,266,267,270,0.37,50.37,99.26,25.14
l40s,prefill,500,p99_ttft,0.15,0.9,1,136,134,266,267,270,0.37,50.37,99.26,25.14
