timestamp_unix_s,policy,workload,control_iteration_id,controller_action,endpoint_id,node,gpu_id,previous_requested_freq_mhz,requested_freq_mhz,observed_freq_before_mhz,observed_freq_after_mhz,command_status,readback_valid,transition_readback_latency_s,reason,error
1788005970.3427348,FULL_FEEDBACK,decode_heavy,b06-r01-full_feedback-decode_heavy,True,D0,ganymede,0,1500,1125,1500,1125,success,True,1.0374209719884675,phase4b_feedback_dvfs,
1788005971.6864374,FULL_FEEDBACK,decode_heavy,b06-r01-full_feedback-decode_heavy,True,P0,uranus,0,2520,1890,2520,1890,success,True,0.7141523360041901,phase4b_feedback_dvfs,
1788006072.298842,FULL_FEEDBACK,decode_heavy,b06-r02-full_feedback-decode_heavy,True,D0,ganymede,0,1125,750,1125,750,success,True,1.3188706839864608,phase4b_feedback_dvfs,
1788006073.931881,FULL_FEEDBACK,decode_heavy,b06-r02-full_feedback-decode_heavy,True,P0,uranus,0,1890,1260,1890,1260,success,True,1.2228501950157806,phase4b_feedback_dvfs,
1788006478.9366472,FULL_FEEDBACK,prefill_heavy,warm-07-full_feedback-prefill_heavy,False,D0,ganymede,0,750,1500,750,1500,success,True,1.090953396022087,phase4b_feedback_warmup_high,
1788006480.3348293,FULL_FEEDBACK,prefill_heavy,warm-07-full_feedback-prefill_heavy,False,P0,uranus,0,1260,2520,1260,2520,success,True,0.9871471019869205,phase4b_feedback_warmup_high,
1788006926.8214607,FEEDBACK_DVFS_ONLY,decode_heavy,b08-r01-feedback_dvfs_only-decode_heavy,True,D0,ganymede,0,1500,1125,1500,1125,success,True,1.375625416985713,phase4b_feedback_dvfs,
1788006928.505547,FEEDBACK_DVFS_ONLY,decode_heavy,b08-r01-feedback_dvfs_only-decode_heavy,True,P0,uranus,0,2520,1890,2520,1890,success,True,1.2382350660045631,phase4b_feedback_dvfs,
1788007029.949572,FEEDBACK_DVFS_ONLY,decode_heavy,b08-r02-feedback_dvfs_only-decode_heavy,True,D0,ganymede,0,1125,750,1125,750,success,True,1.6528626630024519,phase4b_feedback_dvfs,
1788007031.911646,FEEDBACK_DVFS_ONLY,decode_heavy,b08-r02-feedback_dvfs_only-decode_heavy,True,P0,uranus,0,1890,1260,1890,1260,success,True,0.9014027210068889,phase4b_feedback_dvfs,
1788007444.1406589,FEEDBACK_DVFS_ONLY,small_light,warm-09-feedback_dvfs_only-small_light,False,D0,ganymede,0,750,1500,750,1500,success,True,1.450254108000081,phase4b_feedback_warmup_high,
