window_id,endpoint_id,timestamp_s,health,queue,kv_cache_usage_frac,ttft_ms,tpot_ms,power_w,energy_j,observed_frequency_mhz,telemetry_age_s_at_observation,measurement_valid
warm-02-full_feedback-both_heavy,D0,1788004366.875778,True,0,0.006407146145137405,,56.400355610122915,45.60176351351358,1336.417,1500,,True
warm-02-full_feedback-both_heavy,D1,1788004366.875778,True,0,0.0061967845031593825,,56.39807483058526,43.839864864864836,1314.652,1500,,True
warm-02-full_feedback-both_heavy,P0,1788004366.875778,True,0,0.0,219.9990890076151,,81.02320408163274,2330.527,2520,,True
warm-02-full_feedback-both_heavy,P1,1788004366.875778,True,0,0.0,210.00202500727028,,82.52495238095241,2359.398,2520,,True
b02-r01-full_feedback-both_heavy,D0,1788004441.4122825,True,0,0.0,,,23.72963758389262,700.908,1500,,True
b02-r01-full_feedback-both_heavy,D1,1788004441.4122825,True,0,0.013369440581619457,,56.98304162207188,58.00796644295302,1735.688,1125,,True
b02-r01-full_feedback-both_heavy,P0,1788004441.4122825,True,0,0.0,219.34338074061088,,67.76518120805378,1954.415,1890,,True
b02-r01-full_feedback-both_heavy,P1,1788004441.4122825,True,0,0.0,,,80.02156375838929,2351.864,2520,,True
b02-r02-full_feedback-both_heavy,D0,1788004516.1735961,True,0,0.0,,,23.931999999999977,712.036,1500,,True
b02-r02-full_feedback-both_heavy,D1,1788004516.1735961,True,0,0.012618934348239769,,58.06638141338921,55.88484210526317,1711.349,750,,True
b02-r02-full_feedback-both_heavy,P0,1788004516.1735961,True,0,0.0,244.15230600425275,,65.47781699346415,1928.683,1260,,True
b02-r02-full_feedback-both_heavy,P1,1788004516.1735961,True,0,0.0,,,80.6694183006537,2421.664,2520,,True
b02-r03-full_feedback-both_heavy,D0,1788004597.4303768,True,0,0.0,,,23.459894736842113,705.461,1500,,True
b02-r03-full_feedback-both_heavy,D1,1788004597.4303768,True,0,0.012654614652711702,,58.06469921256172,55.76721052631583,1712.419,750,,True
b02-r03-full_feedback-both_heavy,P0,1788004597.4303768,True,0,0.0,232.35609874973306,,65.18207894736847,1907.244,1260,,True
b02-r03-full_feedback-both_heavy,P1,1788004597.4303768,True,0,0.0,,,79.99511184210537,2394.938,2520,,True
b02-r04-full_feedback-both_heavy,D0,1788004668.6472101,True,0,0.0,,,23.78738157894735,708.218,1500,,True
b02-r04-full_feedback-both_heavy,D1,1788004668.6472101,True,0,0.012630827783063747,,58.0658169566859,55.901361842105274,1716.585,750,,True
b02-r04-full_feedback-both_heavy,P0,1788004668.6472101,True,0,0.0,236.00037501455517,,65.09472549019607,1931.576,1260,,True
b02-r04-full_feedback-both_heavy,P1,1788004668.6472101,True,0,0.0,,,79.99509803921566,2405.786,2520,,True
b02-r05-full_feedback-both_heavy,D0,1788004739.7037814,True,0,0.0,,,23.833585526315787,708.036,1500,,True
b02-r05-full_feedback-both_heavy,D1,1788004739.7037814,True,0,0.012930298372734147,,58.06389197044434,56.08757236842103,1715.148,750,,True
b02-r05-full_feedback-both_heavy,P0,1788004739.7037814,True,0,0.0,241.08700124634197,,64.66213157894741,1908.504,1260,,True
b02-r05-full_feedback-both_heavy,P1,1788004739.7037814,True,0,0.0,,,79.99278947368435,2403.381,2520,,True
warm-03-feedback_dvfs_only-both_heavy,D0,1788004813.1515098,True,0,0.013199965165030659,,56.39897495866607,65.81311564625851,1953.562,1500,,True
warm-03-feedback_dvfs_only-both_heavy,D1,1788004813.1515098,True,0,0.0,,,23.503897959183707,683.587,1500,,True
warm-03-feedback_dvfs_only-both_heavy,P0,1788004813.1515098,True,0,0.0,225.34600049402798,,81.6346394557823,2319.136,2520,,True
warm-03-feedback_dvfs_only-both_heavy,P1,1788004813.1515098,True,0,0.0,,,79.88806802721106,2331.251,2520,,True
b03-r01-feedback_dvfs_only-both_heavy,D0,1788004888.3353245,True,0,0.012372634643376994,,56.97383966937883,58.298583892617444,1745.483,1125,,True
b03-r01-feedback_dvfs_only-both_heavy,D1,1788004888.3353245,True,0,0.0,,,23.5091744966443,686.157,1500,,True
b03-r01-feedback_dvfs_only-both_heavy,P0,1788004888.3353245,True,0,0.0,233.20570799842244,,67.11311333333326,1963.904,1890,,True
b03-r01-feedback_dvfs_only-both_heavy,P1,1788004888.3353245,True,0,0.0,,,79.99339999999991,2377.687,2520,,True
b03-r02-feedback_dvfs_only-both_heavy,D0,1788004963.693783,True,0,0.013258127122755935,,58.059441665401515,56.69909868421052,1734.824,750,,True
b03-r02-feedback_dvfs_only-both_heavy,D1,1788004963.693783,True,0,0.0,,,23.05834868421051,694.9,1500,,True
b03-r02-feedback_dvfs_only-both_heavy,P0,1788004963.693783,True,0,0.0,239.38390924740816,,64.79543421052635,1904.567,1260,,True
b03-r02-feedback_dvfs_only-both_heavy,P1,1788004963.693783,True,0,0.0,,,79.9743815789475,2393.289,2520,,True
b03-r03-feedback_dvfs_only-both_heavy,D0,1788005035.5283,True,0,0.013233867054827745,,58.06198986605824,56.61665131578951,1735.121,750,,True
b03-r03-feedback_dvfs_only-both_heavy,D1,1788005035.5283,True,0,0.0,,,23.05019736842103,691.541,1500,,True
b03-r03-feedback_dvfs_only-both_heavy,P0,1788005035.5283,True,0,0.0,237.83565475605428,,64.7942875816994,1928.846,1260,,True
b03-r03-feedback_dvfs_only-both_heavy,P1,1788005035.5283,True,0,0.0,,,79.9413006535947,2425.864,2520,,True
b03-r04-feedback_dvfs_only-both_heavy,D0,1788005107.3754792,True,0,0.013258127122755934,,58.06042767722457,56.7178157894737,1733.763,750,,True
b03-r04-feedback_dvfs_only-both_heavy,D1,1788005107.3754792,True,0,0.0,,,22.9885460526316,695.734,1500,,True
b03-r04-feedback_dvfs_only-both_heavy,P0,1788005107.3754792,True,0,0.0,236.66698824672494,,64.8160326797386,1927.382,1260,,True
b03-r04-feedback_dvfs_only-both_heavy,P1,1788005107.3754792,True,0,0.0,,,80.71462745098049,2422.125,2520,,True
b03-r05-feedback_dvfs_only-both_heavy,D0,1788005178.7568269,True,0,0.012857836001940796,,58.05784363783603,56.83512499999999,1740.206,750,,True
b03-r05-feedback_dvfs_only-both_heavy,D1,1788005178.7568269,True,0,0.0,,,22.954401315789497,690.135,1500,,True
b03-r05-feedback_dvfs_only-both_heavy,P0,1788005178.7568269,True,0,0.0,236.74840149760712,,64.84740522875818,1928.508,1260,,True
