scope,role,gross_energy_j,logical_requests,output_tokens,joules_per_request,joules_per_output_token,valid
D0,decode,350.55,4,256,87.6375,1.3693359375,True
D1,decode,841.522,4,256,210.3805,3.2871953125,True
P0,prefill,941.938,4,256,235.4845,3.6794453125,True
P1,prefill,1189.208,4,256,297.302,4.64534375,True
P_pool,prefill,2131.146,4,256,532.7865,8.3247890625,True
D_pool,decode,1192.0720000000001,4,256,298.01800000000003,4.6565312500000005,True
all_GPU_boards,all,3323.2180000000003,4,256,830.8045000000001,12.981320312500001,True
