phase,freq_mhz,input_len,burst_size,preemptions,send_mono_s,status,error,ttft_ms,tpot_ms,tokens,latency_ms,rank,burst_energy_j,burst_duration_ms
decode,1500,128,16,0.0,2505649.589134517,ok,,609.9947667680681,62.202671314498374,256,16471.70942509547,13,1176.267,16476.85047518462
decode,1500,128,16,0.0,2505649.589404822,ok,,609.3331221491098,62.200955294218716,256,16470.62180796638,14,1176.267,16476.85047518462
decode,1500,128,16,0.0,2505649.589666957,ok,,608.9839180931449,62.19606021893959,256,16469.028648920357,15,1176.267,16476.85047518462
decode,1500,128,32,0.0,2505667.129092132,ok,,107.40843275561929,76.09123647505162,256,19510.7774278149,0,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.129539809,ok,,1157.9141267575324,72.28643878125676,256,19591.02482581511,1,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.129800942,ok,,1159.1111873276532,72.29602306204684,256,19594.62892031297,2,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.130020103,ok,,1158.9606078341603,72.29642505556637,256,19594.575576949865,3,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.130204654,ok,,1158.536862116307,72.29277501613194,256,19593.22110330686,4,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.130386132,ok,,1158.3879231475294,72.29294550294678,256,19593.113995157182,5,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.130566879,ok,,1157.1565540507436,72.29248963880772,256,19591.77250089124,6,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.130741126,ok,,1157.831345219165,72.29193132918547,256,19592.300080228597,7,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.130913313,ok,,1157.6269972138107,72.29172558359363,256,19592.042449861765,8,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.131088302,ok,,1158.0238197930157,72.29685363925847,256,19593.74780021608,9,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.131294034,ok,,1157.7849481254816,72.29667399626445,256,19593.463629949838,10,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.131800152,ok,,1156.0089699923992,72.29281353453796,256,19590.700381901115,11,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.131948217,ok,,1155.8184563182294,72.2926680309077,256,19590.474762022495,12,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.132093443,ok,,1156.713753938675,72.29311968583394,256,19591.486399061978,13,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.132231161,ok,,1155.6564061902463,72.2930952614429,256,19590.42004495859,14,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.13238572,ok,,1156.4542087726295,72.29331163141657,256,19591.27526683733,15,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.132525922,ok,,1156.6531821154058,72.29722350580143,256,19592.470688279718,16,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.132996586,ok,,1156.0494089499116,72.29649050197764,256,19591.67984779924,17,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.133381365,ok,,1154.2327492497861,72.29206486258144,256,19588.748472277075,18,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.133680884,ok,,1154.9247461371124,72.29210374073362,256,19589.43718811497,19,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.134155887,ok,,1154.3063367716968,72.2914413877708,256,19588.6492067948,20,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.134483316,ok,,1154.660081025213,72.2970539850055,256,19590.435524005443,21,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.134798356,ok,,1153.9100990630686,72.2926017773502,256,19588.54949614033,22,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.135084526,ok,,1152.583950664848,72.29228031036317,256,19587.147681973875,23,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.135353577,ok,,1152.196283917874,72.29170314967632,256,19586.63587225601,24,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.135605185,ok,,1152.8943059965968,72.29159362796767,256,19587.27518795058,25,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.135826862,ok,,1152.5884219445288,72.29133885463371,256,19586.903601884842,26,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.136045734,ok,,1152.8242258355021,72.29580434915773,256,19588.290785904974,27,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.136349282,ok,,1152.598365675658,72.29622815753899,256,19588.165142573416,28,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.136578595,ok,,1151.269847061485,72.29295747500717,256,19585.99838009104,29,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.136793272,ok,,1151.8767341040075,72.29244576438384,256,19586.476924829185,30,1405.136,19596.414776984602
decode,1500,128,32,0.0,2505667.137013239,ok,,1151.6243619844317,72.2922740047615,256,19586.17888810113,31,1405.136,19596.414776984602
decode,1500,1024,1,0.0,2505687.795431921,ok,,298.78422105684876,57.00392004686828,256,14834.863828029484,0,1054.23,14835.148892831057
decode,1500,1024,8,0.0,2505703.682387159,ok,,309.6576198004186,72.36066177560419,256,18761.723935604095,0,1356.816,18943.513286300004
decode,1500,1024,8,0.0,2505703.682941546,ok,,1167.381664738059,69.24892201946646,256,18825.945973861963,1,1356.816,18943.513286300004
decode,1500,1024,8,0.0,2505703.683540118,ok,,1166.8910519219935,69.24980113867159,256,18825.653279200196,2,1356.816,18943.513286300004
decode,1500,1024,8,0.0,2505703.684043111,ok,,1166.5003639645875,69.25016555423831,256,18825.348201207817,3,1356.816,18943.513286300004
decode,1500,1024,8,0.0,2505703.684460622,ok,,2030.31249018386,66.09779022743596,256,18885.357013437897,4,1356.816,18943.513286300004
decode,1500,1024,8,0.0,2505703.684846316,ok,,2030.0346328876913,66.10054352558127,256,18885.74794586748,5,1356.816,18943.513286300004
decode,1500,1024,8,0.0,2505703.685228469,ok,,2029.2502082884312,66.10289518447483,256,18885.5485371314,6,1356.816,18943.513286300004
decode,1500,1024,8,0.0,2505703.685598067,ok,,2357.2664498351514,65.029772926195,256,18939.963908866048,7,1356.816,18943.513286300004
decode,1500,1024,24,0.0,2505723.691867642,ok,,585.8476920984685,109.0749262740799,256,28400.016280822456,0,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.692321051,ok,,585.5654939077795,109.0771904160433,256,28400.28826519847,1,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.692523708,ok,,1448.3506460674107,106.01583236061475,256,28482.43789980188,2,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.692699721,ok,,1448.2451449148357,106.01879568295736,256,28483.071704860777,3,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.692854653,ok,,1447.7815157733858,106.01829451088811,256,28482.47779905796,4,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.693007038,ok,,2317.1191280707717,102.92796413322874,256,28563.79850814119,5,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.693162469,ok,,2316.7778588831425,102.92545850480012,256,28562.8892169334,6,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.693315908,ok,,2316.861607134342,102.9307387020512,256,28564.23276104033,7,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.693463949,ok,,3193.252640776336,99.770692074854,256,28634.88345220685,8,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.694236616,ok,,3193.193641025573,99.77459217622584,256,28635.788560844958,9,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.694661023,ok,,3192.558711860329,99.77731909055044,256,28635.812390130013,10,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.694925391,ok,,4068.35048366338,96.62147151014092,256,28706.92548668012,11,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.695169592,ok,,4068.1818891316652,96.62213596497097,256,28706.913559231907,12,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.695407236,ok,,4068.512183148414,96.62196098772041,256,28707.14754378423,13,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.695639625,ok,,4947.220272850245,93.4344146236339,256,28773.10275286436,14,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.695865242,ok,,4947.88928842172,93.4371258077376,256,28774.39553104341,15,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.696097757,ok,,4947.608163580298,93.43592154190821,256,28773.84655876085,16,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.696331386,ok,,5829.166534822434,90.22248857745937,256,28835.960081778467,17,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.696552007,ok,,5828.6421010270715,90.22191991372144,256,28835.322009865195,18,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.698116973,ok,,5827.126514166594,90.22276468903704,256,28833.99690873921,19,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.698462794,ok,,6714.352119714022,86.98286103157729,256,28895.051661878824,20,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.698727656,ok,,6713.5169566608965,86.98330156176405,256,28894.343730062246,21,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.698974336,ok,,6713.226209860295,86.98239838521854,256,28893.84074974805,22,2080.737,28956.910701002926
decode,1500,1024,24,0.0,2505723.699218843,ok,,7062.048610765487,85.83146964802461,256,28949.179789982736,23,2080.737,28956.910701002926
decode,1050,128,1,0.0,2505755.65551434,ok,,82.74082094430923,56.607600694120514,256,14517.7598670125,0,892.297,14518.041798379272
decode,1050,128,2,0.0,2505771.216762932,ok,,86.41628781333566,59.538805393465594,256,15268.889534752816,0,911.044,15325.96260914579
decode,1050,128,2,0.0,2505771.217341882,ok,,163.5558707639575,59.45667198439147,256,15325.08780900389,1,911.044,15325.96260914579
decode,1050,128,4,0.0,2505787.590538395,ok,,87.9373257048428,60.63095585936133,256,15548.938544932753,0,927.67,15610.304164234549
decode,1050,128,4,0.0,2505787.591131253,ok,,237.73425491526723,60.28037923844714,256,15609.269458800554,1,927.67,15610.304164234549
decode,1050,128,4,0.0,2505787.591422827,ok,,237.38134605810046,60.27985277640469,256,15608.824314083904,2,927.67,15610.304164234549
decode,1050,128,4,0.0,2505787.59206504,ok,,236.8523981422186,60.28060955999821,256,15608.439558185637,3,927.67,15610.304164234549
decode,1050,128,8,0.0,2505804.249063865,ok,,93.8648353330791,62.46663626539064,256,16022.9218211025,0,976.223,16088.591052219272
decode,1050,128,8,0.0,2505804.249633068,ok,,367.76846274733543,61.64664226748488,256,16087.68773265183,1,976.223,16088.591052219272
decode,1050,128,8,0.0,2505804.249949766,ok,,367.3188863322139,61.64613158679476,256,16087.114711292088,2,976.223,16088.591052219272
decode,1050,128,8,0.0,2505804.250235309,ok,,366.5415081195533,61.644953823484045,256,16086.08420100063,3,976.223,16088.591052219272
decode,1050,128,8,0.0,2505804.250496626,ok,,366.67661694809794,61.644142835090555,256,16085.972587112337,4,976.223,16088.591052219272
decode,1050,128,8,0.0,2505804.25129373,ok,,366.02019192650914,61.64634129872509,256,16085.866133216769,5,976.223,16088.591052219272
decode,1050,128,8,0.0,2505804.25174962,ok,,365.6099741347134,61.64650214543822,256,16085.494881961495,6,976.223,16088.591052219272
decode,1050,128,8,0.0,2505804.252094357,ok,,365.13126641511917,61.64579999213125,256,16084.851538296789,7,976.223,16088.591052219272
decode,1050,128,16,0.0,2505821.390425615,ok,,102.7181870304048,66.48424404728063,256,17056.26340676099,0,1062.54,17126.970356795937
decode,1050,128,16,0.0,2505821.39093782,ok,,638.7653797864914,64.65263109946368,256,17125.218736939132,1,1062.54,17126.970356795937
decode,1050,128,16,0.0,2505821.391251499,ok,,638.8467671349645,64.6521848480345,256,17125.179240945727,2,1062.54,17126.970356795937
decode,1050,128,16,0.0,2505821.391521235,ok,,638.800592161715,64.65280543026678,256,17125.29157102108,3,1062.54,17126.970356795937
decode,1050,128,16,0.0,2505821.3917476,ok,,638.6179160326719,64.65292933269167,256,17125.142632052302,4,1062.54,17126.970356795937
decode,1050,128,16,0.0,2505821.39197602,ok,,638.43191601336,64.6530458941033,256,17124.981102067977,5,1062.54,17126.970356795937
decode,1050,128,16,0.0,2505821.392197945,ok,,637.3576237820089,64.6522671696456,256,17123.731883708388,6,1062.54,17126.970356795937
decode,1050,128,16,0.0,2505821.392413289,ok,,637.0803061872721,64.64878623830337,256,17122.564053162932,7,1062.54,17126.970356795937
decode,1050,128,16,0.0,2505821.392608884,ok,,636.7696793749928,64.64845821553585,256,17122.20665300265,8,1062.54,17126.970356795937
decode,1050,128,16,0.0,2505821.393145046,ok,,636.6009186021984,64.65281626830499,256,17123.098119627684,9,1062.54,17126.970356795937
decode,1050,128,16,0.0,2505821.393923689,ok,,636.3528179936111,64.65269890157323,256,17122.815961949527,10,1062.54,17126.970356795937
decode,1050,128,16,0.0,2505821.394227822,ok,,636.0042532905936,64.65258765783088,256,17122.438743244857,11,1062.54,17126.970356795937
decode,1050,128,16,0.0,2505821.394496943,ok,,635.5390762910247,64.65208670124412,256,17121.84982933104,12,1062.54,17126.970356795937
decode,1050,128,16,0.0,2505821.394761252,ok,,634.8981135524809,64.65239050597245,256,17121.293185744435,13,1062.54,17126.970356795937
decode,1050,128,16,0.0,2505821.395017449,ok,,635.1298391819,64.65230520778135,256,17121.493684127927,14,1062.54,17126.970356795937
decode,1050,128,16,0.0,2505821.395281005,ok,,634.9106929264963,64.65244877937377,256,17121.311582624912,15,1062.54,17126.970356795937
decode,1050,128,32,0.0,2505839.580993937,ok,,109.61952432990074,79.23418127694258,256,20314.40073205158,0,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.581450166,ok,,1180.1256267353892,75.3747858508837,256,20400.730032939464,1,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.58166576,ok,,1181.0180870816112,75.37727256798568,256,20402.252493891865,2,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.581843355,ok,,1180.3663419559598,75.37400895254869,256,20400.763939600438,3,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.582014709,ok,,1179.3442540802062,75.37375988767428,256,20399.68753932044,4,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.582179592,ok,,1180.0772962160408,75.37410960295328,256,20400.50017181784,5,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.582336284,ok,,1179.2782829143107,75.37501177147908,256,20399.9388567172,6,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.582502415,ok,,1179.8014380037785,75.37421560754963,256,20400.250548962504,7,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.582662615,ok,,1179.8092941753566,75.3745000078982,256,20400.334485806525,8,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.582818408,ok,,1178.5847870633006,75.37397707757704,256,20398.98278610781,9,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.582979335,ok,,1178.675752133131,75.37521381186797,256,20399.385907221586,10,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.583466914,ok,,1179.4377760961652,75.37799034012006,256,20400.852920953184,11,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.583652608,ok,,1178.5002606920898,75.37393584737883,256,20398.87875271961,12,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.583809718,ok,,1178.7083870731294,75.37498938321482,256,20399.35566810891,13,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.583957419,ok,,1177.351021207869,75.37353262670484,256,20397.639696020633,14,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.584115796,ok,,1178.4862172789872,75.37496844671813,256,20399.128928314894,15,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.584265701,ok,,1178.6854132078588,75.37811193980423,256,20400.129585061222,16,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.584884583,ok,,1176.3738538138568,75.3732695426865,256,20396.598688792437,17,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.58518933,ok,,1176.5079419128597,75.37539707971554,256,20397.264966275543,18,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.585401489,ok,,1177.1603059023619,75.3745161489967,256,20397.688784170896,19,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.58559316,ok,,1177.050223108381,75.37707391870664,256,20398.238835390657,20,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.585778458,ok,,1176.9928149878979,75.3776023127869,256,20398.31005781889,21,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.586169339,ok,,1175.0356131233275,75.37293024361134,256,20395.18754836172,22,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.586377098,ok,,1175.9805288165808,75.37429394090877,256,20396.450312808156,23,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.586560983,ok,,1174.972124863416,75.37459995707168,256,20395.52458189428,24,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.586741049,ok,,1176.0703432373703,75.37775732138577,256,20397.424273192883,25,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.586921707,ok,,1175.479842349887,75.37440811375193,256,20395.978616084903,26,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.587113521,ok,,1173.5091959126294,75.36933114934786,256,20392.75310607627,27,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.587291714,ok,,1175.5698141641915,75.37785749334623,256,20396.94843813777,28,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.58748297,ok,,1175.2493726089597,75.37741126383052,256,20396.515665575862,29,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.587788589,ok,,1173.6995372921228,75.3743883331909,256,20394.19858623296,30,1297.376,20403.9147621952
decode,1050,128,32,0.0,2505839.587999087,ok,,1173.445808235556,75.37418874528478,256,20393.895057961345,31,1297.376,20403.9147621952
decode,1050,1024,1,0.0,2505861.055152894,ok,,302.49736504629254,58.01432527346062,256,15096.251397859305,0,928.656,15096.508271992207
decode,1050,1024,8,0.0,2505877.208301011,ok,,309.9146499298513,75.91411451827369,256,19668.083800934255,0,1235.4,19856.988621875644
decode,1050,1024,8,0.0,2505877.208743431,ok,,1170.703151728958,72.80304100474014,256,19735.563730821013,1,1235.4,19856.988621875644
decode,1050,1024,8,0.0,2505877.209277313,ok,,1169.8537096381187,72.80590584793804,256,19735.423693899065,2,1235.4,19856.988621875644
decode,1050,1024,8,0.0,2505877.209760338,ok,,1169.569353107363,72.80434297909046,256,19734.738409053534,3,1235.4,19856.988621875644
decode,1050,1024,8,0.0,2505877.210163354,ok,,2030.490756034851,69.67643214134024,256,19798.043811228126,4,1235.4,19856.988621875644
decode,1050,1024,8,0.0,2505877.210498451,ok,,2029.6751530840993,69.67727230204379,256,19797.47759923339,5,1235.4,19856.988621875644
decode,1050,1024,8,0.0,2505877.210810931,ok,,2029.6694189310074,69.67876718069117,256,19797.823530156165,6,1235.4,19856.988621875644
decode,1050,1024,8,0.0,2505877.211133335,ok,,2356.5424252301455,68.61651536150306,256,19853.850324172527,7,1235.4,19856.988621875644
decode,1050,1024,24,0.0,2505898.142682116,ok,,326.8949631601572,115.38488761540137,256,29750.114925205708,0,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.143063304,ok,,1186.1229459755123,112.37679208245348,256,29842.23584178835,1,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.143248832,ok,,1185.824251268059,112.37645324356123,256,29841.85762796551,2,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.14341612,ok,,1185.7230649329722,112.3756079094521,256,29841.556396801025,3,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.143576888,ok,,2046.1523151025176,109.34753085797031,256,29929.80282427743,4,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.143722235,ok,,2045.8930316381156,109.3468825533694,256,29929.41867886111,5,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.143872607,ok,,2045.8082240074873,109.34730105138584,256,29929.407085757703,6,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.144022737,ok,,2906.502245925367,106.3047597568263,256,30014.252464752644,7,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.144169677,ok,,2906.406491994858,106.30520870909095,256,30014.267466031015,8,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.144799876,ok,,2905.1804561167955,106.30516788246585,256,30013.06813582778,9,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.145141895,ok,,3776.02015202865,103.18220515242395,256,30087.517133913934,10,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.14538108,ok,,3775.738500058651,103.18181257987139,256,30087.15948788449,11,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.145606333,ok,,3775.729942135513,103.18217339249803,256,30087.216558866203,12,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.145825389,ok,,4649.258492980152,100.03721602443679,256,30158.77858409658,13,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.146062783,ok,,4648.6538872122765,100.0380366620626,256,30158.390749245882,14,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.146278273,ok,,4648.525813128799,100.03676533735558,256,30157.96005120501,15,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.146496388,ok,,5529.695570934564,96.84677410542088,256,30225.695273838937,16,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.146703735,ok,,5529.773282818496,96.84667567923373,256,30225.714414846152,17,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.146909989,ok,,5529.984934255481,96.84699093192523,256,30226.003202144057,18,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.147243806,ok,,6411.319533828646,93.64315730282196,256,30290.392045862973,19,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.147483913,ok,,6410.682824905962,93.64581995954116,256,30290.401578880847,20,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.147704311,ok,,6410.777049604803,93.64497288331097,256,30290.27384566143,21,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.147913991,ok,,7048.206328880042,91.38665197636274,256,30351.87392588705,22,2009.438,30357.56075475365
decode,1050,1024,24,0.0,2505898.14813183,ok,,7048.025869764388,91.38725761908526,256,30351.81609261781,23,2009.438,30357.56075475365
decode,750,128,1,0.0,2505931.584148903,ok,,82.94440200552344,57.32708633786031,256,14701.423902995884,0,889.844,14701.656665187329
decode,750,128,2,0.0,2505947.327406658,ok,,85.40529618039727,61.04708511345819,256,15652.48507913202,0,910.269,15709.905667696148
decode,750,128,2,0.0,2505947.327889066,ok,,175.5779287777841,60.91575774492002,256,15709.18656559661,1,910.269,15709.905667696148
decode,750,128,4,0.0,2505964.080713471,ok,,88.87343108654022,62.46780521948548,256,16018.224408850074,0,938.854,16080.807372927666
decode,750,128,4,0.0,2505964.081174953,ok,,275.2942549996078,61.979398173371365,256,16080.07037313655,1,938.854,16080.807372927666
decode,750,128,4,0.0,2505964.081450894,ok,,274.70933413133025,61.97948245075988,256,16079.548277892172,2,938.854,16080.807372927666
decode,750,128,4,0.0,2505964.082019258,ok,,274.3329559452832,61.979447714253965,256,16079.132229089737,3,938.854,16080.807372927666
decode,750,128,8,0.0,2505981.211549745,ok,,94.9614429846406,65.04180245831901,256,16680.70510495454,0,987.492,16748.264071997255
decode,750,128,8,0.0,2505981.211985895,ok,,467.59626315906644,63.84221488500343,256,16747.388815972954,1,987.492,16748.264071997255
decode,750,128,8,0.0,2505981.212269372,ok,,467.05741295590997,63.84215718865687,256,16746.84659112245,2,987.492,16748.264071997255
decode,750,128,8,0.0,2505981.212501334,ok,,467.1310307458043,63.84230565608424,256,16746.94545986131,3,987.492,16748.264071997255
decode,750,128,8,0.0,2505981.212724825,ok,,466.654425021261,63.84235713813527,256,16746.484871022403,4,987.492,16748.264071997255
decode,750,128,8,0.0,2505981.213279054,ok,,466.395225841552,63.84241885925625,256,16746.23629776761,5,987.492,16748.264071997255
