phase,freq_mhz,input_len,burst_size,preemptions,send_mono_s,status,error,ttft_ms,tpot_ms,tokens,latency_ms,rank,burst_energy_j,burst_duration_ms
decode,1500,128,1,0.0,2505585.082243603,ok,,79.45100776851177,56.01953266772862,256,14364.624498877674,0,977.468,14365.161177236587
decode,1500,128,2,0.0,2505600.496671861,ok,,86.51089575141668,58.37348729883339,256,14971.881088800728,0,984.317,15028.45481224358
decode,1500,128,2,0.0,2505600.497343278,ok,,159.8146939650178,58.30393232514753,256,15027.40271575749,1,984.317,15028.45481224358
decode,1500,128,4,0.0,2505616.572382968,ok,,88.05889822542667,59.23579606209316,256,15193.36323812604,0,1020.881,15252.86930706352
decode,1500,128,4,0.0,2505616.573100638,ok,,219.93110794574022,58.94772490559548,256,15251.649460755289,1,1020.881,15252.86930706352
decode,1500,128,4,0.0,2505616.573423135,ok,,219.21597188338637,58.94765015326294,256,15250.951592810452,2,1020.881,15252.86930706352
decode,1500,128,4,0.0,2505616.57448505,ok,,218.4777338989079,58.94850418519448,256,15250.381735153496,3,1020.881,15252.86930706352
decode,1500,128,8,0.0,2505632.876361578,ok,,94.4562554359436,60.76979820306102,256,15590.826269239187,0,1074.902,15652.37746015191
decode,1500,128,8,0.0,2505632.877082435,ok,,358.3732321858406,59.97016704184752,256,15650.827574077994,1,1074.902,15652.37746015191
decode,1500,128,8,0.0,2505632.877411398,ok,,357.76797169819474,59.96911692268708,256,15649.93539499119,2,1074.902,15652.37746015191
decode,1500,128,8,0.0,2505632.877690538,ok,,357.3822779580951,59.96878532254521,256,15649.5027882047,3,1074.902,15652.37746015191
decode,1500,128,8,0.0,2505632.877950064,ok,,357.5737690553069,59.970448173436466,256,15650.089150294662,4,1074.902,15652.37746015191
decode,1500,128,8,0.0,2505632.879106867,ok,,356.4672586508095,59.97076708750397,256,15649.043553043157,5,1074.902,15652.37746015191
decode,1500,128,8,0.0,2505632.879512571,ok,,356.1964202672243,59.97091950483474,256,15648.806652985513,6,1074.902,15652.37746015191
decode,1500,128,8,0.0,2505632.879834437,ok,,355.8363411575556,59.970738183633955,256,15648.403078317642,7,1074.902,15652.37746015191
decode,1500,128,16,0.0,2505649.584624403,ok,,102.69590979442,63.93751906340613,256,16406.82528167963,0,1176.267,16476.85047518462
decode,1500,128,16,0.0,2505649.585152064,ok,,613.6349989101291,62.20122440444196,256,16474.984942004085,1,1176.267,16476.85047518462
decode,1500,128,16,0.0,2505649.585480487,ok,,613.3550661616027,62.20147118848913,256,16474.766422994435,2,1176.267,16476.85047518462
decode,1500,128,16,0.0,2505649.585753091,ok,,613.1256357766688,62.20170569003505,256,16474.59444589913,3,1176.267,16476.85047518462
decode,1500,128,16,0.0,2505649.586034153,ok,,613.0443420261145,62.202481136602515,256,16474.710864014924,4,1176.267,16476.85047518462
decode,1500,128,16,0.0,2505649.58627897,ok,,612.8956340253353,62.2028854273844,256,16474.665368907154,5,1176.267,16476.85047518462
decode,1500,128,16,0.0,2505649.586531001,ok,,612.5053530558944,62.20225230881981,256,16474.11466576159,6,1176.267,16476.85047518462
decode,1500,128,16,0.0,2505649.586745874,ok,,611.1511117778718,62.19754162810597,256,16471.61659784615,7,1176.267,16476.85047518462
decode,1500,128,16,0.0,2505649.586925645,ok,,611.5068360231817,62.196315399498914,256,16471.621537115425,8,1176.267,16476.85047518462
decode,1500,128,16,0.0,2505649.587491683,ok,,611.2050078809261,62.20066779493993,256,16472.414577845484,9,1176.267,16476.85047518462
decode,1500,128,16,0.0,2505649.5878257,ok,,611.0946950502694,62.20192557164267,256,16472.620008978993,10,1176.267,16476.85047518462
decode,1500,128,16,0.0,2505649.588491894,ok,,610.1054311729968,62.200511520838035,256,16471.28968499601,11,1176.267,16476.85047518462
decode,1500,128,16,0.0,2505649.588830814,ok,,610.1537719368935,62.202060649938446,256,16471.71367285773,12,1176.267,16476.85047518462
