mono_s,power_w,sm_mhz,energy_mj
2505602.827,65.55,1500,56341643312
2505602.947,65.54,1500,56341649846
2505603.067,65.52,1500,56341662938
2505603.187,65.58,1500,56341669483
2505603.308,65.57,1500,56341676028
2505603.428,65.59,1500,56341682588
2505603.548,65.59,1500,56341689139
2505603.668,65.57,1500,56341702215
2505603.788,65.59,1500,56341708763
2505603.908,65.60,1500,56341715315
2505604.029,65.58,1500,56341721861
2505604.149,65.59,1500,56341728407
2505604.270,65.59,1500,56341741482
2505604.390,65.62,1500,56341748023
2505604.510,65.61,1500,56341754590
2505604.630,65.62,1500,56341761151
2505604.750,65.58,1500,56341767703
2505604.871,65.61,1500,56341780799
2505604.991,65.64,1500,56341787347
2505605.111,65.64,1500,56341793904
2505605.230,65.65,1500,56341800471
2505605.350,65.62,1500,56341807040
2505605.470,65.65,1500,56341820136
2505605.590,65.70,1500,56341826696
2505605.711,65.70,1500,56341833266
2505605.831,65.69,1500,56341839823
2505605.950,65.69,1500,56341846396
2505606.070,65.73,1500,56341859511
2505606.196,65.74,1500,56341866067
2505606.317,65.74,1500,56341872649
2505606.437,65.75,1500,56341879209
2505606.557,65.70,1500,56341885782
2505606.677,65.77,1500,56341898901
2505606.797,65.77,1500,56341905458
2505606.917,65.77,1500,56341912016
2505607.038,65.74,1500,56341918597
2505607.157,65.70,1500,56341925163
2505607.278,65.74,1500,56341938277
2505607.397,65.78,1500,56341944838
2505607.518,65.78,1500,56341951396
2505607.638,65.76,1500,56341957968
2505607.758,65.72,1500,56341964549
2505607.878,65.78,1500,56341977664
2505607.999,65.78,1500,56341984241
2505608.119,65.81,1500,56341990813
2505608.239,65.82,1500,56341997369
2505608.359,65.80,1500,56342003936
2505608.478,65.83,1500,56342017059
2505608.598,65.83,1500,56342023620
2505608.719,65.81,1500,56342030191
2505608.839,65.83,1500,56342036762
2505608.959,65.81,1500,56342043313
2505609.079,65.75,1500,56342056435
2505609.199,65.79,1500,56342063003
2505609.320,65.79,1500,56342069567
2505609.440,65.76,1500,56342076135
2505609.560,65.77,1500,56342082704
2505609.680,65.78,1500,56342095806
2505609.801,65.74,1500,56342102392
2505609.921,65.79,1500,56342108969
2505610.041,65.80,1500,56342115535
2505610.161,65.77,1500,56342122111
2505610.280,65.85,1500,56342135228
2505610.401,65.84,1500,56342141793
2505610.521,65.81,1500,56342148373
2505610.641,65.84,1500,56342154946
2505610.761,65.81,1500,56342161519
2505610.881,65.88,1500,56342174662
2505611.000,65.85,1500,56342181238
2505611.121,65.84,1500,56342187806
2505611.241,65.83,1500,56342194397
2505611.361,65.79,1500,56342200962
2505611.481,65.79,1500,56342214111
2505611.601,65.88,1500,56342220694
2505611.721,65.88,1500,56342227260
2505611.842,65.87,1500,56342233850
2505611.962,65.84,1500,56342240420
2505612.082,65.89,1500,56342253554
2505612.202,65.86,1500,56342260145
2505612.321,65.93,1500,56342266730
2505612.441,65.90,1500,56342273303
2505612.562,65.92,1500,56342279891
2505612.682,65.98,1500,56342293034
2505612.802,65.98,1500,56342299622
2505612.922,65.94,1500,56342306219
2505613.041,65.97,1500,56342312813
2505613.161,65.92,1500,56342319403
2505613.282,66.03,1500,56342332563
2505613.402,66.02,1500,56342339147
2505613.522,66.00,1500,56342345733
2505613.642,65.99,1500,56342352334
2505613.762,65.96,1500,56342358920
2505613.882,66.06,1500,56342372100
2505614.003,66.07,1500,56342378694
2505614.123,66.06,1500,56342385274
2505614.243,65.99,1500,56342391857
2505614.369,66.01,1500,56342405042
2505614.493,66.02,1500,56342411645
2505614.614,66.00,1500,56342418253
2505614.734,66.07,1500,56342424858
2505614.853,66.05,1500,56342431455
2505614.974,66.06,1500,56342444634
2505615.094,66.06,1500,56342451209
2505615.214,66.06,1500,56342457803
2505615.334,65.98,1500,56342464406
2505615.453,66.00,1500,56342470999
2505615.571,66.16,1500,56342482581
2505615.676,62.57,1500,56342485086
2505615.784,58.83,1500,56342487587
2505615.888,55.08,1500,56342490085
2505615.993,51.35,1500,56342492576
2505616.097,47.57,1500,56342495067
2505616.203,43.84,1500,56342497559
2505616.307,40.12,1500,56342500053
