scope,role,gross_energy_j,logical_requests,output_tokens,joules_per_request,joules_per_output_token,valid
D0,decode,685.181,4,512,171.29525,1.338244140625,True
D1,decode,1987.766,4,512,496.9415,3.88235546875,True
P0,prefill,2350.959,4,512,587.73975,4.591716796875,True
P1,prefill,2329.608,4,512,582.402,4.550015625,True
P_pool,prefill,4680.567,4,512,1170.14175,9.141732421875,True
D_pool,decode,2672.947,4,512,668.23675,5.220599609375,True
all_GPU_boards,all,7353.514,4,512,1838.3785,14.36233203125,True
