request_id,selected_prefill_endpoint_id,selected_decode_endpoint_id,route_timestamp_wall_s,prefill_completion_wall_s,kv_handoff_completion_wall_s,decode_start_wall_s,decode_completion_wall_s,outcome
phase3c-b06-r04-full_feedback-decode_heavy-0000,P0,D0,1788006316.115177,1788006316.235371,1788006316.2353733,1788006316.2354834,1788006330.9351435,completed
phase3c-b06-r04-full_feedback-decode_heavy-0001,P0,D0,1788006330.9421353,1788006331.070017,1788006331.0700192,1788006331.0701253,1788006345.7690048,completed
phase3c-b06-r04-full_feedback-decode_heavy-0002,P0,D0,1788006345.7752874,1788006345.8873262,1788006345.8873286,1788006345.887428,1788006360.585896,completed
phase3c-b06-r04-full_feedback-decode_heavy-0003,P0,D0,1788006360.5907166,1788006360.7034137,1788006360.7034166,1788006360.7035232,1788006375.4014585,completed
