proxy_start hostname=ganymede http=0.0.0.0:30048 registry=0.0.0.0:31048
registry_add role=decode http=10.1.0.3:33048 zmq=10.1.0.3:34048
registry_add role=prefill http=10.1.0.6:32048 zmq=10.1.0.6:34048
route count=30 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_c355ca5e9fd447ddac0cf4523beabae7 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=31 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_8a09d8061c80466595e6d6f445df600e prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=32 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_7589dc1a63d14ca48fdeaaecc14b2996 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=33 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_e5e0c8fbcae7492c9e294b006c202a8b prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=34 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_4cc2ccdad59f4fbfa176301dc6dad5eb prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=35 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_8d9f73f955f24d6e91e2e926292642d2 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=36 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_53524dc77ce64a30b6c1a5493305bf51 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=37 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_5d2d86c1e76248be9dbe09c2b35e77ce prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=38 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_4adcdf22242f45bc86381005fa44585e prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=39 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_7907859140ee4d33b420e62181e1e1bc prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=40 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_fd69f0b167bb443a82199a292fedee13 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=41 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_20c7ce22469b41d987ecfe9934ba3166 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=42 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_fd7c04e03c7c4f2c8e9fa90c57620ffc prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=43 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_6a8efab939b34d24ae2802bb10e9e63e prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=44 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_b9796acc418948aa81106dd0660fb927 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=45 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_629933371baf4aacbf6a0f652edd00a3 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=46 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_0d9949813676479da1409a838f849257 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=47 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_9e81db06221245d184a2be25bee9a976 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=48 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_d7a753f42fe347a1aace063ceb95bf5a prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=49 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_ce450691eb8f4297ad4c99f984ce3918 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=50 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_d865cbb5337244d0bba6df1505a7a945 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=51 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_8a5abf51cb2d48649043d843eaa3b020 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=52 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_156a59eb0711412db211f3e9ef8447a5 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=53 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_5a795cd45c364577913b5e4f246b4f5f prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=54 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_e686181a3bfd4feb9af9484d6dcce535 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=55 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_d62f2c7b3fe141348466d0cfa0e848f0 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=56 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_94a1ed83250f47c1ad2fd107e9edd46b prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=57 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_94ff1b0a33c046bdac24834e4096295c prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=58 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_a769c7250d7749969524b910a5469e50 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
