seq,workload_id,duration_s,successful_requests,neptune_energy_j,ganymede_energy_j,combined_energy_j,combined_energy_wh,combined_avg_power_w,energy_per_request_j
1,steady_start,28.729178,12,1776.455492,1054.183723,2830.639216,0.786288671,98.528373,235.886601
2,short_ramp,34.556417,48,2240.165858,1220.087019,3460.252877,0.961181355,100.133438,72.088602
3,prefill_shift,31.43006,36,2067.405909,1180.034139,3247.440047,0.90206668,103.322743,90.206668
4,decode_shift,45.747606,24,3220.613738,1933.61144,5154.225178,1.431729216,112.666556,214.759382
5,sudden_burst,31.199978,80,2267.765983,1225.056866,3492.822848,0.970228569,111.94953,43.660286
6,short_recovery,34.461937,24,2128.58947,1243.831339,3372.420809,0.936783558,97.859294,140.517534
7,long_prefill,31.263371,24,2304.878188,1189.89059,3494.768778,0.970769105,111.78477,145.615366
8,mixed_pressure,47.685841,30,3168.442213,2068.027021,5236.469234,1.454574787,109.811826,174.548974
9,quiet_window,33.146038,12,2047.959518,1193.109778,3241.069296,0.900297027,97.781501,270.089108
10,prefill_peak,31.991918,20,2670.319936,1158.958081,3829.278018,1.063688338,119.695168,191.463901
11,decode_peak,88.7162,10,6123.268772,4564.556762,10687.825534,2.968840426,120.472084,1068.782553
12,final_recovery,33.683434,12,2040.305487,1194.60975,3234.915237,0.898587566,96.038761,269.57627
