scope,role,gross_energy_j,logical_requests,output_tokens,joules_per_request,joules_per_output_token,valid
D0,decode,688.318,4,512,172.0795,1.34437109375,True
D1,decode,1983.813,4,512,495.95325,3.874634765625,True
P0,prefill,2350.331,4,512,587.58275,4.590490234375,True
P1,prefill,2330.998,4,512,582.7495,4.55273046875,True
P_pool,prefill,4681.329,4,512,1170.33225,9.143220703125,True
D_pool,decode,2672.1310000000003,4,512,668.0327500000001,5.219005859375001,True
all_GPU_boards,all,7353.46,4,512,1838.365,14.3622265625,True
