actual_benchmark_duration_s,actual_failed_requests,actual_measured_saturated,actual_output_token_throughput_tps,actual_p99_itl_ms,actual_p99_tpot_ms,actual_p99_ttft_ms,actual_request_throughput_rps,actual_saturation_assessment,actual_successful_requests,actual_throughput_ratio,actual_total_token_throughput_tps,actual_tpot_slo_ok,actual_ttft_slo_ok,combined_avg_power_w,combined_energy_j,configured_request_rate_rps,decision_status,decode_ganymede_gpu_mem_clock_avg_mhz,decode_ganymede_gpu_mem_clock_max_mhz,decode_ganymede_gpu_mem_util_avg_pct,decode_ganymede_gpu_mem_util_max_pct,decode_ganymede_gpu_memory_used_avg_mib,decode_ganymede_gpu_memory_used_max_mib,decode_ganymede_gpu_power_avg_w,decode_ganymede_gpu_power_limit_avg_w,decode_ganymede_gpu_power_limit_max_w,decode_ganymede_gpu_power_max_w,decode_ganymede_gpu_pstate_mode,decode_ganymede_gpu_sm_clock_avg_mhz,decode_ganymede_gpu_sm_clock_max_mhz,decode_ganymede_gpu_sm_clock_min_mhz,decode_ganymede_gpu_temperature_avg_c,decode_ganymede_gpu_temperature_max_c,decode_ganymede_gpu_util_avg_pct,decode_ganymede_gpu_util_max_pct,decode_ganymede_network_rx_bytes,decode_ganymede_network_tx_bytes,decode_ganymede_samples,decode_ganymede_target_freq_mhz,decode_gpu,energy_per_request_j,input_len,output_len,prefill_gpu,prefill_neptune_gpu_mem_clock_avg_mhz,prefill_neptune_gpu_mem_clock_max_mhz,prefill_neptune_gpu_mem_util_avg_pct,prefill_neptune_gpu_mem_util_max_pct,prefill_neptune_gpu_memory_used_avg_mib,prefill_neptune_gpu_memory_used_max_mib,prefill_neptune_gpu_power_avg_w,prefill_neptune_gpu_power_limit_avg_w,prefill_neptune_gpu_power_limit_max_w,prefill_neptune_gpu_power_max_w,prefill_neptune_gpu_pstate_mode,prefill_neptune_gpu_sm_clock_avg_mhz,prefill_neptune_gpu_sm_clock_max_mhz,prefill_neptune_gpu_sm_clock_min_mhz,prefill_neptune_gpu_temperature_avg_c,prefill_neptune_gpu_temperature_max_c,prefill_neptune_gpu_util_avg_pct,prefill_neptune_gpu_util_max_pct,prefill_neptune_network_rx_bytes,prefill_neptune_network_tx_bytes,prefill_neptune_samples,prefill_neptune_target_freq_mhz,seq,workload_id
13.99,0,,27.45,67.4,58.07,274.27,0.86,INCONCLUSIVE_FINITE_POISSON,12,0.86,54.03,True,True,127.281837,3889.788434,1.0,FIXED_AUTO_DVFS,6251.0,6251.0,46.285714,100.0,18668.632653,18677.0,47.244694,72.0,72.0,72.54,P0,1916.020408,2040.0,1575.0,46.367347,52.0,46.244898,100.0,59343402.0,2377973.0,49,0.0,l4,324.149036,32,32,l40s,9001.0,9001.0,1.339623,28.0,37816.056604,37817.0,79.673396,350.0,350.0,95.52,P0,2520.0,2520.0,2520.0,29.283019,30.0,1.301887,28.0,363239.0,57410318.0,53,0.0,1,steady_start
14.12,0,,108.81,71.87,59.67,386.41,3.4,INCONCLUSIVE_FINITE_POISSON,48,0.85,214.21,True,True,134.622553,4105.253256,4.0,FIXED_AUTO_DVFS,6251.0,6251.0,52.083333,100.0,18687.333333,18707.0,50.472708,72.0,72.0,72.84,P0,1899.375,2040.0,1560.0,50.75,55.0,51.916667,100.0,217862840.0,2999658.0,48,0.0,l4,85.526109,32,32,l40s,9001.0,9001.0,3.903846,36.0,37818.961538,37823.0,83.765577,350.0,350.0,116.22,P0,2520.0,2520.0,2520.0,29.711538,32.0,3.903846,37.0,1004674.0,216080819.0,52,0.0,2,short_ramp
14.09,0,,81.79,72.92,59.78,448.25,2.56,INCONCLUSIVE_FINITE_POISSON,36,0.853333,406.38,True,True,131.718543,4434.77402,3.0,FIXED_AUTO_DVFS,6251.0,6251.0,42.592593,100.0,18739.259259,18805.0,48.307222,72.0,72.0,72.9,P0,1909.166667,2040.0,1635.0,53.277778,58.0,43.907407,100.0,654062756.0,4922708.0,54,0.0,l4,123.188167,128,32,l40s,9001.0,9001.0,1.578947,28.0,37829.596491,37847.0,83.072807,350.0,350.0,112.17,P0,2520.0,2520.0,2520.0,30.298246,33.0,1.877193,30.0,422240433.0,653551651.0,57,0.0,3,prefill_shift
19.71,0,,155.89,70.39,60.47,288.5,1.22,INCONCLUSIVE_FINITE_POISSON,24,0.61,193.65,True,True,135.933217,5596.895434,2.0,FIXED_AUTO_DVFS,6251.0,6251.0,62.061538,100.0,18805.0,18805.0,56.305846,72.0,72.0,72.3,P0,1787.538462,2040.0,1515.0,57.292308,62.0,62.323077,100.0,112247886.0,2646498.0,65,0.0,l4,233.203976,32,128,l40s,9001.0,9001.0,2.385714,60.0,37847.0,37847.0,79.284,350.0,350.0,96.05,P0,2520.0,2520.0,2520.0,30.071429,31.0,2.357143,56.0,387855016.0,110812226.0,70,0.0,4,decode_shift
13.53,0,,189.23,77.07,62.22,432.21,5.91,INCONCLUSIVE_FINITE_POISSON,80,0.73875,940.26,True,True,140.877405,4255.059552,8.0,FIXED_AUTO_DVFS,6251.0,6251.0,50.0,100.0,18850.208333,18933.0,50.488542,72.0,72.0,72.79,P0,1833.75,2040.0,1515.0,59.291667,63.0,49.854167,100.0,1427546348.0,6036912.0,48,0.0,l4,53.188244,128,32,l40s,9001.0,9001.0,5.307692,46.0,37848.538462,37851.0,89.892692,350.0,350.0,128.51,P0,2520.0,2520.0,2520.0,30.711538,35.0,5.461538,46.0,355449350.0,1424042984.0,52,0.0,5,sudden_burst
14.04,0,,54.7,68.36,58.67,337.39,1.71,INCONCLUSIVE_FINITE_POISSON,24,0.855,107.7,True,True,130.569539,4134.890846,2.0,FIXED_AUTO_DVFS,6251.0,6251.0,46.62,100.0,18933.0,18933.0,49.9812,72.0,72.0,72.38,P0,1868.7,2040.0,1515.0,59.8,63.0,47.02,100.0,112210470.0,2513484.0,50,0.0,l4,172.287119,32,32,l40s,9001.0,9001.0,2.363636,32.0,37851.0,37851.0,80.242182,350.0,350.0,97.99,P0,2520.0,2520.0,2520.0,30.745455,31.0,2.345455,31.0,382911354.0,111169413.0,55,0.0,6,short_recovery
14.1,0,,54.47,72.57,61.1,499.21,1.7,INCONCLUSIVE_FINITE_POISSON,24,0.85,924.32,True,True,133.306283,4671.225211,2.0,FIXED_AUTO_DVFS,6251.0,6251.0,43.636364,100.0,19096.272727,19393.0,48.35,72.0,72.0,72.66,P0,1870.636364,2040.0,1485.0,59.945455,64.0,43.563636,100.0,1759826312.0,5811803.0,55,0.0,l4,194.634384,512,32,l40s,9001.0,9001.0,1.672131,28.0,37913.032787,38089.0,84.364262,350.0,350.0,118.09,P0,2517.295082,2520.0,2475.0,30.52459,36.0,2.327869,36.0,437070349.0,1756470257.0,61,0.0,7,long_prefill
20.9,0,,183.69,72.92,61.8,335.15,1.44,INCONCLUSIVE_FINITE_POISSON,30,0.48,365.94,True,True,136.527663,5790.368723,3.0,FIXED_AUTO_DVFS,6251.0,6251.0,65.151515,100.0,19393.0,19393.0,57.474697,72.0,72.0,72.96,P0,1740.909091,2040.0,1485.0,62.212121,66.0,65.045455,100.0,547016327.0,3251604.0,66,0.0,l4,193.012291,128,128,l40s,9001.0,9001.0,2.337838,26.0,38089.0,38089.0,78.707297,350.0,350.0,106.33,P0,2520.0,2520.0,2520.0,30.662162,33.0,2.432432,29.0,538631946.0,545791468.0,74,0.0,8,mixed_pressure
14.03,0,,27.37,66.67,58.21,253.11,0.86,INCONCLUSIVE_FINITE_POISSON,12,0.86,53.88,True,True,126.370516,4233.760806,1.0,FIXED_AUTO_DVFS,6251.0,6251.0,40.622642,100.0,19393.0,19393.0,47.488491,72.0,72.0,72.44,P0,1881.226415,2040.0,1470.0,61.716981,65.0,41.358491,100.0,61349927.0,3914414.0,53,0.0,l4,352.813401,32,32,l40s,9001.0,9001.0,1.655172,26.0,38089.0,38089.0,78.574655,350.0,350.0,102.0,P0,2520.0,2520.0,2520.0,30.051724,31.0,1.568966,26.0,396442095.0,57981915.0,58,0.0,9,quiet_window
12.16,0,,52.65,70.94,62.75,639.61,1.65,INCONCLUSIVE_FINITE_POISSON,20,0.825,1735.8,True,False,134.805325,3831.051061,2.0,FIXED_AUTO_DVFS,6251.0,6251.0,47.488889,100.0,19526.333333,19833.0,49.978889,72.0,72.0,72.39,P0,1859.333333,2040.0,1515.0,61.755556,65.0,47.288889,100.0,2951147021.0,4427102.0,45,0.0,l4,191.552553,1024,32,l40s,9001.0,9001.0,3.88,43.0,38119.24,38257.0,84.2734,350.0,350.0,127.5,P0,2508.3,2520.0,2370.0,30.58,33.0,7.44,68.0,2333040.0,2949240052.0,50,0.0,10,prefill_peak
