scope,role,gross_energy_j,logical_requests,output_tokens,joules_per_request,joules_per_output_token,valid
D0,decode,3464.478,4,1024,866.1195,3.383279296875,True
D1,decode,1347.029,4,1024,336.75725,1.3154580078125,True
P0,prefill,3634.835,4,1024,908.70875,3.5496435546875,True
P1,prefill,4674.026,4,1024,1168.5065,4.564478515625,True
P_pool,prefill,8308.861,4,1024,2077.21525,8.1141220703125,True
D_pool,decode,4811.507,4,1024,1202.87675,4.6987373046875,True
all_GPU_boards,all,13120.368,4,1024,3280.092,12.812859375,True
