unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib
1784816780,2,735,23787077497,17017626803,0, 59.86, 735, 37927
1784816782,2,735,23787079093,17017630139,0, 59.99, 735, 37927
1784816784,2,735,23787083035,17017636344,0, 59.99, 735, 37927
1784816786,2,735,23787085189,17017640241,0, 59.86, 735, 37927
1784816788,2,735,23787086785,17017643897,0, 59.86, 735, 37927
1784816790,2,735,23787088447,17017647612,0, 59.86, 735, 37927
1784816792,2,735,23787090479,17017651391,0, 59.86, 735, 37927
1784816794,2,735,23787092075,17017655099,0, 59.86, 735, 37927
1784816796,2,735,23787094115,17017659194,0, 59.99, 735, 37927
1784816798,2,735,23787095777,17017663157,0, 59.86, 735, 37927
1784816800,2,735,23787097757,17017667500,0, 59.86, 735, 37927
1784816803,2,735,23787099353,17017671456,0, 59.86, 735, 37927
1784816805,2,735,23787101015,17017675607,0, 59.86, 735, 37927
1784816807,2,735,23787102995,17017680068,0, 59.86, 735, 37927
1784816809,2,735,23787104591,17017684146,0, 59.86, 735, 37927
1784816811,2,735,23787107449,17017689675,0, 59.86, 735, 37927
1784816813,2,735,23787110355,17017695230,0, 59.86, 735, 37927
1784816815,2,735,23787112017,17017699755,0, 59.86, 735, 37927
1784816817,2,735,23787113613,17017704147,0, 59.86, 735, 37927
1784816819,2,735,23787326929,17017935488,0, 59.86, 735, 37927
