arrival_time_s,input_len,output_len
0.0000,2753,1
0.0150,1265,70
0.1243,97,3
0.1469,1971,145
0.2509,2271,3
0.2809,4459,7
0.3311,3573,9
0.3329,6108,1
0.3959,1547,34
0.5023,7389,39
0.5044,2753,2
0.5047,945,6
0.5161,4489,19
0.6243,97,2
0.6251,848,15
0.7638,1265,163
0.8326,3574,1
0.9968,945,6
1.0811,6109,15
1.2500,945,6
1.2841,1106,61
1.3312,3574,11
1.3942,1547,1
1.3978,2702,18
1.4990,2273,1
1.5003,945,6
1.5301,1017,130
1.5308,6417,22
1.5312,308,60
1.7509,2274,7
1.7524,1009,5
1.7633,290,52
1.7633,4491,24
1.7799,7643,3
1.7814,1106,48
1.8273,2631,3
1.8955,649,81
1.8958,2994,3
1.8960,1544,3
1.8986,2704,1
2.0077,948,5
2.0223,4492,16
2.0296,238,31
2.0297,1038,204
2.1242,3142,3
2.1439,1065,3
2.2500,2274,6
2.2506,7681,6
2.2510,1010,1
2.2797,1108,6
2.3767,323,2
2.3943,2705,7
2.5013,2274,1
2.5029,1010,1
2.5142,4492,14
2.6241,2730,36
2.6253,2375,9
2.7650,2272,10
2.7651,4747,12
2.7800,2266,2
2.7809,1108,7
2.8310,1315,11
2.8751,2376,16
2.8944,2704,2
2.9994,2274,6
3.0007,1010,16
3.0012,952,1
3.0208,239,5
3.0216,1395,3
3.0311,7643,3
3.0320,1108,9
3.1472,7677,42
3.2495,7679,3
3.2727,214,22
3.2804,1108,2
3.2829,2063,9
3.2830,2273,8
3.2842,1569,9
3.2846,3623,1
3.2846,240,7
3.3278,7395,9
3.3284,1315,7
3.3942,1546,9
3.4990,951,2
3.5307,168,25
3.5322,2265,3
3.6253,1679,48
3.6281,1108,2
3.7470,2275,1
3.7842,2266,2
3.8296,7399,9
3.8951,3329,55
4.0306,168,89
4.0315,6420,15
4.0316,2266,2
4.1242,3144,1
4.2513,7683,2
4.2693,1266,47
4.2752,1215,384
4.2815,1108,2
4.2820,2266,1
4.2824,2266,2
4.5171,4489,12
4.5236,1394,3
4.6440,2563,56
4.7711,1266,85
4.7722,4489,16
4.7723,833,13
4.7811,310,4
4.7844,1215,2
4.7845,242,9
5.0009,2277,4
5.0161,1574,5
5.1442,2564,7
5.2534,7389,14
5.2550,690,16
5.2728,765,2
5.3951,1540,14
5.3960,2144,6
5.4006,3336,70
5.5115,1266,111
5.6439,2572,3
5.6459,2744,26
5.7513,290,37
5.7798,3977,9
5.7803,1123,2
5.7810,1037,1
5.8266,3582,15
5.8738,324,51
6.0029,7684,115
6.0262,1571,6
6.1283,324,31
6.1464,3483,14
6.2856,2271,20
6.3286,3585,21
6.3739,207,40
6.3956,7676,44
6.5036,7682,15
6.5163,215,7
6.5203,240,81
6.5390,3318,208
6.5395,3319,31
6.7542,7391,3
6.7569,90,158
6.7664,833,13
6.7707,1572,54
6.7799,2447,41
6.7805,2447,197
6.7811,1640,1
6.8305,1540,12
6.8765,1288,201
7.0001,7684,4
7.0005,1015,3
7.0125,1590,42
7.0131,1574,5
7.2492,1537,7
7.3760,847,12
7.3783,1289,9
7.5009,7679,3
7.5023,93,9
7.5028,4261,2
7.6249,2924,15
7.6267,712,1
7.7518,1015,6
7.7644,2259,10
7.8970,1975,2
8.0006,92,18
8.0015,1016,53
8.0129,6426,11
8.0321,1997,17
8.1243,713,4
8.1488,1436,81
8.1524,900,3
8.2475,7391,3
8.2811,2282,3
8.2823,3319,450
8.3313,327,22
8.4013,2400,3
8.4988,90,6
8.5451,314,202
8.6260,1288,172
8.6524,1436,74
8.6533,172,7
8.6565,6852,249
8.7505,92,10
8.7811,2450,52
8.7824,3602,13
8.8756,1289,1
8.8978,3483,1
9.0125,1576,1
9.0313,7645,7
9.1266,2925,3
9.1283,20,5
9.1306,336,15
9.1494,2400,43
9.2623,6425,13
9.3983,175,8
9.4979,1325,9
9.5311,2452,4
9.7547,289,22
9.7617,1578,36
9.7814,4900,12
9.9006,177,8
9.9970,7682,3
10.0314,1998,13
10.0346,2426,19
10.0349,2274,3
10.0352,7645,11
10.0784,6109,10
10.1564,3484,13
10.1570,177,8
10.1594,1675,40
10.1612,1977,17
10.2804,2453,3
10.3758,21,14
10.3944,215,6
10.3950,902,3
10.5099,1748,4
10.5319,1997,7
10.5326,2151,2
10.5351,2274,13
10.5361,1038,407
10.7512,1328,5
10.7525,706,7
10.7805,107,9
10.7827,3423,16
10.8989,178,21
11.0028,7683,15
11.0043,4265,7
11.0124,7175,2
11.0411,2274,13
11.2498,1329,4
11.2512,346,20
