arrival_time_s,input_len,output_len
0.0000,2885,372
0.0006,338,37
0.0012,1359,43
0.0141,3859,371
0.0934,1453,41
0.1448,430,59
0.2491,1554,255
0.2661,1799,18
0.2717,2542,286
0.3472,3421,3
0.3482,1925,3
0.5004,2410,3
0.5011,1831,3
0.5056,715,18
0.5081,560,23
0.5149,3699,12
0.5968,2487,465
0.5971,236,154
0.5972,634,71
0.5979,6958,273
0.5988,630,102
0.6459,2448,223
0.7501,2369,3
0.7662,702,12
0.8512,2675,916
1.0039,983,44
1.0965,580,36
1.1447,1314,7
1.1470,723,10
1.2500,617,46
1.2668,353,12
1.3445,558,22
1.3456,2411,450
1.3472,3776,547
1.3485,558,24
1.3507,2180,3
1.5974,3610,646
1.5980,718,27
1.5981,558,24
1.5999,215,38
1.6462,3233,278
1.6497,1033,64
1.6499,243,59
1.7498,2497,7
1.7504,3825,411
1.8477,677,12
1.8479,227,133
1.8940,301,44
1.8959,286,41
2.0005,554,20
2.0042,2333,246
2.0061,726,98
2.0087,4203,22
2.0949,2743,240
2.0967,572,29
2.0977,2289,336
2.1210,4412,63
2.2510,1928,3
2.2522,1226,3
2.2641,910,15
2.2923,480,105
2.3488,4887,21
2.3509,5070,69
2.3510,2650,13
2.3514,906,19
2.3954,554,20
2.4006,654,8
2.5019,711,13
2.5057,352,48
2.5199,4646,3
2.5966,562,16
2.5971,531,6
2.5975,574,29
2.5978,2918,340
2.6012,54,50
2.6019,4109,1024
2.6467,525,63
2.7554,2221,320
2.7669,7096,13
2.7756,2652,360
2.7760,2151,16
2.8475,581,13
2.8499,1713,3
2.8946,353,7
3.0033,4991,699
3.0084,2609,19
3.0085,5395,539
3.0089,732,4
3.0117,446,52
3.0140,286,67
3.1024,308,42
3.1031,1294,83
3.1420,512,60
3.1447,1583,47
3.1449,590,6
3.2510,602,25
3.2576,2092,16
3.2605,1594,234
3.2607,1635,10
3.2636,3212,27
3.2657,368,39
3.2677,393,50
3.3465,243,52
3.3542,453,5
3.3550,2734,490
3.3959,681,12
3.5001,445,20
3.5008,2469,47
3.5040,2965,3
3.5045,3088,13
3.5077,497,53
3.5174,2819,701
3.5976,1768,46
3.6002,2533,349
3.6004,2528,3
3.7511,1537,3
3.7659,546,16
3.8481,222,58
3.8723,2741,284
3.8734,2626,3
3.8813,568,30
3.8816,3672,22
3.8945,566,28
3.8959,550,19
4.0035,562,19
4.0967,4608,483
4.1031,579,56
4.1063,2416,264
4.2578,5435,618
4.2620,588,37
4.3493,629,174
4.3587,5178,432
4.4034,310,45
4.5121,286,58
4.5127,4638,616
4.5155,456,78
4.5968,519,36
4.6742,2092,3
4.6748,4757,17
4.6751,4307,44
4.7514,525,46
4.7544,507,40
4.7693,2765,3
4.8476,103,46
4.8905,495,38
4.8907,2649,438
4.8933,505,48
5.0078,576,11
5.1059,607,16
5.1418,2141,425
5.1434,294,104
5.2545,2231,281
5.2619,580,33
5.2622,867,30
5.2630,311,163
5.2730,3524,3
5.3513,2958,729
5.3949,2593,375
5.3959,548,20
5.5050,556,22
5.5075,461,60
5.5086,661,53
5.5116,1782,160
5.5185,837,14
5.6011,677,59
5.6029,345,46
5.6061,4183,263
5.6063,556,21
5.6494,1960,540
5.7643,1865,312
5.7666,2923,16
5.8506,643,39
5.8956,194,3
5.8970,1921,244
5.9014,2773,386
6.2626,2608,17
6.2657,439,43
6.2665,4699,1023
6.3503,3055,3
6.3504,2873,94
6.3543,385,9
6.3562,2494,3
6.3930,299,51
6.3958,5975,24
6.3960,2191,19
6.5134,552,19
6.5147,2396,465
6.5175,1891,15
6.6001,1283,20
6.6005,2123,410
6.6415,364,92
6.6416,546,16
6.6421,584,35
6.7581,467,30
6.7643,751,97
6.7668,2161,506
6.8501,53,76
6.8524,685,45
6.8535,2368,8
6.8681,1852,411
6.8931,427,63
7.0080,2373,357
7.0087,237,64
7.0161,3936,3
7.0193,694,19
7.1123,568,28
7.1285,3136,342
7.1420,324,11
7.2533,365,74
7.2604,576,34
7.2667,2533,285
7.2668,1811,3
7.2678,2966,284
7.2701,3605,3
7.2704,2087,3
7.2706,554,20
7.3542,3650,600
7.3543,892,10
7.3555,866,9
7.3593,744,35
7.3940,558,24
7.5066,574,33
7.5161,704,48
7.5177,2350,309
7.6147,1772,3
7.6459,2896,3
7.6462,678,53
7.7567,554,16
7.7593,580,10
7.8558,542,11
7.8559,108,44
8.0040,568,30
8.0069,221,157
8.1043,454,37
8.1046,3119,310
8.1054,5903,578
8.1082,5319,440
8.1091,568,27
8.1095,936,81
8.1436,597,16
8.1439,7092,3
8.1441,2840,273
8.1473,2709,343
8.2515,2121,482
8.2604,457,11
8.2648,6211,21
8.3544,611,21
8.3571,2360,684
