time_start_s,time_end_s,component,samples,running_avg,running_max,waiting_avg,waiting_max,gpu_cache_usage_avg,gpu_cache_usage_max
0.0,5.0,decode,5,0.0,0.0,0.0,0.0,,
0.0,5.0,prefill,5,0.0,0.0,0.0,0.0,,
5.0,10.0,decode,5,0.0,0.0,0.0,0.0,,
5.0,10.0,prefill,5,0.0,0.0,0.0,0.0,,
10.0,15.0,decode,5,0.0,0.0,0.0,0.0,,
10.0,15.0,prefill,5,0.0,0.0,0.0,0.0,,
15.0,20.0,decode,5,8.6,16.0,0.0,0.0,,
15.0,20.0,prefill,5,6.8,19.0,0.0,0.0,,
20.0,25.0,decode,5,36.6,64.0,0.0,0.0,,
20.0,25.0,prefill,5,28.4,38.0,19.0,43.0,,
25.0,30.0,decode,5,38.4,64.0,0.0,0.0,,
25.0,30.0,prefill,5,33.2,38.0,74.8,96.0,,
30.0,35.0,decode,5,51.2,64.0,0.0,0.0,,
30.0,35.0,prefill,5,28.4,38.0,158.6,184.0,,
35.0,40.0,decode,5,38.4,64.0,0.0,0.0,,
35.0,40.0,prefill,5,33.2,38.0,212.6,233.0,,
40.0,45.0,decode,5,51.2,64.0,0.0,0.0,,
40.0,45.0,prefill,5,28.4,38.0,281.8,303.0,,
45.0,50.0,decode,5,38.4,64.0,0.0,0.0,,
45.0,50.0,prefill,5,33.2,38.0,328.2,347.0,,
50.0,55.0,decode,5,51.2,64.0,0.0,0.0,,
50.0,55.0,prefill,5,28.4,38.0,384.0,384.0,,
55.0,60.0,decode,5,38.4,64.0,0.0,0.0,,
55.0,60.0,prefill,5,33.2,38.0,384.0,384.0,,
60.0,65.0,decode,5,46.0,64.0,0.0,0.0,,
60.0,65.0,prefill,5,28.4,38.0,384.0,384.0,,
65.0,70.0,decode,5,43.6,64.0,0.0,0.0,,
65.0,70.0,prefill,5,35.6,38.0,384.0,384.0,,
70.0,75.0,decode,5,46.0,64.0,0.0,0.0,,
70.0,75.0,prefill,5,28.4,38.0,384.0,384.0,,
75.0,80.0,decode,5,43.6,64.0,0.0,0.0,,
75.0,80.0,prefill,5,33.2,38.0,384.0,384.0,,
80.0,85.0,decode,5,46.0,64.0,0.0,0.0,,
80.0,85.0,prefill,5,28.4,38.0,384.0,384.0,,
85.0,90.0,decode,5,43.6,64.0,0.0,0.0,,
85.0,90.0,prefill,5,33.2,38.0,384.0,384.0,,
90.0,95.0,decode,5,46.0,64.0,0.0,0.0,,
90.0,95.0,prefill,5,28.4,38.0,384.0,384.0,,
95.0,100.0,decode,5,43.6,64.0,0.0,0.0,,
95.0,100.0,prefill,5,33.2,38.0,363.2,384.0,,
100.0,105.0,decode,5,46.0,64.0,0.0,0.0,,
100.0,105.0,prefill,5,28.4,38.0,279.8,313.0,,
105.0,110.0,decode,5,43.6,64.0,0.0,0.0,,
105.0,110.0,prefill,5,35.6,38.0,180.2,211.0,,
110.0,115.0,decode,5,46.0,64.0,0.0,0.0,,
110.0,115.0,prefill,5,28.4,38.0,87.8,121.0,,
115.0,120.0,decode,5,53.6,64.0,7.6,19.0,,
115.0,120.0,prefill,5,7.6,38.0,3.8,19.0,,
120.0,125.0,decode,1,0.0,0.0,0.0,0.0,,
120.0,125.0,prefill,1,0.0,0.0,0.0,0.0,,
