scope,role,gross_energy_j,logical_requests,output_tokens,joules_per_request,joules_per_output_token,valid
D0,decode,660.204,4,256,165.051,2.578921875,True
D1,decode,649.57,4,256,162.3925,2.5373828125,True
P0,prefill,1186.234,4,256,296.5585,4.6337265625,True
P1,prefill,1185.35,4,256,296.3375,4.6302734375,True
P_pool,prefill,2371.584,4,256,592.896,9.264,True
D_pool,decode,1309.774,4,256,327.4435,5.1163046875,True
all_GPU_boards,all,3681.3579999999997,4,256,920.3394999999999,14.380304687499999,True
