workload_id,axis,prefill_frequency_mhz,decode_frequency_mhz,sample_count,slo_met,ttft_p95_ms,tpot_p95_ms,prefill_power_w,decode_power_w,joint_power_w,prefill_energy_j,decode_energy_j,joint_energy_j
small_light,P,900,1500,3,True,189.7697300533764,55.9458428271307,68.08775292945863,68.02915302202324,136.11690595148187,252.95399999999998,252.737,505.69100000000003
small_light,P,1005,1500,3,True,186.4265681244433,55.943837311924504,68.36996576539251,69.18455790992765,137.55452367532016,253.82399999999998,256.8486666666667,510.67266666666666
small_light,P,1110,1500,3,True,183.52548443945125,55.945199873993204,68.18118232303797,69.2397261077427,137.42090843078066,253.00266666666667,256.93066666666664,509.93333333333334
small_light,P,1200,1500,3,True,180.09164633695036,55.9449449392213,69.54916481215622,69.79657990795774,139.34574472011397,257.6046666666667,258.5203333333333,516.125
small_light,P,1305,1500,3,True,180.71506404085085,55.9459405171404,70.27836529106197,70.09141274519169,140.36977803625368,260.4963333333333,259.80266666666665,520.299
small_light,P,1410,1500,3,True,177.84507736796513,55.94090358298716,70.76448424089159,70.4581103281492,141.2225945690408,262.1513333333333,261.0163333333333,523.1676666666666
small_light,P,1500,1500,3,True,179.42210839828476,55.93938366177359,70.93706719375102,70.47711124370197,141.41417843745296,262.7633333333333,261.0596666666667,523.823
small_light,P,1605,1500,3,True,177.266681403853,55.94686972871719,71.9357888534559,71.28879288325894,143.22458173671484,266.20666666666665,263.8156666666667,530.0223333333333
small_light,P,1710,1500,3,True,179.23416406847537,55.94539528357841,71.909222426905,71.1406725348128,143.0498949617178,266.33033333333333,263.484,529.8143333333334
small_light,P,1815,1500,3,True,176.5508913085796,55.9443932839684,72.45589840170442,71.37268716716692,143.82858556887132,268.13033333333334,264.12166666666667,532.2520000000001
small_light,P,1920,1500,3,True,177.2409271565266,55.94726676927022,72.84619894206976,71.50340048376749,144.34959942583725,269.80333333333334,264.83,534.6333333333333
small_light,P,2010,1500,3,True,175.06799207767472,55.94743385814899,73.43716131488948,71.66913343481224,145.1062947497017,271.8206666666667,265.2763333333333,537.097
