workload_id,prefill_frequency_mhz,decode_frequency_mhz,prefill_power_w,decode_power_w,additive_axis_power_w,joint_measured_power_w,joint_measured_energy_j,joint_ttft_p95_ms,joint_tpot_p95_ms,joint_sample_count,slo_met
small_light,900,450,68.08775292945863,59.673493823075205,127.76124675253384,127.61854535804314,496.7763333333333,189.32947119465098,58.75933965656995,3,True
prefill_medium,900,450,71.96981125192515,56.72297004893026,128.69278130085542,127.97237637126386,551.4293333333334,401.995277160313,62.044887438726924,3,True
prefill_heavy,1815,450,80.11271039463129,55.103429560429284,135.21613995506058,133.51360075326158,619.5123333333332,496.8075289274566,65.73586168233305,3,True
decode_medium,900,450,64.87365446061021,59.04538302547487,123.91903748608507,123.44304354711113,945.3626666666668,190.13477101689205,58.78419296331997,3,True
decode_heavy,900,450,62.448985873146945,58.98714407890423,121.43612995205117,121.44241830684082,1851.5393333333334,192.95101130846888,59.023437841439296,3,True
balanced_medium,900,450,65.06403335467394,58.370785013603516,123.43481836827746,123.4427965463051,975.1603333333333,251.84433958493173,60.20758996779964,3,True
both_heavy,1920,450,68.07318791917804,55.68536013545785,123.7585480546359,123.60924643391571,2140.8773333333334,495.04849644144997,65.97348255776417,3,True
