window_id,workload,phase,axis,repeat,confirmation_attempt,candidate_index,P0_requested_freq_mhz,P1_requested_freq_mhz,D0_requested_freq_mhz,D1_requested_freq_mhz,completed_requests,configured_max_concurrency,observed_peak_concurrency,concurrency_valid,offered_rate_rps,achieved_throughput_rps,slo_goodput_rps,measurement_valid,route_valid,clocks_valid,slo_pass,slo_violation_count,mean_ttft_ms,p99_ttft_ms,max_ttft_ms,mean_tpot_ms,p99_tpot_ms,max_tpot_ms,joules_per_request,total_gpu_gross_energy_j,P_pool_energy_j,D_pool_energy_j,route_distribution_json,frequency_match_fraction_json,window_start_unix_s,window_end_unix_s,hard_gates_json
001-global_warmup-warmup-r01,global_warmup,warmup,,1,0,,2520,2520,1500,1500,16,4,0,False,4.0,2.95230505856186,2.583266926241628,True,True,True,False,2,353.105435064208,797.3831505922134,836.2117449869402,58.084289999775756,58.623634693406835,58.626146133368216,95.65718749999999,1530.5149999999999,946.829,583.6859999999999,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788126189.0837002,1788126194.5031943,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
002-small_light-baseline_high-r01,small_light,baseline_high,,1,0,,2520,2520,1500,1500,16,4,0,False,1.0,0.8491966269050494,0.8491966269050494,True,True,True,True,0,261.494306185341,298.39500625093933,299.09267800394446,57.77338590477093,58.06925903538257,58.06934361859772,337.3543125,5397.669,3047.7380000000003,2349.931,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788126231.545015,1788126250.3863523,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
003-small_light-baseline_high-r02,small_light,baseline_high,,2,0,,2520,2520,1500,1500,16,4,0,False,1.0,0.8482277364825904,0.8482277364825904,True,True,True,True,0,258.4151339469827,305.26490166957956,307.6628660201095,57.77757869342052,58.1039410084486,58.104928729811775,340.89824999999996,5454.371999999999,3091.9939999999997,2362.3779999999997,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788126289.3128963,1788126308.175755,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
004-small_light-baseline_high-r03,small_light,baseline_high,,3,0,,2520,2520,1500,1500,16,4,0,False,1.0,0.8486134154230759,0.8486134154230759,True,True,True,True,0,269.7561383647553,312.20473305147607,314.1632190090604,57.77629549895267,58.08015151876986,58.080577778459954,338.58337500000005,5417.334000000001,3054.873,2362.4610000000002,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788126344.9785583,1788126363.8328443,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
