proxy_start hostname=ganymede http=0.0.0.0:30140 registry=0.0.0.0:31140
registry_add role=decode http=10.1.0.3:33140 zmq=10.1.0.3:34140
registry_add role=prefill http=10.1.0.6:32140 zmq=10.1.0.6:34140
route count=31 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_9462a8bc4c0940b482dd555582b53615 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=32 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_b2e45a17fc164969b785e62a78cbb7c4 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=33 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_573fc46395c847fa871e3832565f4b05 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=34 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_8c5002c610484d12b755098eceecc33c prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=35 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_840021d4930d47e7aaf72729d3511b4f prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=36 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_02e09fc73d584a69988df864c7a71756 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=37 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_4f55fae886794df9933bbbdca09ad7cc prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=38 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_c1cd3a844495492287b1ee6def851961 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=39 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_6895a58a43be43818468c715dcf35332 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=40 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_02e37b6d4810482a9ac3c545e8141a7c prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=41 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_e2bcaf7a412249f3b39a42e016709687 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=42 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_fe2480079a7341aea40a96e70f0f09fb prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=43 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_48479f83b7214f15a22c6ab530b8ad24 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
