arrival_wall_s,candidate_id,client_latency_s,completion_wall_s,error,observed_output_tokens,offered_rate_rps,request_id,request_index,success,tpot_ms,ttft_ms,workload_id
1788886050.5090957,warmup,4.871086794184521,1788886055.380159,,64,0.0,warmup-000001,1,True,55.94353717456143,1340.9917368553579,small_light
1788886055.3830593,warmup,3.7043856049422175,1788886059.0873988,,64,0.0,warmup-000002,2,True,55.96185754245472,169.17598387226462,small_light
1788886059.0889707,warmup,3.6998772849328816,1788886062.7888284,,64,0.0,warmup-000003,3,True,55.94916876021122,170.56810203939676,small_light
1788886062.7908058,small_light-bracket-01-rps-0.100000,3.696970242075622,1788886066.4877555,,64,0.1,capacity-000004,1,True,55.95217027243168,167.5051348283887,small_light
1788886072.7990859,small_light-bracket-01-rps-0.100000,3.7011394139844924,1788886076.5002048,,64,0.1,capacity-000005,2,True,55.94856384402466,171.96431593038142,small_light
1788886082.7978528,small_light-bracket-01-rps-0.100000,3.7017175210639834,1788886086.499549,,64,0.1,capacity-000006,3,True,55.94563226969469,172.10501711815596,small_light
1788886092.7979822,small_light-bracket-01-rps-0.100000,3.7015379660297185,1788886096.4994986,,64,0.1,capacity-000007,4,True,55.94582209319231,171.50005418807268,small_light
1788886102.798099,small_light-bracket-01-rps-0.100000,3.7038252339698374,1788886106.501902,,64,0.1,capacity-000008,5,True,55.950423588030155,173.7742859404534,small_light
1788886112.7982903,small_light-bracket-01-rps-0.100000,3.705601993948221,1788886116.5038762,,64,0.1,capacity-000009,6,True,55.94457274613281,174.6042100712657,small_light
1788886122.7974315,small_light-bracket-01-rps-0.100000,3.703635021811351,1788886126.501045,,64,0.1,capacity-000010,7,True,55.95181558635973,173.63750096410513,small_light
1788886132.7978697,small_light-bracket-01-rps-0.100000,3.6980094600003213,1788886136.4958575,,64,0.1,capacity-000011,8,True,55.952370333086165,168.18951605819166,small_light
