request_id,input_len,requested_output_len,observed_output_tokens,prefill_endpoint_id,decode_endpoint_id,ttft_ms,tpot_ms,mean_itl_ms,e2e_latency_ms,prefill_latency_ms,decode_stream_latency_ms,real_sse,logical_request_id_propagated
phase3c-b14-r01-static-both_heavy-0000,512,128,128,P0,D0,265.79534099437296,56.3958237322568,56.392579157488406,7428.064954990987,179.10842000856064,7243.18029297865,True,True
phase3c-b14-r01-static-both_heavy-0001,512,128,128,P0,D1,227.71163698052987,56.40079002363578,56.3986249291888,7390.611969982274,142.47897002496757,7242.237673985073,True,True
phase3c-b14-r01-static-both_heavy-0002,512,128,128,P1,D0,221.28110300400294,56.39967194476026,56.39739581874176,7384.039439988555,133.82910698419437,7239.939393999521,True,True
phase3c-b14-r01-static-both_heavy-0003,512,128,128,P1,D1,233.7996949790977,56.39810767735164,56.39603859071224,7396.359370002756,148.5804370022379,7241.194760019425,True,True
