request_id,selected_prefill_endpoint_id,selected_decode_endpoint_id,route_timestamp_wall_s,prefill_completion_wall_s,kv_handoff_completion_wall_s,decode_start_wall_s,decode_completion_wall_s,outcome
phase3c-xpyd_power_compare_baseline_256655-0000,P1,D1,1788353143.090381,1788353143.2010956,1788353143.2010977,1788353143.2011886,1788353146.8022938,completed
phase3c-xpyd_power_compare_baseline_256655-0001,P1,D1,1788353148.1967854,1788353148.3166285,1788353148.3166306,1788353148.31677,1788353151.9175978,completed
phase3c-xpyd_power_compare_baseline_256655-0002,P1,D1,1788353173.2146747,1788353173.339087,1788353173.3390894,1788353173.3391767,1788353176.9391475,completed
phase3c-xpyd_power_compare_baseline_256655-0003,P1,D1,1788353198.2173443,1788353198.340043,1788353198.340045,1788353198.3401423,1788353201.9420109,completed
phase3c-xpyd_power_compare_baseline_256655-0004,P1,D1,1788353223.2165828,1788353223.3372886,1788353223.3372912,1788353223.3373814,1788353226.9441142,completed
phase3c-xpyd_power_compare_baseline_256655-0005,P1,D1,1788353248.2153354,1788353248.3341463,1788353248.3341491,1788353248.3342338,1788353251.9344997,completed
phase3c-xpyd_power_compare_baseline_256655-0006,P1,D1,1788353273.2021008,1788353273.3213673,1788353273.3213694,1788353273.3214653,1788353276.9221191,completed
phase3c-xpyd_power_compare_baseline_256655-0007,P1,D1,1788353298.2176063,1788353298.3399956,1788353298.3399982,1788353298.3400962,1788353301.9433415,completed
phase3c-xpyd_power_compare_baseline_256655-0008,P1,D1,1788353323.2161033,1788353323.3357117,1788353323.3357139,1788353323.33581,1788353326.9349425,completed
phase3c-xpyd_power_compare_baseline_256655-0009,P1,D1,1788353348.2163908,1788353348.3348875,1788353348.3348897,1788353348.3349895,1788353351.9356332,completed
phase3c-xpyd_power_compare_baseline_256655-0010,P1,D1,1788353373.215198,1788353373.3312738,1788353373.331276,1788353373.331372,1788353376.931511,completed
phase3c-xpyd_power_compare_baseline_256655-0011,P1,D1,1788353398.2116792,1788353398.3331604,1788353398.3331623,1788353398.3332512,1788353401.932427,completed
phase3c-xpyd_power_compare_baseline_256655-0012,P1,D1,1788353423.2154005,1788353423.3355665,1788353423.335569,1788353423.3356588,1788353426.9359689,completed
phase3c-xpyd_power_compare_baseline_256655-0013,P1,D1,1788353448.2204142,1788353448.344526,1788353448.3445284,1788353448.3446243,1788353451.9450672,completed
phase3c-xpyd_power_compare_baseline_256655-0014,P1,D1,1788353473.216056,1788353473.330967,1788353473.3309689,1788353473.331057,1788353476.9314554,completed
phase3c-xpyd_power_compare_baseline_256655-0015,P1,D1,1788353498.2117095,1788353498.3221192,1788353498.3221211,1788353498.3222167,1788353501.9244182,completed
phase3c-xpyd_power_compare_baseline_256655-0016,P1,D1,1788353523.2150996,1788353523.3354669,1788353523.335469,1788353523.3355782,1788353526.9371486,completed
phase3c-xpyd_power_compare_baseline_256655-0017,P1,D1,1788353548.2143676,1788353548.3362377,1788353548.3362396,1788353548.3363376,1788353551.9371207,completed
phase3c-xpyd_power_compare_baseline_256655-0018,P1,D1,1788353573.2153661,1788353573.3373544,1788353573.3373563,1788353573.3374522,1788353576.9371047,completed
phase3c-xpyd_power_compare_baseline_256655-0019,P1,D1,1788353598.216345,1788353598.3377695,1788353598.3377724,1788353598.3378835,1788353601.938353,completed
phase3c-xpyd_power_compare_baseline_256655-0020,P1,D1,1788353623.2161124,1788353623.3370697,1788353623.3370721,1788353623.3371735,1788353626.9379175,completed
phase3c-xpyd_power_compare_baseline_256655-0021,P1,D1,1788353648.2140994,1788353648.3368447,1788353648.336847,1788353648.336936,1788353651.9369664,completed
phase3c-xpyd_power_compare_baseline_256655-0022,P1,D1,1788353673.2154496,1788353673.3353345,1788353673.3353364,1788353673.3354247,1788353676.9340868,completed
phase3c-xpyd_power_compare_baseline_256655-0023,P1,D1,1788353698.2163248,1788353698.337639,1788353698.3376412,1788353698.337812,1788353701.9377432,completed
phase3c-xpyd_power_compare_baseline_256655-0024,P1,D1,1788353723.2153184,1788353723.3366475,1788353723.3366497,1788353723.3368173,1788353726.9368756,completed
phase3c-xpyd_power_compare_baseline_256655-0025,P1,D1,1788353748.2155125,1788353748.341598,1788353748.3416004,1788353748.3417192,1788353751.942763,completed
phase3c-xpyd_power_compare_baseline_256655-0026,P1,D1,1788353773.2160835,1788353773.3383062,1788353773.3383083,1788353773.338409,1788353776.9394934,completed
phase3c-xpyd_power_compare_baseline_256655-0027,P1,D1,1788353798.2158449,1788353798.3395035,1788353798.339506,1788353798.3396146,1788353801.9423687,completed
phase3c-xpyd_power_compare_baseline_256655-0028,P1,D1,1788353823.2194438,1788353823.34609,1788353823.3460922,1788353823.3462107,1788353826.9468627,completed
phase3c-xpyd_power_compare_baseline_256655-0029,P1,D1,1788353848.2154222,1788353848.3380513,1788353848.3380535,1788353848.3381433,1788353851.9393113,completed
phase3c-xpyd_power_compare_baseline_256655-0030,P1,D1,1788353873.2167797,1788353873.338646,1788353873.3386478,1788353873.3387945,1788353876.9395025,completed
phase3c-xpyd_power_compare_baseline_256655-0031,P1,D1,1788353898.2176425,1788353898.3390555,1788353898.339058,1788353898.3391576,1788353901.9400527,completed
phase3c-xpyd_power_compare_baseline_256655-0032,P1,D1,1788353923.2164054,1788353923.336924,1788353923.3369262,1788353923.3370264,1788353926.9388475,completed
phase3c-xpyd_power_compare_baseline_256655-0033,P1,D1,1788353948.2155817,1788353948.3363967,1788353948.3363986,1788353948.3365014,1788353951.9385102,completed
phase3c-xpyd_power_compare_baseline_256655-0034,P1,D1,1788353973.2162642,1788353973.338518,1788353973.33852,1788353973.3386192,1788353976.9398534,completed
phase3c-xpyd_power_compare_baseline_256655-0035,P1,D1,1788353998.2157056,1788353998.3373916,1788353998.337394,1788353998.3374934,1788354001.9382434,completed
phase3c-xpyd_power_compare_baseline_256655-0036,P1,D1,1788354023.2150834,1788354023.335933,1788354023.3359356,1788354023.3360343,1788354026.935459,completed
phase3c-xpyd_power_compare_baseline_256655-0037,P1,D1,1788354048.2165523,1788354048.3407774,1788354048.3407793,1788354048.3408809,1788354051.940446,completed
phase3c-xpyd_power_compare_baseline_256655-0038,P1,D1,1788354073.2166073,1788354073.3391063,1788354073.3391087,1788354073.3392093,1788354076.940039,completed
phase3c-xpyd_power_compare_baseline_256655-0039,P1,D1,1788354098.2160103,1788354098.3499246,1788354098.349927,1788354098.3500357,1788354101.9531114,completed
phase3c-xpyd_power_compare_baseline_256655-0040,P1,D1,1788354123.2163036,1788354123.3488493,1788354123.3488514,1788354123.3489513,1788354126.9520323,completed
phase3c-xpyd_power_compare_baseline_256655-0041,P1,D1,1788354148.2238195,1788354148.3585215,1788354148.3585231,1788354148.3586197,1788354151.9618835,completed
phase3c-xpyd_power_compare_baseline_256655-0042,P1,D1,1788354173.2162933,1788354173.349054,1788354173.3490562,1788354173.3491497,1788354176.953785,completed
phase3c-xpyd_power_compare_baseline_256655-0043,P1,D1,1788354198.2162302,1788354198.3463511,1788354198.346353,1788354198.346448,1788354201.9488611,completed
phase3c-xpyd_power_compare_baseline_256655-0044,P1,D1,1788354223.2168245,1788354223.3516474,1788354223.3516495,1788354223.3517983,1788354226.956161,completed
phase3c-xpyd_power_compare_baseline_256655-0045,P1,D1,1788354248.2163107,1788354248.3480554,1788354248.3480582,1788354248.3481753,1788354251.952731,completed
phase3c-xpyd_power_compare_baseline_256655-0046,P1,D1,1788354273.215643,1788354273.351149,1788354273.351151,1788354273.3512568,1788354276.955955,completed
phase3c-xpyd_power_compare_baseline_256655-0047,P1,D1,1788354298.2153916,1788354298.3534122,1788354298.3534138,1788354298.3535166,1788354301.955369,completed
phase3c-xpyd_power_compare_baseline_256655-0048,P1,D1,1788354323.2161899,1788354323.4434798,1788354323.443482,1788354323.4435785,1788354327.1185322,completed
phase3c-xpyd_power_compare_baseline_256655-0049,P1,D1,1788354348.2142432,1788354348.433437,1788354348.4334395,1788354348.4335449,1788354352.105479,completed
phase3c-xpyd_power_compare_baseline_256655-0050,P1,D1,1788354373.2144797,1788354373.4311192,1788354373.4311209,1788354373.4312027,1788354377.1031196,completed
phase3c-xpyd_power_compare_baseline_256655-0051,P1,D1,1788354398.2160144,1788354398.437894,1788354398.437897,1788354398.4380147,1788354402.1101394,completed
phase3c-xpyd_power_compare_baseline_256655-0052,P1,D1,1788354423.2150366,1788354423.4395278,1788354423.4395297,1788354423.4396403,1788354427.1115625,completed
phase3c-xpyd_power_compare_baseline_256655-0053,P1,D1,1788354448.2152827,1788354448.4353404,1788354448.4353426,1788354448.4354491,1788354452.107331,completed
phase3c-xpyd_power_compare_baseline_256655-0054,P1,D1,1788354473.2164,1788354473.4269934,1788354473.426996,1788354473.427104,1788354477.099925,completed
phase3c-xpyd_power_compare_baseline_256655-0055,P1,D1,1788354498.21485,1788354498.4259832,1788354498.4259853,1788354498.4260871,1788354502.0990484,completed
phase3c-xpyd_power_compare_baseline_256655-0056,P1,D1,1788354523.216498,1788354523.4269247,1788354523.426927,1788354523.4270349,1788354527.0995522,completed
phase3c-xpyd_power_compare_baseline_256655-0057,P1,D1,1788354548.2159626,1788354548.4275186,1788354548.4275212,1788354548.4276342,1788354552.100302,completed
phase3c-xpyd_power_compare_baseline_256655-0058,P1,D1,1788354573.2165453,1788354573.427338,1788354573.4273398,1788354573.4274454,1788354577.10076,completed
phase3c-xpyd_power_compare_baseline_256655-0059,P1,D1,1788354598.2141898,1788354598.433775,1788354598.4337776,1788354598.43388,1788354602.1068711,completed
phase3c-xpyd_power_compare_baseline_256655-0060,P1,D1,1788354623.2158296,1788354623.4256036,1788354623.4256058,1788354623.4257307,1788354627.0985289,completed
phase3c-xpyd_power_compare_baseline_256655-0061,P1,D1,1788354648.216504,1788354648.4326346,1788354648.432637,1788354648.432762,1788354652.1048896,completed
phase3c-xpyd_power_compare_baseline_256655-0062,P1,D1,1788354673.2153184,1788354673.4247916,1788354673.4247947,1788354673.4249032,1788354677.0971437,completed
phase3c-xpyd_power_compare_baseline_256655-0063,P1,D1,1788354698.2163556,1788354698.425592,1788354698.425594,1788354698.4257216,1788354702.0963259,completed
phase3c-xpyd_power_compare_baseline_256655-0064,P1,D1,1788354723.2173102,1788354723.4307084,1788354723.430711,1788354723.43082,1788354727.1032515,completed
phase3c-xpyd_power_compare_baseline_256655-0065,P1,D1,1788354748.2162647,1788354748.4334445,1788354748.4334466,1788354748.4335523,1788354752.1051083,completed
phase3c-xpyd_power_compare_baseline_256655-0066,P1,D1,1788354773.2192025,1788354773.4329834,1788354773.4329858,1788354773.433088,1788354777.1057413,completed
phase3c-xpyd_power_compare_baseline_256655-0067,P1,D1,1788354798.2200928,1788354798.4336429,1788354798.433646,1788354798.4337783,1788354802.1058698,completed
phase3c-xpyd_power_compare_baseline_256655-0068,P1,D1,1788354823.2134802,1788354823.426988,1788354823.4269898,1788354823.4270866,1788354827.099428,completed
phase3c-xpyd_power_compare_baseline_256655-0069,P1,D1,1788354848.2118123,1788354848.4291515,1788354848.4291542,1788354848.4292605,1788354852.100763,completed
phase3c-xpyd_power_compare_baseline_256655-0070,P1,D1,1788354873.2157166,1788354873.4329436,1788354873.432946,1788354873.4330475,1788354877.1048756,completed
phase3c-xpyd_power_compare_baseline_256655-0071,P1,D1,1788354898.2153966,1788354898.432882,1788354898.4328845,1788354898.4329903,1788354902.1051357,completed
