request_id,selected_prefill_endpoint_id,selected_decode_endpoint_id,route_timestamp_wall_s,prefill_completion_wall_s,kv_handoff_completion_wall_s,decode_start_wall_s,decode_completion_wall_s,outcome
phase3c-b01-r05-static-prefill_heavy-0000,P0,D0,1788004280.0819328,1788004280.4061077,1788004280.4061103,1788004280.4062266,1788004284.1558754,completed
phase3c-b01-r05-static-prefill_heavy-0001,P0,D1,1788004284.1610591,1788004284.5231547,1788004284.5231566,1788004284.5232503,1788004288.2714686,completed
phase3c-b01-r05-static-prefill_heavy-0002,P1,D0,1788004288.2762773,1788004288.6552107,1788004288.655213,1788004288.6553063,1788004292.4040344,completed
phase3c-b01-r05-static-prefill_heavy-0003,P1,D1,1788004292.4091213,1788004292.7854314,1788004292.7854333,1788004292.78553,1788004296.5339146,completed
