seq,workload_id,duration_s,successful_requests,neptune_energy_j,ganymede_energy_j,combined_energy_j,combined_energy_wh,combined_avg_power_w,energy_per_request_j
1,steady_start,38.305519,12,2354.858821,1251.296271,3606.155092,1.001709748,94.14192,300.512924
2,short_ramp,30.709624,48,2000.666715,1117.884486,3118.551202,0.866264223,101.549638,64.969817
3,prefill_shift,34.619812,36,2264.911967,1226.218714,3491.130681,0.969758523,100.841988,96.975852
4,decode_shift,41.888805,24,3000.452052,2353.032803,5353.484855,1.487079126,127.802281,223.061869
5,sudden_burst,33.58082,80,2452.156521,1602.887428,4055.043949,1.126401097,120.754763,50.688049
6,short_recovery,29.315978,24,1816.880547,1080.261991,2897.142539,0.804761816,98.824695,120.714272
7,long_prefill,35.190903,24,2396.118463,1659.149349,4055.267813,1.126463281,115.236253,168.969492
8,mixed_pressure,43.209568,30,2860.267532,2438.391282,5298.658814,1.47184967,122.626979,176.62196
9,quiet_window,29.530942,12,1788.983132,1005.251835,2794.234967,0.77617638,94.620585,232.852914
10,prefill_peak,28.738174,20,2480.667069,1099.0266,3579.69367,0.994359353,124.56232,178.984683
11,decode_peak,88.929355,10,6095.653902,5500.402754,11596.056656,3.221126849,130.396275,1159.605666
12,final_recovery,30.520934,12,1836.458545,1165.127511,3001.586056,0.833773904,98.345157,250.132171
