request_id,workload_id,input_len,requested_output_len,observed_output_tokens,prefill_endpoint_id,decode_endpoint_id,ttft_ms,tpot_ms,client_observed_ttft_ms,client_observed_tpot_ms,mean_itl_ms,e2e_latency_ms,prefill_latency_ms,decode_stream_latency_ms,real_sse,logical_request_id_propagated
phase3c-xpyd_power_compare_baseline_256656-0000,small_light,128,64,64,P1,D1,207.20366400200874,55.88723804676048,20135.679050930776,55.916450779131125,55.88666650850976,23658.415450016037,130.51998103037477,3597.3443009424955,True,True
phase3c-xpyd_power_compare_baseline_256656-0001,small_light,128,64,64,P1,D1,209.86914506647736,55.889966840382726,222.01981500256807,55.8963205558174,55.89089484050101,3743.488010019064,132.73756299167871,3597.833819920197,True,True
phase3c-xpyd_power_compare_baseline_256656-0002,small_light,128,64,64,P1,D1,210.13074601069093,55.86601612675521,218.99606101214886,55.87230490461465,55.866620571736895,3738.9512700028718,131.47965003736317,3597.8968689450994,True,True
phase3c-xpyd_power_compare_baseline_256656-0003,small_light,128,64,64,P1,D1,212.14853296987712,55.892254492001875,220.83388804458082,55.8964416665572,55.89142233310711,3742.3097130376846,134.7499469993636,3598.3242410002276,True,True
phase3c-xpyd_power_compare_baseline_256656-0004,small_light,128,64,64,P1,D1,216.6321179829538,55.8708313176231,225.49660596996546,55.875899556595535,55.87006292106317,3745.6782780354843,134.37721191439778,3601.8592789769173,True,True
phase3c-xpyd_power_compare_baseline_256656-0005,small_light,128,64,64,P1,D1,210.8482689363882,55.89394023944993,220.0388819910586,55.89896582606588,55.89423542990098,3741.6737290332094,133.54431197512895,3598.2722580665722,True,True
phase3c-xpyd_power_compare_baseline_256656-0006,small_light,128,64,64,P1,D1,212.25221105851233,55.877044650962546,221.4591110823676,55.88963133327309,55.87729034827105,3742.5058850785717,133.3463549381122,3598.8329160027206,True,True
phase3c-xpyd_power_compare_baseline_256656-0007,small_light,128,64,64,P1,D1,212.4338480643928,55.88337257024019,223.33866904955357,55.890514524579636,55.88589726932465,3744.441084098071,134.59727901499718,3598.1395099079236,True,True
phase3c-xpyd_power_compare_baseline_256656-0008,small_light,128,64,64,P1,D1,216.61676897201687,55.8783570156684,225.71903292555362,55.8802488570412,55.87591857294596,3746.174710919149,139.04155790805817,3597.58281102404,True,True
phase3c-xpyd_power_compare_baseline_256656-0009,small_light,128,64,64,P1,D1,184.60326502099633,55.88121801644327,192.37447495106608,55.883927159898334,55.87989903269484,3713.0618860246614,107.82965295948088,3597.0166999613866,True,True
phase3c-xpyd_power_compare_baseline_256656-0010,small_light,128,64,64,P1,D1,188.44816996715963,55.8603270485672,196.37710298411548,55.85772346054751,55.85413942823098,3715.4136809986085,109.98808406293392,3597.397639998235,True,True
phase3c-xpyd_power_compare_baseline_256656-0011,small_light,128,64,64,P1,D1,189.9593089474365,55.880683174889,206.7277890164405,55.882658554418455,55.8792271887854,3727.3352779448032,112.66337102279067,3596.4357709744945,True,True
phase3c-xpyd_power_compare_baseline_256656-0012,small_light,128,64,64,P1,D1,187.0184460422024,55.868412809638635,194.15752205532044,55.87013612597412,55.865996395282096,3713.97609799169,109.64178701397032,3596.8614170560613,True,True
