request_id,input_len,requested_output_len,observed_output_tokens,prefill_endpoint_id,decode_endpoint_id,ttft_ms,tpot_ms,mean_itl_ms,e2e_latency_ms,prefill_latency_ms,decode_stream_latency_ms,real_sse,logical_request_id_propagated
phase3c-b16-r02-full_feedback-small_light-0000,128,64,64,P0,D1,216.33189599378966,57.200398206496466,57.19237230184104,3819.956983003067,132.55427998956293,3682.202522002626,True,True
phase3c-b16-r02-full_feedback-small_light-0001,128,64,64,P0,D1,201.97180699324235,57.214145428530635,57.20986071410441,3806.4629689906724,120.79617299605161,3680.1107789797243,True,True
phase3c-b16-r02-full_feedback-small_light-0002,128,64,64,P0,D1,200.76713399612345,57.20725609543955,57.2024596349654,3804.824268008815,120.11897098273039,3679.1403730167076,True,True
phase3c-b16-r02-full_feedback-small_light-0003,128,64,64,P0,D1,197.9265599802602,57.219775603337595,57.21572861916179,3802.772422990529,118.87486701016314,3679.18922501849,True,True
