gpu,phase,tp,freq_mhz,shape,slo_ms,rho_max,n_points
l4,decode,2,1620,all,100,1.0219,24
l4,decode,2,1620,all,200,1.0219,24
l4,decode,2,1620,all,400,23.0307,24
l4,prefill,2,780,all,200,0.0,24
l4,prefill,2,780,all,500,0.0,24
l4,prefill,2,780,all,1000,0.9355,24
l4,decode,2,780,all,100,0.9355,24
l4,decode,2,780,all,200,0.9355,24
l4,decode,2,780,all,400,23.0503,24
l4,prefill,2,360,all,200,0.0,24
l4,prefill,2,360,all,500,0.5779,24
l4,prefill,2,360,all,1000,0.5779,24
l4,decode,2,360,all,100,0.0,24
l4,decode,2,360,all,200,0.5779,24
l4,decode,2,360,all,400,22.9732,24
l4,prefill,8,780,all,200,0.0,39
l4,prefill,8,780,all,500,0.0,39
l4,prefill,8,780,all,1000,0.0,39
l4,decode,8,780,all,100,0.0,39
l4,decode,8,780,all,200,0.4148,39
l4,decode,8,780,all,400,15.9067,39
l4,prefill,8,570,all,200,0.0,48
l4,prefill,8,570,all,500,0.0083,48
l4,prefill,8,570,all,1000,0.0083,48
l4,decode,8,570,all,100,0.0083,48
l4,decode,8,570,all,200,0.4165,48
l4,decode,8,570,all,400,15.8672,48
l4,prefill,8,360,all,200,0.0,42
l4,prefill,8,360,all,500,0.0,42
l4,prefill,8,360,all,1000,0.0,42
l4,decode,8,360,all,100,0.0,42
l4,decode,8,360,all,200,0.5209,42
l4,decode,8,360,all,400,16.0204,42
l4,prefill,8,210,all,200,0.0,36
l4,prefill,8,210,all,500,0.0,36
l4,prefill,8,210,all,1000,0.0,36
l4,decode,8,210,all,100,0.0,36
l4,decode,8,210,all,200,0.4127,36
l4,decode,8,210,all,400,16.0387,36
l4,prefill,8,1410,all,200,0.0,33
l4,prefill,8,1410,all,500,0.0,33
l4,prefill,8,1410,all,1000,0.0,33
l4,decode,8,1410,all,100,0.0,33
l4,decode,8,1410,all,200,0.4162,33
l4,decode,8,1410,all,400,15.7361,33
l4,prefill,8,1200,all,200,0.0,33
l4,prefill,8,1200,all,500,0.0,33
l4,prefill,8,1200,all,1000,0.0,33
l4,decode,8,1200,all,100,0.0,33
l4,decode,8,1200,all,200,0.413,33
l4,decode,8,1200,all,400,15.8529,33
l4,prefill,8,990,all,200,0.0,33
l4,prefill,8,990,all,500,0.0,33
l4,prefill,8,990,all,1000,0.0,33
l4,decode,8,990,all,100,0.0,33
l4,decode,8,990,all,200,0.413,33
l4,decode,8,990,all,400,15.8529,33
l4,prefill,2,1830,all,200,0.0,18
l4,prefill,2,1830,all,500,0.0,18
l4,prefill,2,1830,all,1000,0.0,18
l4,decode,2,1830,all,100,0.0,18
l4,decode,2,1830,all,200,0.0,18
l4,decode,2,1830,all,400,23.0307,18
l4,prefill,2,1410,all,200,0.0,18
l4,prefill,2,1410,all,500,0.0,18
l4,prefill,2,1410,all,1000,0.0,18
l4,decode,2,1410,all,100,0.0,18
l4,decode,2,1410,all,200,0.0,18
l4,decode,2,1410,all,400,23.2229,18
l4,prefill,2,1200,all,200,0.0,18
l4,prefill,2,1200,all,500,0.0,18
l4,prefill,2,1200,all,1000,0.0,18
l4,decode,2,1200,all,100,0.0,18
l4,decode,2,1200,all,200,0.0,18
l4,decode,2,1200,all,400,23.0822,18
l4,prefill,2,990,all,200,0.0,18
l4,prefill,2,990,all,500,0.0,18
l4,prefill,2,990,all,1000,0.0,18
l4,decode,2,990,all,100,0.0,18
l4,decode,2,990,all,200,0.0,18
l4,decode,2,990,all,400,23.0822,18
l4,prefill,2,570,all,200,0.0,18
l4,prefill,2,570,all,500,0.0,18
l4,prefill,2,570,all,1000,0.0,18
l4,decode,2,570,all,100,0.0,18
l4,decode,2,570,all,200,0.0,18
l4,decode,2,570,all,400,22.993,18
l4,prefill,2,210,all,200,0.0,18
l4,prefill,2,210,all,500,0.0,18
l4,prefill,2,210,all,1000,0.0,18
l4,decode,2,210,all,100,0.0,18
l4,decode,2,210,all,200,0.0,18
l4,decode,2,210,all,400,23.1406,18
l40s,prefill,1,2520,all,200,0.067,474
l40s,prefill,1,2520,all,500,0.2619,474
