run_id,window_id,policy,workload,input_len,output_len,rate_rps,repeat,duration_s,timing_start_unix_s,timing_end_unix_s,completed_requests,output_tokens,measurement_valid,slo_pass,total_gpu_gross_energy_j,joules_per_request,joules_per_output_token,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,mean_e2e_latency_ms,throughput_requests_s,route_distribution_json,selected_pairs_json,phase4a_oracle_joules_per_request,oracle_gap,oracle_gap_class,phase4a_near_optimal_match,P0_requested_freq_mhz,P0_requested_level,P0_observed_freq_mhz,P0_frequency_match_fraction,P0_gross_energy_j,P1_requested_freq_mhz,P1_requested_level,P1_observed_freq_mhz,P1_frequency_match_fraction,P1_gross_energy_j,D0_requested_freq_mhz,D0_requested_level,D0_observed_freq_mhz,D0_frequency_match_fraction,D0_gross_energy_j,D1_requested_freq_mhz,D1_requested_level,D1_observed_freq_mhz,D1_frequency_match_fraction,D1_gross_energy_j,hard_gates_json
xpyd_phase4b_r3_255320,b01-r01-static-prefill_heavy,STATIC,prefill_heavy,2048,64,0.5,1,16.577888011932373,1788004057.957067,1788004074.534955,4,256,True,True,4193.472,1048.368,16.38075,484.271403242019,504.0778680916992,58.09353950404791,58.12003925063884,58.08733395240288,4144.1643919970375,0.2412852588412284,"{""P0->D0"": 1, ""P0->D1"": 1, ""P1->D0"": 1, ""P1->D1"": 1}","[[""P0"", ""D0""], [""P0"", ""D1""], [""P1"", ""D0""], [""P1"", ""D1""]]",,,,,2520,HIGH,2520.0,1.0,1384.785,2520,HIGH,2520.0,1.0,1397.469,1500,HIGH,1500.0,1.0,710.207,1500,HIGH,1500.0,1.0,701.011,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
xpyd_phase4b_r3_255320,b01-r02-static-prefill_heavy,STATIC,prefill_heavy,2048,64,0.5,2,16.50874638557434,1788004115.3872244,1788004131.8959708,4,256,True,True,4143.616,1035.904,16.186,466.9631529977778,487.21704071649583,58.09198978178236,58.09731431419051,58.081896535729776,4126.758509250067,0.24229580530083597,"{""P0->D0"": 1, ""P0->D1"": 1, ""P1->D0"": 1, ""P1->D1"": 1}","[[""P0"", ""D0""], [""P0"", ""D1""], [""P1"", ""D0""], [""P1"", ""D1""]]",,,,,2520,HIGH,2520.0,1.0,1349.548,2520,HIGH,2520.0,1.0,1378.618,1500,HIGH,1500.0,1.0,712.006,1500,HIGH,1500.0,1.0,703.444,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
xpyd_phase4b_r3_255320,b01-r03-static-prefill_heavy,STATIC,prefill_heavy,2048,64,0.5,3,16.531476974487305,1788004170.5912807,1788004187.1227577,4,256,True,True,4168.408,1042.102,16.28284375,473.40480749699054,488.83558536326746,58.082947297768285,58.10081164015361,58.07831746041923,4132.630487256392,0.24196265138155043,"{""P0->D0"": 1, ""P0->D1"": 1, ""P1->D0"": 1, ""P1->D1"": 1}","[[""P0"", ""D0""], [""P0"", ""D1""], [""P1"", ""D0""], [""P1"", ""D1""]]",,,,,2520,HIGH,2520.0,1.0,1373.443,2520,HIGH,2520.0,1.0,1379.411,1500,HIGH,1500.0,1.0,713.372,1500,HIGH,1500.0,1.0,702.182,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
xpyd_phase4b_r3_255320,b01-r04-static-prefill_heavy,STATIC,prefill_heavy,2048,64,0.5,4,16.496777057647705,1788004227.3668153,1788004243.8635924,4,256,True,True,4131.621999999999,1032.9054999999998,16.139148437499998,464.796697255224,475.7383539402508,58.08041497602106,58.09463381571399,58.0738843053705,4123.86284074455,0.24247160436381412,"{""P0->D0"": 1, ""P0->D1"": 1, ""P1->D0"": 1, ""P1->D1"": 1}","[[""P0"", ""D0""], [""P0"", ""D1""], [""P1"", ""D0""], [""P1"", ""D1""]]",,,,,2520,HIGH,2520.0,1.0,1347.779,2520,HIGH,2520.0,1.0,1382.388,1500,HIGH,1500.0,1.0,710.086,1500,HIGH,1500.0,1.0,691.369,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
xpyd_phase4b_r3_255320,b01-r05-static-prefill_heavy,STATIC,prefill_heavy,2048,64,0.5,5,16.455876111984253,1788004280.0788739,1788004296.53475,4,256,True,True,4137.565,1034.39125,16.16236328125,454.05441999901086,472.80608732951805,58.09011753976053,58.09823560076655,58.0853475397499,4113.731825003924,0.24307426555593334,"{""P0->D0"": 1, ""P0->D1"": 1, ""P1->D0"": 1, ""P1->D1"": 1}","[[""P0"", ""D0""], [""P0"", ""D1""], [""P1"", ""D0""], [""P1"", ""D1""]]",,,,,2520,HIGH,2520.0,1.0,1345.463,2520,HIGH,2520.0,1.0,1385.433,1500,HIGH,1500.0,1.0,710.342,1500,HIGH,1500.0,1.0,696.327,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
xpyd_phase4b_r3_255320,b02-r01-full_feedback-both_heavy,FULL_FEEDBACK,both_heavy,512,128,1.0,1,29.82606339454651,1788004411.586219,1788004441.4122825,4,512,True,True,6742.875,1685.71875,13.169677734375,219.34338074061088,227.88300104439259,56.98304162207188,56.98631738472499,56.98017541348465,7456.1896667437395,0.13411089311676888,"{""P0->D0"": 0, ""P0->D1"": 4, ""P1->D0"": 0, ""P1->D1"": 0}","[[""P0"", ""D1""]]",,,,,1890,MID,1890.0,1.0,1954.415,2520,HIGH,2520.0,1.0,2351.864,1500,HIGH,1500.0,1.0,700.908,1125,MID,1125.0,1.0,1735.688,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
xpyd_phase4b_r3_255320,b02-r02-full_feedback-both_heavy,FULL_FEEDBACK,both_heavy,512,128,1.0,2,30.475640535354614,1788004485.6979556,1788004516.1735961,4,512,True,True,6773.732,1693.433,13.2299453125,244.15230600425275,249.1149745261646,58.06638141338921,58.070624072414525,58.06340756692042,7618.582745504682,0.13125236844028343,"{""P0->D0"": 0, ""P0->D1"": 4, ""P1->D0"": 0, ""P1->D1"": 0}","[[""P0"", ""D1""]]",,,,,1260,LOW,1260.0,1.0,1928.683,2520,HIGH,2520.0,1.0,2421.664,1500,HIGH,1500.0,1.0,712.036,750,LOW,750.0,1.0,1711.349,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
xpyd_phase4b_r3_255320,b02-r03-full_feedback-both_heavy,FULL_FEEDBACK,both_heavy,512,128,1.0,3,30.427494287490845,1788004567.0028825,1788004597.4303768,4,512,True,True,6720.062,1680.0155,13.12512109375,232.35609874973306,237.66639917652356,58.06469921256172,58.07063703282688,58.06140784845884,7606.572898745071,0.13146005261578356,"{""P0->D0"": 0, ""P0->D1"": 4, ""P1->D0"": 0, ""P1->D1"": 0}","[[""P0"", ""D1""]]",,,,,1260,LOW,1260.0,1.0,1907.244,2520,HIGH,2520.0,1.0,2394.938,1500,HIGH,1500.0,1.0,705.461,750,LOW,750.0,1.0,1712.419,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
xpyd_phase4b_r3_255320,b02-r04-full_feedback-both_heavy,FULL_FEEDBACK,both_heavy,512,128,1.0,4,30.442753076553345,1788004638.204457,1788004668.6472101,4,512,True,True,6762.165,1690.54125,13.207353515625,236.00037501455517,242.6383434064337,58.0658169566859,58.072359373487764,58.062897653488065,7610.3591285136645,0.1313941610320636,"{""P0->D0"": 0, ""P0->D1"": 4, ""P1->D0"": 0, ""P1->D1"": 0}","[[""P0"", ""D1""]]",,,,,1260,LOW,1260.0,1.0,1931.576,2520,HIGH,2520.0,1.0,2405.786,1500,HIGH,1500.0,1.0,708.218,750,LOW,750.0,1.0,1716.585,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
xpyd_phase4b_r3_255320,b02-r05-full_feedback-both_heavy,FULL_FEEDBACK,both_heavy,512,128,1.0,5,30.46208930015564,1788004709.241692,1788004739.7037814,4,512,True,True,6735.0689999999995,1683.7672499999999,13.154431640624999,241.08700124634197,246.71685278823134,58.06389197044434,58.07106284780325,58.06079291339596,7615.201281492773,0.13131075680943405,"{""P0->D0"": 0, ""P0->D1"": 4, ""P1->D0"": 0, ""P1->D1"": 0}","[[""P0"", ""D1""]]",,,,,1260,LOW,1260.0,1.0,1908.504,2520,HIGH,2520.0,1.0,2403.381,1500,HIGH,1500.0,1.0,708.036,750,LOW,750.0,1.0,1715.148,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
