policy,workload,repeat_count,valid_repeat_count,complete,request_count,slo_pass,ttft_slo_violation_count,tpot_slo_violation_count,any_slo_violation_count,slo_violation_rate,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,ttft_headroom_ms,tpot_headroom_ms,route_distribution_json,frequency_residency_json,dvfs_action_count,routing_change_count,fallback_event_count,stale_telemetry_event_count,oracle_joules_per_request,oracle_gap,oracle_gap_class,phase4a_near_optimal_comparable_window_count,phase4a_near_optimal_window_fraction,total_gpu_gross_energy_j_mean,total_gpu_gross_energy_j_std,total_gpu_gross_energy_j_ci95_half_width,joules_per_request_mean,joules_per_request_std,joules_per_request_ci95_half_width,joules_per_output_token_mean,joules_per_output_token_std,joules_per_output_token_ci95_half_width,mean_ttft_ms_mean,mean_ttft_ms_std,mean_ttft_ms_ci95_half_width,mean_tpot_ms_mean,mean_tpot_ms_std,mean_tpot_ms_ci95_half_width,mean_itl_ms_mean,mean_itl_ms_std,mean_itl_ms_ci95_half_width,mean_e2e_latency_ms_mean,mean_e2e_latency_ms_std,mean_e2e_latency_ms_ci95_half_width,throughput_requests_s_mean,throughput_requests_s_std,throughput_requests_s_ci95_half_width,static_joules_per_request,energy_savings_vs_static
STATIC,small_light,5,5,True,20,True,0,0,0,0.0,185.50186550419312,205.93622770247748,206.00989754515467,55.95185776196775,55.96378478600408,55.96820448711885,293.97168499417603,144.03069058760246,"{""P0->D0"": 5, ""P0->D1"": 5, ""P1->D0"": 5, ""P1->D1"": 5}","{""D0"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""D1"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""P0"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""P1"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}}",0,0,0,0,,,,0,,3669.54,16.51773127581379,14.478429826983234,917.385,4.129432818953448,3.6196074567458085,14.334140625,0.06452238779614762,0.05655636651165326,187.8696491010487,9.620279489154187,8.43254676891592,55.947983209510326,0.007377619615010136,0.006466768716749008,55.94258340635052,0.008453849325074569,0.007410125650863721,3712.5925913001993,9.291570057058125,8.144420247991158,0.2693338696341765,0.0006779549967337869,0.0005942537556858989,917.385,0.0
STATIC,prefill_heavy,5,5,True,20,False,1,0,1,0.05,470.8043569989968,497.4726084750728,502.92912728880765,58.087079706537125,58.10222677317807,58.117038256489664,-4.293256992241368,141.87925887268244,"{""P0->D0"": 5, ""P0->D1"": 5, ""P1->D0"": 5, ""P1->D1"": 5}","{""D0"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""D1"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""P0"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""P1"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}}",0,0,0,0,,,,0,,4154.936599999999,25.69024481782936,22.51849243834103,1038.7341499999998,6.42256120445734,5.629623109585258,16.230221093749996,0.10035251881964594,0.08796286108726965,468.69809619820444,11.150663856682135,9.77398781209416,58.08780181987603,0.005786934641951083,0.005072471862374402,58.081355958734456,0.005408775896475755,0.004741001107196203,4128.229610850394,11.23280440115211,9.845987173822493,0.24221791708867246,0.0006593118557065449,0.0005779123220706958,1038.7341499999998,0.0
STATIC,decode_heavy,5,5,True,20,True,0,0,0,0.0,189.25543650402687,218.99672263098182,221.786510135571,56.02796572156698,56.03012442509485,56.03012963483572,277.5160429882817,143.96986906272906,"{""P0->D0"": 5, ""P0->D1"": 5, ""P1->D0"": 5, ""P1->D1"": 5}","{""D0"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""D1"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""P0"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""P1"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}}",0,0,0,0,,,,0,,14445.571,23.507261644011603,20.605023320346294,3611.39275,5.876815411002901,5.151255830086574,14.1070029296875,0.02295631019923008,0.020122093086275678,195.59674829943106,4.416517124096799,3.8712479452027484,56.02771677489977,0.0009495526380001411,0.0008323195847387656,56.025964458616826,0.0010630268640317835,0.0009317841293143296,14482.664525898872,4.522407449666624,3.9640649079271637,0.0690461821581502,2.1582862600049347e-05,1.8918213185717293e-05,3611.39275,0.0
STATIC,both_heavy,5,5,True,20,True,0,0,0,0.0,212.77392951014917,263.434698349738,265.323212465446,56.39888981105595,56.40371506817146,56.405068185245966,234.20465900562704,143.59459353548542,"{""P0->D0"": 5, ""P0->D1"": 5, ""P1->D0"": 5, ""P1->D1"": 5}","{""D0"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""D1"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""P0"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""P1"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}}",0,0,0,0,,,,0,,7372.745999999999,11.662225130737657,10.222391039204423,1843.1864999999998,2.915556282684414,2.5555977598011057,14.399894531249998,0.022777783458471985,0.01996560749844614,224.7838243987644,7.217059328957677,6.326031420821765,56.39694227204991,0.002488064870689916,0.0021808850158504156,56.394425557498224,0.0020056079992871413,0.001757992922468372,7387.195492949104,7.26939140599832,6.371902508835086,0.13536416862790385,0.000132778029122523,0.00011638507402227199,1843.1864999999998,0.0
FEEDBACK_ROUTING_ONLY,small_light,5,5,True,20,True,0,0,0,0.0,194.83441949705593,202.40737803978845,213.48751001758498,55.95239896848354,56.009016008650335,56.01886670645659,283.74245698796585,143.97867061909184,"{""P0->D1"": 20}","{""D0"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""D1"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""P0"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""P1"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}}",0,1,0,2,,,,0,,3652.5475999999994,17.23217726522098,15.104669348021327,913.1368999999999,4.308044316305245,3.7761673370053317,14.267764062499998,0.06731319244226945,0.05900261464070831,192.79438694793498,7.828309702840743,6.861815996633447,55.95701191745725,0.010823588983867564,0.009487294045550732,55.95264426030178,0.010715380075614045,0.009392444755497376,3718.0861377477413,7.671451986220535,6.724324145907439,0.2689388827721842,0.0005544298899888766,0.00048597922572696033,917.385,0.004630662153839594
FEEDBACK_ROUTING_ONLY,prefill_heavy,5,5,True,20,True,0,0,0,0.0,474.1382845095359,491.34708953351947,491.3509131190949,58.07435366653999,58.08463948938186,58.085372190250794,8.648130984511226,141.91444463453197,"{""P0->D0"": 20}","{""D0"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""D1"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""P0"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""P1"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}}",0,1,5,3,,,,0,,4180.306,22.672551069520015,19.873367242594668,1045.0765,5.668137767380004,4.968341810648667,16.3293203125,0.08856465261531256,0.07763034079138542,477.319052250823,4.976099063682165,4.3617431415132195,58.07137111906842,0.0018576644472560876,0.0016283146815120803,58.066448483302906,0.0017001452311089188,0.0014902430008856,4135.815432752133,5.067191589340273,4.441589260721779,0.2417761270166317,0.0002961216149632292,0.00025956203978060136,1038.7341499999998,-0.006105845273307059
FEEDBACK_ROUTING_ONLY,decode_heavy,5,5,True,20,True,0,0,0,0.0,189.07000351464376,214.08292503620032,216.5639153990196,56.02674202938728,56.030668023329994,56.03137049878327,282.8158370102756,143.9684538823534,"{""P0->D1"": 20}","{""D0"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""D1"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""P0"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""P1"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}}",0,1,0,3,,,,0,,14434.428,18.942931940435294,16.604211936690405,3608.607,4.7357329851088235,4.151052984172601,14.09612109375,0.01849895697308134,0.016215050719424223,193.2161539007211,7.146764641747901,6.264415410790972,56.026661708630286,0.002038867590966887,0.0017871462399650928,56.025422313136474,0.0018394467968756174,0.001612346206892786,14480.014889601443,6.836996632733053,5.992891779229481,0.06905934785777362,3.2607208227672255e-05,2.8581478188197714e-05,3611.39275,0.0007713782999647455
FEEDBACK_ROUTING_ONLY,both_heavy,5,5,True,20,True,0,0,0,0.0,223.72892098792363,236.1201181091019,240.42472924134927,56.40055229541329,56.4033054822197,56.40370035302728,258.4991179755889,143.59620092927082,"{""P0->D1"": 20}","{""D0"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""D1"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""P0"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""P1"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}}",0,1,0,3,,,,0,,7353.0052,24.445900948829777,21.427776946781517,1838.2513,6.111475237207444,5.356944236695379,14.36133828125,0.04774590029068316,0.04185112684918265,225.0645091990009,3.241532056206845,2.8413281233378838,56.39932826179718,0.00043562612106534643,0.00038184313083485373,56.39662513623746,0.0007164098596139022,0.0006279609291723244,7387.779198447242,3.221803782061247,2.8240355286071073,0.13535326089586694,5.897661209256416e-05,5.1695279778870955e-05,1843.1864999999998,0.0026775369719775487
FEEDBACK_DVFS_ONLY,small_light,5,5,True,20,True,0,0,0,0.0,204.77175500127487,224.0971331644687,226.8931146277464,57.19002749191575,57.198810847619335,57.19955164260538,272.4078900064342,142.8002631586481,"{""P0->D0"": 20}","{""D0"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""LOW"": 0.8019330695358596, ""MID"": 0.1980669304641404}}, ""D1"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""P0"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""LOW"": 0.8019330695358596, ""MID"": 0.1980669304641404}}, ""P1"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}}",4,0,0,0,,,,0,,3346.6161999999995,13.002744544902738,11.397408113015098,836.6540499999999,3.2506861362256845,2.8493520282537745,13.072719531249998,0.05079197087852632,0.04452112544146523,206.20911250734935,4.941698331392767,4.331589570170272,57.023162842799344,0.36428085629200935,0.3193062489677398,57.01788771502112,0.36431328712481753,0.3193346758460564,3798.668371603708,20.9509646966017,18.364330252273465,0.2632370294476469,0.0014603052625049178,0.0012800139992657751,917.385,0.08800116635872629
FEEDBACK_DVFS_ONLY,prefill_heavy,5,5,True,20,True,0,0,0,0.0,481.83314500784036,493.08550039859256,497.4420392580214,61.41501134132139,61.42472731793071,61.431203012563486,1.4688260271213949,138.56717806377833,"{""P0->D0"": 20}","{""D0"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""LOW"": 0.8052688493406038, ""MID"": 0.1947311506593962}}, ""D1"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""P0"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}, ""P1"": {""observed_target_match_fraction_mean"": 1.0, ""requested_time_fraction"": {""HIGH"": 1.0}}}",2,0,0,0,,,,0,,4195.9408,43.03479434945632,37.7216604207384,1048.9852,10.75869858736408,9.4304151051846,16.39039375,0.16810466542756375,0.14735023601850938,482.6130927540362,6.84442794022154,5.999405607442218,60.97282039277377,0.9921878315495062,0.86969097961478,60.96757373722669,0.9919567828702304,0.8694884565180149,4323.900777498784,64.03129193634305,56.1259020110645,0.23129866602435847,0.0034931931566985746,0.003061918803910714,1038.7341499999998,-0.009868790777698323
