policy,workload,joules_per_request_mean,joules_per_request_std,joules_per_request_ci95_half_width,oracle_joules_per_request,oracle_gap,oracle_gap_class,slo_pass,slo_violation_rate,phase4a_near_optimal_comparable_window_count,phase4a_near_optimal_window_fraction
STATIC,small_light,917.385,4.129432818953448,3.6196074567458085,,,,True,0.0,0,
STATIC,prefill_heavy,1038.7341499999998,6.42256120445734,5.629623109585258,,,,False,0.05,0,
STATIC,decode_heavy,3611.39275,5.876815411002901,5.151255830086574,,,,True,0.0,0,
STATIC,both_heavy,1843.1864999999998,2.915556282684414,2.5555977598011057,,,,True,0.0,0,
FEEDBACK_ROUTING_ONLY,small_light,913.1368999999999,4.308044316305245,3.7761673370053317,,,,True,0.0,0,
FEEDBACK_ROUTING_ONLY,prefill_heavy,1045.0765,5.668137767380004,4.968341810648667,,,,True,0.0,0,
FEEDBACK_ROUTING_ONLY,decode_heavy,3608.607,4.7357329851088235,4.151052984172601,,,,True,0.0,0,
FEEDBACK_ROUTING_ONLY,both_heavy,1838.2513,6.111475237207444,5.356944236695379,,,,True,0.0,0,
FEEDBACK_DVFS_ONLY,small_light,836.6540499999999,3.2506861362256845,2.8493520282537745,,,,True,0.0,0,
FEEDBACK_DVFS_ONLY,prefill_heavy,1048.9852,10.75869858736408,9.4304151051846,,,,True,0.0,0,
FEEDBACK_DVFS_ONLY,decode_heavy,3292.6050000000005,8.161357621054792,7.153745368310878,,,,True,0.0,0,
FEEDBACK_DVFS_ONLY,both_heavy,1692.2364499999999,5.860513038548726,5.136966170589768,,,,True,0.0,0,
FULL_FEEDBACK,small_light,835.7611499999999,6.230200249089053,5.461011297996504,,,,True,0.0,0,
FULL_FEEDBACK,prefill_heavy,1047.8438,4.407949801211482,3.8637383555908986,,,,True,0.0,0,
FULL_FEEDBACK,decode_heavy,3297.3059499999995,5.298808505221064,4.644610438831912,,,,True,0.0,0,
FULL_FEEDBACK,both_heavy,1686.69515,5.346372305708818,4.686301948166183,,,,True,0.0,0,
