window_id,workload,phase,axis,repeat,confirmation_attempt,candidate_index,P0_requested_freq_mhz,P1_requested_freq_mhz,D0_requested_freq_mhz,D1_requested_freq_mhz,completed_requests,configured_max_concurrency,observed_peak_concurrency,concurrency_valid,offered_rate_rps,achieved_throughput_rps,slo_goodput_rps,measurement_valid,route_valid,clocks_valid,slo_pass,slo_violation_count,mean_ttft_ms,p99_ttft_ms,max_ttft_ms,mean_tpot_ms,p99_tpot_ms,max_tpot_ms,joules_per_request,total_gpu_gross_energy_j,P_pool_energy_j,D_pool_energy_j,route_distribution_json,frequency_match_fraction_json,window_start_unix_s,window_end_unix_s,hard_gates_json
001-global_warmup-warmup-r01,global_warmup,warmup,,1,0,,2520,2520,1500,1500,16,4,4,True,4.0,3.05102850861829,2.669649945041004,True,True,True,False,2,328.3638590692135,768.5406713833798,810.7280639815144,58.224324687762426,58.966569871020816,58.97112600117301,91.82543749999999,1469.2069999999999,914.357,554.8499999999999,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788160761.8163733,1788160767.0605066,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
002-small_light-baseline_high-r01,small_light,baseline_high,,1,0,,2520,2520,1500,1500,16,4,4,True,1.0,0.8479162594795036,0.8479162594795036,True,True,True,True,0,249.52140106688603,294.9724638601765,296.8470620107837,57.77360683437326,58.095446484447976,58.09926898458914,339.80975,5436.956,3094.9629999999997,2341.993,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788160805.4816403,1788160824.3514283,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
003-small_light-baseline_high-r02,small_light,baseline_high,,2,0,,2520,2520,1500,1500,16,4,4,True,1.0,0.8492570008068014,0.8492570008068014,True,True,True,True,0,245.48534536370425,301.6377625230234,305.60607596999034,57.77176158546123,58.096431122375805,58.099080698512914,337.91318750000005,5406.611000000001,3058.867,2347.744,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788160860.7405596,1788160879.5805573,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
004-small_light-baseline_high-r03,small_light,baseline_high,,3,0,,2520,2520,1500,1500,16,4,4,True,1.0,0.8488029670839363,0.8488029670839363,True,True,True,True,0,236.36741124937544,269.07426507677883,269.15549696423113,57.77233299216724,58.08856730360449,58.09241382493859,339.464625,5431.434,3068.107,2363.327,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788160915.5411706,1788160934.391246,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
005-small_light-P_search-r01,small_light,P_search,P,1,0,8,1710,1710,1500,1500,16,4,4,True,1.0,0.848427316443954,0.848427316443954,True,True,True,True,0,255.0346764473943,284.718086279463,284.96238903608173,57.77523223214158,58.069700020640745,58.069754015868675,301.7790625,4828.465,2445.014,2383.451,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788160975.6481597,1788160994.5065813,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
006-small_light-P_search-r02,small_light,P_search,P,2,0,8,1710,1710,1500,1500,16,4,4,True,1.0,0.8483801877585251,0.8483801877585251,True,True,True,True,0,242.28185967876925,277.3755203495966,278.09290000004694,57.773281757060126,58.069926198102564,58.0708261741887,302.256875,4836.11,2456.843,2379.267,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788161031.7419474,1788161050.6014166,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
007-small_light-P_search-r01,small_light,P_search,P,1,0,4,1305,1305,1500,1500,16,4,4,True,1.0,0.8483341795960812,0.8483341795960812,True,True,True,True,0,251.08470999475685,287.185599579243,288.26088597998023,57.76734645526934,58.06884248066501,58.06966111182221,298.27824999999996,4772.451999999999,2398.113,2374.339,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788161090.9113019,1788161109.7717938,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
008-small_light-P_search-r02,small_light,P_search,P,2,0,4,1305,1305,1500,1500,16,4,4,True,1.0,0.8480965931012878,0.8480965931012878,True,True,True,True,0,262.70002143792226,292.70258936157916,292.96311701182276,57.77189586712796,58.068072623092796,58.068373730213985,298.7645,4780.232,2406.2870000000003,2373.9449999999997,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788161147.9168751,1788161166.7826507,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
009-small_light-P_search-r01,small_light,P_search,P,1,0,2,1110,1110,1500,1500,16,4,4,True,1.0,0.8478019311160324,0.8478019311160324,True,True,True,True,0,261.7768666204938,300.65549827122595,302.4276939686388,57.77411840389257,58.097097020511264,58.09915873004005,298.34024999999997,4773.4439999999995,2381.328,2392.116,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788161208.9220152,1788161227.7943478,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
010-small_light-P_search-r02,small_light,P_search,P,2,0,2,1110,1110,1500,1500,16,4,4,True,1.0,0.8479159487919337,0.8479159487919337,True,True,True,True,0,263.8777020001726,294.9880002241116,296.2448779726401,57.772179634845266,58.06718935362167,58.0672623011254,298.29893749999997,4772.782999999999,2390.852,2381.931,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788161265.6276052,1788161284.4974,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
