time_start_s,time_end_s,component,samples,running_avg,running_max,waiting_avg,waiting_max,gpu_cache_usage_avg,gpu_cache_usage_max
0.0,5.0,decode,5,0.0,0.0,0.0,0.0,,
0.0,5.0,prefill,5,0.0,0.0,0.0,0.0,,
5.0,10.0,decode,5,0.0,0.0,0.0,0.0,,
5.0,10.0,prefill,5,0.0,0.0,0.0,0.0,,
10.0,15.0,decode,5,0.0,0.0,0.0,0.0,,
10.0,15.0,prefill,5,0.0,0.0,0.0,0.0,,
15.0,20.0,decode,5,7.6,16.0,5.4,23.0,,
15.0,20.0,prefill,5,4.0,10.0,5.0,22.0,,
20.0,25.0,decode,5,16.0,16.0,52.0,78.0,,
20.0,25.0,prefill,5,6.8,10.0,58.6,87.0,,
25.0,30.0,decode,5,14.8,16.0,109.4,137.0,,
25.0,30.0,prefill,5,7.6,10.0,121.6,156.0,,
30.0,35.0,decode,5,14.8,16.0,169.2,192.0,,
30.0,35.0,prefill,5,6.8,10.0,192.0,213.0,,
35.0,40.0,decode,5,16.0,16.0,228.6,249.0,,
35.0,40.0,prefill,5,6.8,10.0,242.6,253.0,,
40.0,45.0,decode,5,16.0,16.0,282.4,304.0,,
40.0,45.0,prefill,5,7.6,10.0,199.0,220.0,,
45.0,50.0,decode,5,15.2,16.0,341.4,363.0,,
45.0,50.0,prefill,5,7.6,10.0,141.2,162.0,,
50.0,55.0,decode,5,15.6,16.0,398.8,422.0,,
50.0,55.0,prefill,5,7.6,10.0,82.4,105.0,,
55.0,60.0,decode,5,15.8,16.0,464.6,495.0,,
55.0,60.0,prefill,5,5.6,10.0,20.0,44.0,,
60.0,65.0,decode,5,15.6,16.0,493.2,495.0,,
60.0,65.0,prefill,5,0.0,0.0,0.0,0.0,,
65.0,70.0,decode,5,14.2,16.0,495.6,496.0,,
65.0,70.0,prefill,5,0.0,0.0,0.0,0.0,,
70.0,75.0,decode,5,14.0,16.0,495.4,496.0,,
70.0,75.0,prefill,5,0.0,0.0,0.0,0.0,,
75.0,80.0,decode,5,15.8,16.0,494.8,496.0,,
75.0,80.0,prefill,5,0.0,0.0,0.0,0.0,,
80.0,85.0,decode,5,16.0,16.0,494.2,496.0,,
80.0,85.0,prefill,5,0.0,0.0,0.0,0.0,,
85.0,90.0,decode,5,16.0,16.0,494.8,496.0,,
85.0,90.0,prefill,5,0.0,0.0,0.0,0.0,,
90.0,95.0,decode,5,16.0,16.0,494.2,496.0,,
90.0,95.0,prefill,5,0.0,0.0,0.0,0.0,,
95.0,100.0,decode,5,14.8,16.0,494.0,494.0,,
95.0,100.0,prefill,5,0.0,0.0,0.0,0.0,,
100.0,105.0,decode,5,15.4,16.0,494.0,494.0,,
100.0,105.0,prefill,5,0.0,0.0,0.0,0.0,,
105.0,110.0,decode,5,15.6,16.0,494.4,496.0,,
105.0,110.0,prefill,5,0.0,0.0,0.0,0.0,,
110.0,115.0,decode,5,14.4,16.0,495.6,496.0,,
110.0,115.0,prefill,5,0.0,0.0,0.0,0.0,,
115.0,120.0,decode,5,14.8,16.0,496.0,496.0,,
115.0,120.0,prefill,5,0.0,0.0,0.0,0.0,,
120.0,125.0,decode,5,16.0,16.0,494.8,496.0,,
120.0,125.0,prefill,5,0.0,0.0,0.0,0.0,,
125.0,130.0,decode,5,16.0,16.0,495.2,496.0,,
125.0,130.0,prefill,5,0.0,0.0,0.0,0.0,,
130.0,135.0,decode,5,15.6,16.0,493.8,496.0,,
130.0,135.0,prefill,5,0.0,0.0,0.0,0.0,,
135.0,140.0,decode,5,15.2,16.0,493.2,495.0,,
135.0,140.0,prefill,5,0.0,0.0,0.0,0.0,,
140.0,145.0,decode,5,15.4,16.0,493.8,495.0,,
140.0,145.0,prefill,5,0.0,0.0,0.0,0.0,,
145.0,150.0,decode,5,15.8,16.0,493.2,495.0,,
145.0,150.0,prefill,5,0.0,0.0,0.0,0.0,,
150.0,155.0,decode,5,15.4,16.0,493.8,495.0,,
150.0,155.0,prefill,5,0.0,0.0,0.0,0.0,,
155.0,160.0,decode,5,14.4,16.0,494.8,496.0,,
155.0,160.0,prefill,5,0.0,0.0,0.0,0.0,,
160.0,165.0,decode,5,14.6,16.0,495.4,496.0,,
160.0,165.0,prefill,5,0.0,0.0,0.0,0.0,,
165.0,170.0,decode,5,16.0,16.0,494.2,496.0,,
165.0,170.0,prefill,5,0.0,0.0,0.0,0.0,,
170.0,175.0,decode,5,16.0,16.0,494.8,496.0,,
170.0,175.0,prefill,5,0.0,0.0,0.0,0.0,,
175.0,180.0,decode,5,16.0,16.0,494.2,496.0,,
175.0,180.0,prefill,5,0.0,0.0,0.0,0.0,,
180.0,185.0,decode,5,15.4,16.0,494.2,496.0,,
180.0,185.0,prefill,5,0.0,0.0,0.0,0.0,,
185.0,190.0,decode,5,14.8,16.0,494.0,494.0,,
185.0,190.0,prefill,5,0.0,0.0,0.0,0.0,,
190.0,195.0,decode,5,16.0,16.0,494.0,494.0,,
190.0,195.0,prefill,5,0.0,0.0,0.0,0.0,,
195.0,200.0,decode,5,15.2,16.0,486.8,496.0,,
195.0,200.0,prefill,5,0.0,0.0,0.0,0.0,,
200.0,205.0,decode,5,14.0,14.0,450.4,466.0,,
200.0,205.0,prefill,5,0.0,0.0,0.0,0.0,,
205.0,210.0,decode,5,14.0,14.0,410.6,427.0,,
205.0,210.0,prefill,5,0.0,0.0,0.0,0.0,,
210.0,215.0,decode,5,14.0,14.0,370.4,386.0,,
210.0,215.0,prefill,5,0.0,0.0,0.0,0.0,,
215.0,220.0,decode,5,14.8,16.0,330.6,347.0,,
215.0,220.0,prefill,5,0.0,0.0,0.0,0.0,,
220.0,225.0,decode,5,15.2,16.0,290.4,306.0,,
220.0,225.0,prefill,5,0.0,0.0,0.0,0.0,,
225.0,230.0,decode,5,15.2,16.0,250.6,267.0,,
225.0,230.0,prefill,5,0.0,0.0,0.0,0.0,,
230.0,235.0,decode,5,16.0,16.0,210.4,226.0,,
230.0,235.0,prefill,5,0.0,0.0,0.0,0.0,,
235.0,240.0,decode,5,16.0,16.0,170.6,187.0,,
235.0,240.0,prefill,5,0.0,0.0,0.0,0.0,,
240.0,245.0,decode,5,16.0,16.0,130.4,146.0,,
240.0,245.0,prefill,5,0.0,0.0,0.0,0.0,,
245.0,250.0,decode,5,16.0,16.0,90.6,107.0,,
245.0,250.0,prefill,5,0.0,0.0,0.0,0.0,,
250.0,255.0,decode,5,16.0,16.0,50.4,66.0,,
250.0,255.0,prefill,5,0.0,0.0,0.0,0.0,,
255.0,260.0,decode,5,15.0,16.0,11.6,27.0,,
255.0,260.0,prefill,5,0.0,0.0,0.0,0.0,,
260.0,265.0,decode,1,2.0,2.0,0.0,0.0,,
260.0,265.0,prefill,1,0.0,0.0,0.0,0.0,,
