bin,request_index_start,request_index_end,nominal_send_start_s,nominal_send_end_s,count,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms
1,1,160,0.0,5.0,160,7502.436142065562,14314.791099022841,15073.876219098454,,,,,,
2,161,320,5.0,10.0,160,22907.402445503976,29608.328405272914,30230.164065820863,,,,,,
3,321,480,10.0,15.0,160,38444.011715531815,45216.26633233391,45745.471340242075,,,,,,
4,481,640,15.0,20.0,160,53724.75217352621,60636.94320585346,61177.55580681958,,,,,,
5,641,800,20.0,25.0,160,62897.946264536586,63454.78892043466,63643.65175323328,,,,,,
6,801,960,25.0,30.0,160,62851.50025651092,63043.414215772646,63424.64787074481,,,,,,
7,961,1120,30.0,35.0,160,62873.557489481755,62897.90973929921,62902.63635703828,,,,,,
8,1121,1280,35.0,40.0,160,62914.12026854232,62923.665426601656,62932.59877372999,,,,,,
9,1281,1440,40.0,45.0,160,62932.04507394694,62943.79605274298,62948.79919078434,,,,,,
10,1441,1600,45.0,50.0,160,62836.764152976684,62911.26201102161,62921.669895342784,,,,,,
11,1601,1760,50.0,55.0,160,62631.40711496817,62722.378572658636,62730.3398836893,,,,,,
12,1761,1920,55.0,60.0,160,62442.9760229541,62526.49944554432,62535.23089683731,,,,,,
