proxy_start hostname=ganymede http=0.0.0.0:30161 registry=0.0.0.0:31161
registry_add role=decode http=10.1.0.3:33161 zmq=10.1.0.3:34161
registry_add role=prefill http=10.1.0.6:32161 zmq=10.1.0.6:34161
route count=28 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_25065274ead54c2ab4d0f9ffb1809fd3 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=29 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_b6ab71de8e504b12b4e465482929883b prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=30 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_c300e9216ae1470ea6116e8c101e0b41 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=31 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_c6a6e5e27d5849298e9a8c1b1c16db62 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=32 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_63f78cc0eb3045b0bc938ef83f5906cc prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=33 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_f8bc85d501f34ecb85e9368d66276383 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=34 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_807c9ef39524484c812ba734bcf41c7c prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=35 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_bde57258fa1e4c9f90f47ec7f38839fb prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=36 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_c07c2ee23cdc48fe86a9e970bf1fdd48 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=37 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_6c1fdf9a0d36476aa22c34e8571685b8 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=38 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_305df706b1504718882f188e07990066 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=39 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_57acb5ed4fe44e12930872361ba9785c prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=40 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_c0c86468ff60475a94973b142cc15464 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=41 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_fc36f88381e945498b0ef4d33d4837b8 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=42 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_2f0036f0f5d74bdc9c95141693d0db5d prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=43 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_5c7911138952424ea0dd72ab173fe9c8 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=44 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_304ac434bac347a38ed7fb70f6b6987f prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=45 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_241c8ec03db34646b8dbfc6eb502a40d prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=46 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_cc4611b0aa864128a408906bad44e8fd prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=47 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_76b00455925947ada7d03696770772b6 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=48 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_6f36f4eb69164320b2e52cd40faeaaf0 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=49 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_288cf4764fb74c9ebd31f4d89ec706b7 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=50 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_229f47b817354058bbbdc01fe6b546c8 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=51 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_a6455565feed4f88b59ae33b050d0a30 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=52 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_cea4d541f3ef468bb49b8fec35cf8a22 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=53 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_7e9abd4f4c7f464aa91d5cd25a75bdd8 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=54 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_bd12e405bcaf4c0ea0cd04e9a645b6ab prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=55 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_5eaa62492cdd4adfb7d14544f10fcc0d prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=56 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_e6263ff5a9004e6b84b93add2eda22d9 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=57 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_aa4e2cf759aa4f3fa9493296953f2976 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=58 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_3af465bfcf38421585e6f005419341d8 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=59 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_2d336ef9b981473e92120c3fe5c74f71 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=60 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_11947a8ca6024edcb92829167458e9e1 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=61 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_88a8b20eadc843568e23de73a17af4d6 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=62 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_d5af9022523a4b8ea820cd5d2ff30e7f prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=63 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_fcea79efada4464da79d362915f0fe83 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=64 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_e06af25feba84035816e3d9152f4070e prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=65 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_79189bed9566467885539f079dcb27f4 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=66 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_35933aeefd474dcbb73d5aea129f8db2 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=67 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_838635a496ca43d4827133cfa2bc3228 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=68 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_c988631348694d58b1dc2dabb2ea4620 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=69 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_2c959d6c6bce49ecbbbb69480583de81 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=70 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_9d2a63eeb9204c5e8dc24f26ff77ff7b prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=71 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_5c576a6d874d42e2893e603673397743 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=72 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_792b021a6fc64452b47169b7b22beb1f prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=73 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_1b63dab73a224662b2f64c0b490e05c7 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=74 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_bc0cdfad0bbf44778054bb387ac920cc prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=75 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_57ebd8b636f04f4f9e114e46fef065f5 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=76 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_c458e1e26fb849439f1f738ad8a3eac1 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
route count=77 request_id=___prefill_addr_10.1.0.6:34161___decode_addr_10.1.0.3:34161_9511ee26dfc648bfa025491a88dac582 prefill_http=10.1.0.6:32161 decode_http=10.1.0.3:33161
clock_ack_publish node_group=neptune seq=4 target_mhz=1755 rc=0 observed_mhz=480
clock_ack_publish node_group=ganymede seq=4 target_mhz=990 rc=0 observed_mhz=1200
