scope,role,gross_energy_j,logical_requests,output_tokens,joules_per_request,joules_per_output_token,valid
D0,decode,705.461,4,512,176.36525,1.377853515625,True
D1,decode,1712.419,4,512,428.10475,3.344568359375,True
P0,prefill,1907.244,4,512,476.811,3.7250859375,True
P1,prefill,2394.938,4,512,598.7345,4.67761328125,True
P_pool,prefill,4302.182,4,512,1075.5455,8.40269921875,True
D_pool,decode,2417.88,4,512,604.47,4.722421875,True
all_GPU_boards,all,6720.062,4,512,1680.0155,13.12512109375,True
