actual_benchmark_duration_s,actual_failed_requests,actual_measured_saturated,actual_output_token_throughput_tps,actual_p99_itl_ms,actual_p99_tpot_ms,actual_p99_ttft_ms,actual_request_throughput_rps,actual_saturation_assessment,actual_successful_requests,actual_throughput_ratio,actual_total_token_throughput_tps,actual_tpot_slo_ok,actual_ttft_slo_ok,combined_avg_power_w,combined_energy_j,configured_request_rate_rps,decision_mode,decision_status,decode_ganymede_gpu_mem_clock_avg_mhz,decode_ganymede_gpu_mem_clock_max_mhz,decode_ganymede_gpu_mem_util_avg_pct,decode_ganymede_gpu_mem_util_max_pct,decode_ganymede_gpu_memory_used_avg_mib,decode_ganymede_gpu_memory_used_max_mib,decode_ganymede_gpu_power_avg_w,decode_ganymede_gpu_power_limit_avg_w,decode_ganymede_gpu_power_limit_max_w,decode_ganymede_gpu_power_max_w,decode_ganymede_gpu_pstate_mode,decode_ganymede_gpu_sm_clock_avg_mhz,decode_ganymede_gpu_sm_clock_max_mhz,decode_ganymede_gpu_sm_clock_min_mhz,decode_ganymede_gpu_temperature_avg_c,decode_ganymede_gpu_temperature_max_c,decode_ganymede_gpu_util_avg_pct,decode_ganymede_gpu_util_max_pct,decode_ganymede_network_rx_bytes,decode_ganymede_network_tx_bytes,decode_ganymede_samples,decode_ganymede_target_freq_mhz,decode_gpu,decode_predicted_p99_tpot_ms,decode_predicted_p_saturated,decode_target_freq_mhz,energy_per_request_j,input_len,num_candidates,num_safe,output_len,predicted_cluster_power_w,prefill_gpu,prefill_neptune_gpu_mem_clock_avg_mhz,prefill_neptune_gpu_mem_clock_max_mhz,prefill_neptune_gpu_mem_util_avg_pct,prefill_neptune_gpu_mem_util_max_pct,prefill_neptune_gpu_memory_used_avg_mib,prefill_neptune_gpu_memory_used_max_mib,prefill_neptune_gpu_power_avg_w,prefill_neptune_gpu_power_limit_avg_w,prefill_neptune_gpu_power_limit_max_w,prefill_neptune_gpu_power_max_w,prefill_neptune_gpu_pstate_mode,prefill_neptune_gpu_sm_clock_avg_mhz,prefill_neptune_gpu_sm_clock_max_mhz,prefill_neptune_gpu_sm_clock_min_mhz,prefill_neptune_gpu_temperature_avg_c,prefill_neptune_gpu_temperature_max_c,prefill_neptune_gpu_util_avg_pct,prefill_neptune_gpu_util_max_pct,prefill_neptune_network_rx_bytes,prefill_neptune_network_tx_bytes,prefill_neptune_samples,prefill_neptune_target_freq_mhz,prefill_predicted_p99_ttft_ms,prefill_predicted_p_saturated,prefill_target_freq_mhz,recommended_is_safe,seq,workload_id
14.19,0,,27.05,73.74,64.73,279.99,0.85,INCONCLUSIVE_FINITE_POISSON,12,0.85,53.26,True,True,98.970018,2849.757974,1.0,safe_min_power,OK,6251.0,6251.0,50.456522,100.0,18669.0,18677.0,36.597174,72.0,72.0,56.14,P0,360.0,360.0,360.0,42.456522,47.0,51.347826,100.0,59647506.0,2597907.0,46,360.0,l4,154.4,0.079869,360,237.479831,32,40,30,32,147.8,l40s,9001.0,9001.0,0.918367,34.0,37816.142857,37817.0,62.179592,350.0,350.0,72.51,P0,480.0,480.0,480.0,28.102041,29.0,1.326531,48.0,1081731.0,58297987.0,49,480.0,112.4,0.024298,480,True,1,steady_start
14.45,0,,106.3,83.3,69.33,434.02,3.32,INCONCLUSIVE_FINITE_POISSON,48,0.83,209.28,True,True,99.213583,3423.632879,4.0,safe_min_power,OK,6251.0,6251.0,45.418182,100.0,18688.309091,18713.0,35.329273,72.0,72.0,56.18,P0,360.0,360.0,360.0,45.363636,49.0,45.363636,100.0,219488042.0,4276170.0,55,360.0,l4,133.1,0.081364,360,71.325685,32,40,30,32,161.7,l40s,9001.0,9001.0,4.101695,29.0,37817.0,37817.0,63.822034,350.0,350.0,84.43,P0,210.0,210.0,210.0,28.559322,30.0,11.288136,88.0,848358.0,215933680.0,59,210.0,142.7,0.125887,210,True,2,short_ramp
14.25,0,,80.85,75.02,65.18,472.62,2.53,INCONCLUSIVE_FINITE_POISSON,36,0.843333,401.7,True,True,100.008924,3293.825771,3.0,safe_min_power,OK,6251.0,6251.0,46.442308,100.0,18746.769231,18821.0,36.639038,72.0,72.0,57.31,P0,570.0,570.0,570.0,47.576923,51.0,46.288462,100.0,654485449.0,3737277.0,52,570.0,l4,163.4,0.093087,570,91.49516,128,40,18,32,177.2,l40s,9001.0,9001.0,3.368421,46.0,37823.280702,37835.0,63.188596,350.0,350.0,81.76,P0,480.0,480.0,480.0,29.140351,30.0,5.210526,71.0,1246396.0,650119134.0,57,480.0,181.0,0.023551,480,True,3,prefill_shift
21.64,0,,141.97,82.42,73.39,361.67,1.11,INCONCLUSIVE_FINITE_POISSON,24,0.555,176.36,True,True,101.973508,4766.994517,2.0,safe_min_power,OK,6251.0,6251.0,60.813333,100.0,18821.0,18821.0,41.375067,72.0,72.0,56.76,P0,360.0,360.0,360.0,50.066667,54.0,62.333333,100.0,113913387.0,4046902.0,75,360.0,l4,101.3,0.499969,360,198.624772,32,40,30,128,168.2,l40s,9001.0,9001.0,1.7125,42.0,37835.0,37835.0,60.468125,350.0,350.0,74.12,P0,210.0,210.0,210.0,29.0125,30.0,3.6625,90.0,502070.0,110343645.0,80,210.0,169.2,0.21824,210,True,4,decode_shift
14.24,0,,179.73,80.59,66.82,474.85,5.62,INCONCLUSIVE_FINITE_POISSON,80,0.7025,893.02,True,True,111.43491,3451.911993,8.0,overload_min_slo_violation,OVERLOAD_FALLBACK,6251.0,6251.0,50.816327,100.0,18864.306122,18933.0,39.251224,72.0,72.0,58.74,P0,780.0,780.0,780.0,51.877551,55.0,50.367347,100.0,1425594064.0,5220426.0,49,780.0,l4,212.8,0.404959,780,43.1489,128,40,0,32,205.6,l40s,9001.0,9001.0,7.584906,40.0,37845.0,37877.0,72.040189,350.0,350.0,98.32,P0,1755.0,1755.0,1755.0,30.433962,33.0,8.132075,41.0,2505806.0,1422910786.0,53,1755.0,90.6,0.122929,1755,False,5,sudden_burst
14.26,0,,53.85,76.99,66.25,451.49,1.68,INCONCLUSIVE_FINITE_POISSON,24,0.84,106.02,True,True,97.33967,3298.958062,2.0,safe_min_power,OK,6251.0,6251.0,46.296296,100.0,18933.0,18933.0,35.856667,72.0,72.0,56.83,P0,360.0,360.0,360.0,51.62963,55.0,46.277778,100.0,113864893.0,3946498.0,54,360.0,l4,133.4,0.079869,360,137.456586,32,40,30,32,148.7,l40s,9001.0,9001.0,0.413793,24.0,37877.0,37877.0,61.175,350.0,350.0,73.63,P0,210.0,210.0,210.0,29.5,30.0,0.87931,51.0,468104.0,110247359.0,58,210.0,129.2,0.108784,210,True,6,short_recovery
14.29,0,,53.73,77.87,68.23,621.74,1.68,INCONCLUSIVE_FINITE_POISSON,24,0.84,911.82,True,False,108.822135,3551.405552,2.0,overload_min_slo_violation,OVERLOAD_FALLBACK,6251.0,6251.0,46.153846,100.0,19122.615385,19393.0,37.119423,72.0,72.0,57.51,P0,570.0,570.0,570.0,52.019231,54.0,46.134615,100.0,1757710648.0,4411197.0,52,570.0,l4,666.9,0.16783,570,147.975231,512,40,0,32,190.8,l40s,9001.0,9001.0,1.214286,33.0,37927.785714,38081.0,71.103036,350.0,350.0,103.52,P0,1755.0,1755.0,1755.0,30.5,31.0,1.839286,45.0,1986577.0,1755432467.0,56,1755.0,168.2,0.024257,1755,False,7,long_prefill
22.0,0,,174.53,75.57,66.47,414.15,1.36,INCONCLUSIVE_FINITE_POISSON,30,0.453333,347.69,True,True,106.036363,5023.289229,3.0,safe_min_power,OK,6251.0,6251.0,62.162162,100.0,19393.0,19393.0,43.495676,72.0,72.0,59.08,P0,780.0,780.0,780.0,53.445946,57.0,62.162162,100.0,548337709.0,4538092.0,74,780.0,l4,100.4,0.514316,780,167.442974,128,40,9,128,205.3,l40s,9001.0,9001.0,1.280488,26.0,38081.0,38081.0,62.314024,350.0,350.0,80.24,P0,480.0,480.0,480.0,29.853659,30.0,1.573171,33.0,1043606.0,544826560.0,82,480.0,200.1,0.197373,480,True,8,mixed_pressure
14.19,0,,27.07,73.68,64.79,273.52,0.85,INCONCLUSIVE_FINITE_POISSON,12,0.85,53.29,True,True,98.887676,3053.823026,1.0,safe_min_power,OK,6251.0,6251.0,46.0,100.0,19393.0,19393.0,36.5946,72.0,72.0,57.41,P0,360.0,360.0,360.0,53.56,56.0,46.72,100.0,59721520.0,2689851.0,50,360.0,l4,154.4,0.079869,360,254.485252,32,40,30,32,147.8,l40s,9001.0,9001.0,2.396226,63.0,38081.0,38081.0,61.98717,350.0,350.0,76.82,P0,480.0,480.0,480.0,29.226415,30.0,2.754717,71.0,281215.0,57436612.0,53,480.0,112.4,0.024298,480,True,9,quiet_window
12.28,0,,52.12,84.55,68.79,744.48,1.63,INCONCLUSIVE_FINITE_POISSON,20,0.815,1718.3,True,False,122.46381,3980.108471,2.0,overload_min_slo_violation,OVERLOAD_FALLBACK,6251.0,6251.0,40.384615,100.0,19518.0,19833.0,35.736538,72.0,72.0,58.43,P0,780.0,780.0,780.0,53.019231,56.0,40.307692,100.0,2952281521.0,6380106.0,52,780.0,l4,1138.4,0.351247,780,199.005424,1024,40,0,32,251.4,l40s,9001.0,9001.0,2.527273,49.0,38111.545455,38291.0,86.615091,350.0,350.0,138.18,P0,2511.272727,2520.0,2235.0,31.672727,38.0,6.036364,65.0,2949410.0,2948736000.0,55,2520.0,309.9,0.024411,2520,False,10,prefill_peak
