unix_ns,monotonic_ns,event,client_request_id,internal_request_id,route_index,stage,upstream_url,http_status,bytes,prefill_http,decode_http,traceparent,error
1785364476172443072,989846215973303,proxy_complete,prefill_heavy-00026-a168bc489288,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00026-a168bc489288_c4f93c785c904884a142922f9d9d2afd,46,,,,,10.1.0.6:32327,10.1.0.3:33327,00-37f82e29e57445d2ab0e72128818ea00-65c403e3a2b04c25-01,
1785364476219900581,989846263431200,upstream_first_chunk,prefill_heavy-00030-ea2015a6f5d2,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00030-ea2015a6f5d2_8c36390a16794d398fb18391e9eb731f,50,decode,http://10.1.0.3:33327/v1/completions,200,378,,,00-68bacabcde9b4958a6ca56d82c33a0ab-98f7a71ab1164d00-01,
1785364476397304650,989846440834962,proxy_arrival,prefill_heavy-00031-1455b5955bc8,,,,,,,,,00-309453b54bb34ddeac9b35a9af9c305e-7fad72b7345c46c3-01,
1785364476400723113,989846444253655,proxy_route,prefill_heavy-00031-1455b5955bc8,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00031-1455b5955bc8_9f5300f17d87443ab0a79c114f415f13,51,,,,,10.1.0.6:32327,10.1.0.3:33327,00-309453b54bb34ddeac9b35a9af9c305e-7fad72b7345c46c3-01,
1785364476403280378,989846446809938,upstream_dispatch,prefill_heavy-00031-1455b5955bc8,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00031-1455b5955bc8_9f5300f17d87443ab0a79c114f415f13,51,prefill,http://10.1.0.6:32327/v1/completions,,,,,00-309453b54bb34ddeac9b35a9af9c305e-7fad72b7345c46c3-01,
1785364476413615804,989846457146346,upstream_headers,prefill_heavy-00031-1455b5955bc8,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00031-1455b5955bc8_9f5300f17d87443ab0a79c114f415f13,51,prefill,http://10.1.0.6:32327/v1/completions,200,,,,00-309453b54bb34ddeac9b35a9af9c305e-7fad72b7345c46c3-01,
1785364476569604657,989846613135075,upstream_first_chunk,prefill_heavy-00031-1455b5955bc8,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00031-1455b5955bc8_9f5300f17d87443ab0a79c114f415f13,51,prefill,http://10.1.0.6:32327/v1/completions,200,712,,,00-309453b54bb34ddeac9b35a9af9c305e-7fad72b7345c46c3-01,
1785364476573617924,989846617148529,upstream_complete,prefill_heavy-00031-1455b5955bc8,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00031-1455b5955bc8_9f5300f17d87443ab0a79c114f415f13,51,prefill,http://10.1.0.6:32327/v1/completions,200,712,,,00-309453b54bb34ddeac9b35a9af9c305e-7fad72b7345c46c3-01,
1785364476577221043,989846620750968,upstream_dispatch,prefill_heavy-00031-1455b5955bc8,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00031-1455b5955bc8_9f5300f17d87443ab0a79c114f415f13,51,decode,http://10.1.0.3:33327/v1/completions,,,,,00-309453b54bb34ddeac9b35a9af9c305e-7fad72b7345c46c3-01,
1785364476586224848,989846629754943,upstream_headers,prefill_heavy-00031-1455b5955bc8,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00031-1455b5955bc8_9f5300f17d87443ab0a79c114f415f13,51,decode,http://10.1.0.3:33327/v1/completions,200,,,,00-309453b54bb34ddeac9b35a9af9c305e-7fad72b7345c46c3-01,
