unix_ns,monotonic_ns,event,window_id,detail
1785364434874338040,989804917867388,window_start,baseline_short,"{""cancel_after_s"": ""0"", ""cancel_fraction"": ""0"", ""duration_s"": ""20"", ""input_tokens"": ""32"", ""inter_window_pause_s"": ""5"", ""max_concurrency"": ""16"", ""max_tokens"": ""32"", ""request_rate"": ""1"", ""retries"": ""1"", ""shared_prefix_tokens"": ""16"", ""timeout_s"": ""120"", ""window_id"": ""baseline_short""}"
1785364454874666304,989824918197082,sending_stopped,baseline_short,
1785364455873421736,989825916951832,window_end,baseline_short,
1785364455876214605,989825919744376,inter_window_pause_start,baseline_short,
1785364460882286770,989830925818125,inter_window_pause_end,baseline_short,
1785364460886097069,989830929628587,window_start,prefill_heavy,"{""cancel_after_s"": ""0"", ""cancel_fraction"": ""0"", ""duration_s"": ""30"", ""input_tokens"": ""1024"", ""inter_window_pause_s"": ""5"", ""max_concurrency"": ""32"", ""max_tokens"": ""32"", ""request_rate"": ""2"", ""retries"": ""1"", ""shared_prefix_tokens"": ""768"", ""timeout_s"": ""180"", ""window_id"": ""prefill_heavy""}"
1785364490886587558,989860930118190,sending_stopped,prefill_heavy,
1785364492566329515,989862609859673,window_end,prefill_heavy,
1785364492570857672,989862614387637,inter_window_pause_start,prefill_heavy,
1785364497578114443,989867621645985,inter_window_pause_end,prefill_heavy,
1785364497581953716,989867625484628,window_start,decode_heavy,"{""cancel_after_s"": ""0"", ""cancel_fraction"": ""0"", ""duration_s"": ""30"", ""input_tokens"": ""32"", ""inter_window_pause_s"": ""5"", ""max_concurrency"": ""32"", ""max_tokens"": ""256"", ""request_rate"": ""2"", ""retries"": ""1"", ""shared_prefix_tokens"": ""16"", ""timeout_s"": ""240"", ""window_id"": ""decode_heavy""}"
1785364527583001924,989897626532347,sending_stopped,decode_heavy,
1785364546046887168,989916090417473,window_end,decode_heavy,
1785364546050559600,989916094089870,inter_window_pause_start,decode_heavy,
1785364551057357273,989921100888618,inter_window_pause_end,decode_heavy,
1785364551061136295,989921104667454,window_start,timeout_retry_probe,"{""cancel_after_s"": ""0"", ""cancel_fraction"": ""0"", ""duration_s"": ""5"", ""input_tokens"": ""32"", ""inter_window_pause_s"": ""5"", ""max_concurrency"": ""16"", ""max_tokens"": ""128"", ""request_rate"": ""2"", ""retries"": ""1"", ""shared_prefix_tokens"": ""16"", ""timeout_s"": ""0.05"", ""window_id"": ""timeout_retry_probe""}"
1785364556062002170,989926105533108,sending_stopped,timeout_retry_probe,
1785364556065971770,989926109502517,window_end,timeout_retry_probe,
1785364556069458756,989926112989058,inter_window_pause_start,timeout_retry_probe,
1785364561071385140,989931114916418,inter_window_pause_end,timeout_retry_probe,
1785364561075161206,989931118692018,window_start,queue_pressure,"{""cancel_after_s"": ""0.25"", ""cancel_fraction"": ""0.02"", ""duration_s"": ""30"", ""input_tokens"": ""32"", ""inter_window_pause_s"": ""0"", ""max_concurrency"": ""512"", ""max_tokens"": ""32"", ""request_rate"": ""32"", ""retries"": ""1"", ""shared_prefix_tokens"": ""16"", ""timeout_s"": ""240"", ""window_id"": ""queue_pressure""}"
1785364591075766734,989961119297003,sending_stopped,queue_pressure,
1785364612768443989,989982811974026,window_end,queue_pressure,
1785364612778076709,989982821607273,window_start,recovery_short,"{""cancel_after_s"": ""0"", ""cancel_fraction"": ""0"", ""duration_s"": ""20"", ""input_tokens"": ""32"", ""inter_window_pause_s"": ""0"", ""max_concurrency"": ""16"", ""max_tokens"": ""32"", ""request_rate"": ""1"", ""retries"": ""1"", ""shared_prefix_tokens"": ""16"", ""timeout_s"": ""120"", ""window_id"": ""recovery_short""}"
1785364632778887576,990002822418422,sending_stopped,recovery_short,
1785364633838979285,990003882509738,window_end,recovery_short,
