unix_ns,monotonic_ns,role,endpoint,metric,labels_json,value
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:prompt_tokens_created,"{""engine"": ""0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",1785364431.9312494
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:generation_tokens_total,"{""engine"": ""0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:generation_tokens_created,"{""engine"": ""0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",1785364431.9312735
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_success_total,"{""engine"": ""0"", ""finished_reason"": ""stop"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_success_total,"{""engine"": ""0"", ""finished_reason"": ""length"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_success_total,"{""engine"": ""0"", ""finished_reason"": ""abort"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_success_total,"{""engine"": ""0"", ""finished_reason"": ""error"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_success_created,"{""engine"": ""0"", ""finished_reason"": ""stop"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",1785364431.9313183
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_success_created,"{""engine"": ""0"", ""finished_reason"": ""length"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",1785364431.9313357
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_success_created,"{""engine"": ""0"", ""finished_reason"": ""abort"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",1785364431.9313507
