decision_id,workload,axis,iteration,low_index_before,high_index_before,candidate_index,candidate_frequency_mhz,P0_target_mhz,P1_target_mhz,D0_target_mhz,D1_target_mhz,probe_window_ids_json,feedback_p99_ttft_ms_json,feedback_p99_tpot_ms_json,feedback_slo_violations_json,feedback_joules_per_request_json,feasible,decision,low_index_after,high_index_after,next_interval_frequency_mhz_json
small_light-P-binary-01,small_light,P,1,0,16,8,1710,1710,1710,1500,1500,"[""005-small_light-P_search-r01"", ""006-small_light-P_search-r02""]","[201.5702470089309, 202.77969597373158]","[56.0737457301926, 56.12676966628651]","[0, 0]","[487.72837499999997, 488.7584375]",True,SEARCH_LOWER_HALF,0,8,"[900, 1710]"
small_light-P-binary-02,small_light,P,2,0,8,4,1305,1305,1305,1500,1500,"[""007-small_light-P_search-r01"", ""008-small_light-P_search-r02""]","[206.60650898935273, 207.12504599941894]","[56.15970133323341, 56.0379406032596]","[0, 0]","[485.0515625, 485.000625]",True,SEARCH_LOWER_HALF,0,4,"[900, 1305]"
small_light-P-binary-03,small_light,P,3,0,4,2,1110,1110,1110,1500,1500,"[""009-small_light-P_search-r01"", ""010-small_light-P_search-r02""]","[214.06572504201904, 201.34608302032575]","[56.020869285843915, 56.018973571351836]","[0, 0]","[483.2715625, 483.04724999999996]",True,SEARCH_LOWER_HALF,0,2,"[900, 1110]"
small_light-P-binary-04,small_light,P,4,0,2,1,1005,1005,1005,1500,1500,"[""011-small_light-P_search-r01"", ""012-small_light-P_search-r02""]","[204.50179401086643, 212.18841499648988]","[56.05667652395953, 56.052304698996956]","[0, 0]","[482.420625, 481.2004375]",True,SEARCH_LOWER_HALF,0,1,"[900, 1005]"
small_light-P-binary-05,small_light,P,5,0,1,0,900,900,900,1500,1500,"[""013-small_light-P_search-r01"", ""014-small_light-P_search-r02""]","[214.27354001207277, 215.41364496806636]","[56.067727079304554, 56.05309609497439]","[0, 0]","[479.0193125, 480.916375]",True,SEARCH_LOWER_HALF,0,0,"[900, 900]"
small_light-D-binary-01,small_light,D,1,0,14,7,975,900,900,975,975,"[""015-small_light-D_search-r01"", ""016-small_light-D_search-r02""]","[215.5773679842241, 216.32487000897527]","[56.75805850778633, 56.79416753968874]","[0, 0]","[453.641375, 450.930125]",True,SEARCH_LOWER_HALF,0,7,"[450, 975]"
small_light-D-binary-02,small_light,D,2,0,7,3,675,900,900,675,675,"[""017-small_light-D_search-r01"", ""018-small_light-D_search-r02""]","[213.18808995420113, 212.92202098993585]","[57.52182417523323, 57.520652222188396]","[0, 0]","[453.6953125, 452.2388125]",True,SEARCH_LOWER_HALF,0,3,"[450, 675]"
small_light-D-binary-03,small_light,D,3,0,3,1,525,900,900,525,525,"[""019-small_light-D_search-r01"", ""020-small_light-D_search-r02""]","[232.10021300474182, 210.59900900581852]","[58.246665270186014, 58.26160711114339]","[0, 0]","[456.795125, 455.917875]",True,SEARCH_LOWER_HALF,0,1,"[450, 525]"
small_light-D-binary-04,small_light,D,4,0,1,0,450,900,900,450,450,"[""021-small_light-D_search-r01"", ""022-small_light-D_search-r02""]","[216.15987899713218, 209.16255400516093]","[58.90086363531679, 58.900146254537894]","[0, 0]","[458.1606875, 458.55162499999994]",True,SEARCH_LOWER_HALF,0,0,"[450, 450]"
small_light-confirm-00,small_light,JOINT_CONFIRMATION,1,,,,,900,900,450,450,"[""023-small_light-confirmation-r01"", ""024-small_light-confirmation-r02"", ""025-small_light-confirmation-r03"", ""026-small_light-confirmation-r04"", ""027-small_light-confirmation-r05""]","[220.7895049941726, 214.68350297072902, 218.91956799663603, 222.98914100974798, 218.4400290134363]","[58.88009831745414, 58.89255379322946, 58.87936490462235, 58.93340488869904, 58.94845896788562]","[0, 0, 0, 0, 0]","[459.357625, 459.2305625, 458.63712499999997, 459.4595625, 459.427]",True,ACCEPT_FINAL,,,[]
