workload,outcome_status,slo_feasible,P_pool_selected_frequency_mhz,D_pool_selected_frequency_mhz,P0_grid_index,D0_grid_index,baseline_high_joules_per_request_mean,baseline_high_joules_per_request_std,selected_joules_per_request_mean,selected_joules_per_request_std,energy_savings_vs_high_fraction,evaluation_p99_ttft_ms_max,evaluation_p99_tpot_ms_max,evaluation_slo_violation_count,evaluation_observed_peak_concurrency_min,evaluation_achieved_throughput_rps_mean,evaluation_slo_goodput_rps_mean,all_evaluation_routes_balanced,evaluation_window_count,confirmation_attempt,all_evaluation_evidence_valid
both_heavy,CONFIRMED_SLO_SAFE,True,900,450,0,0,1100.8866875,2.144692551538483,932.0494625,1.8679729836317438,0.15336476216586103,273.91138003440574,60.29105877941914,0,2,0.25255600677371703,0.25255600677371703,True,5,0,False
decode_heavy,CONFIRMED_SLO_SAFE,True,900,450,0,0,2157.1519375,6.253022670014764,1805.2899,1.4552655501606266,0.1631141652023757,223.4636510256678,59.13360212934112,0,2,0.13100999359422116,0.13100999359422116,True,5,0,False
prefill_heavy,CONFIRMED_SLO_SAFE,True,2520,1050,16,8,639.2606458333333,1.2417994288993457,614.3522624999999,1.5115627270260314,0.038964362182600965,492.28822998702526,59.68184834937492,0,2,0.47208461002485524,0.47208461002485524,True,5,0,False
small_light,CONFIRMED_SLO_SAFE,True,900,450,0,0,546.3165833333334,2.6697537663944,459.222375,0.33875007783672273,0.15942076625595147,222.98914100974798,58.94845896788562,0,2,0.5095785258291562,0.5095785258291562,True,5,0,False
