exp,pool,tp,freq_mhz,l4_freq_mhz,il,ol,rate_configured_rps,req_throughput_rps,throughput_tps,p99_ttft_ms,p99_tpot_ms,saturated,slo_tight_ok,slo_moderate_ok,slo_loose_ok
A,l40s,1,1245,,64,2048,5.0,0.41,869.63,127.41,35.28,true,true,true,true
A,l40s,2,1245,,1024,128,10.0,6.6,7595.2,1024.59,70.75,true,false,false,false
A,l40s,2,1245,,128,1024,10.0,2.29,2632.07,102.25,23.67,true,true,true,true
A,l40s,2,1245,,128,128,20.0,16.72,4264.67,85.29,18.15,true,true,true,true
A,l40s,2,1245,,64,2048,10.0,0.98,2072.17,110.11,28.38,true,true,true,true
A,l40s,4,1245,,1024,128,10.0,7.98,9185.45,795.08,57.81,true,false,false,true
A,l40s,4,1245,,128,1024,10.0,2.69,3095.21,96.45,20.46,true,true,true,true
A,l40s,4,1245,,128,128,20.0,17.26,4401.22,82.01,16.84,true,true,true,true
A,l40s,4,1245,,64,2048,10.0,1.22,2578.22,103.5,22.97,true,true,true,true
A,l40s,1,1500,,1024,128,10.0,5.56,6405.03,947.25,82.42,true,false,false,true
A,l40s,1,1500,,1024,128,20.0,5.7,6555.02,2596.4,80.26,true,false,false,false
A,l40s,1,1500,,1024,128,5.0,4.48,5152.85,381.22,48.25,true,false,true,true
A,l40s,1,1500,,128,1024,10.0,1.47,1690.0,128.14,36.45,true,true,true,true
A,l40s,1,1500,,128,1024,20.0,1.47,1693.56,167.0,36.54,true,true,true,true
A,l40s,1,1500,,128,1024,5.0,0.98,1126.8,116.12,29.16,true,true,true,true
A,l40s,1,1500,,128,128,10.0,8.65,2206.03,104.66,27.12,true,true,true,true
A,l40s,1,1500,,128,128,2.0,1.95,496.08,91.94,22.6,false,true,true,true
A,l40s,1,1500,,128,128,20.0,13.62,3474.03,117.23,29.07,true,true,true,true
A,l40s,1,1500,,128,128,30.0,13.73,3501.47,119.21,29.02,true,true,true,true
A,l40s,1,1500,,128,128,5.0,4.67,1190.09,91.31,24.38,false,true,true,true
A,l40s,1,1500,,128,128,50.0,14.02,3574.44,118.87,28.77,true,true,true,true
A,l40s,1,1500,,128,512,10.0,3.23,2062.24,129.13,32.15,true,true,true,true
A,l40s,1,1500,,128,512,20.0,3.27,2086.4,129.82,32.13,true,true,true,true
A,l40s,1,1500,,128,512,30.0,3.27,2090.16,133.16,32.16,true,true,true,true
A,l40s,1,1500,,128,512,5.0,2.08,1330.29,106.19,26.89,true,true,true,true
A,l40s,1,1500,,512,128,10.0,8.51,5439.15,123.54,32.33,true,true,true,true
A,l40s,1,1500,,512,128,20.0,11.59,7408.67,140.6,35.45,true,true,true,true
A,l40s,1,1500,,512,128,30.0,11.74,7503.06,140.99,35.43,true,true,true,true
A,l40s,1,1500,,512,128,5.0,4.63,2959.67,187.68,32.97,false,true,true,true
A,l40s,1,1500,,64,2048,10.0,0.62,1302.09,184.88,44.71,true,true,true,true
A,l40s,1,1500,,64,2048,5.0,0.44,929.43,116.45,32.86,true,true,true,true
A,l40s,2,1500,,1024,128,10.0,9.09,10466.47,85.72,18.67,false,true,true,true
A,l40s,2,1500,,1024,128,20.0,15.56,17909.9,127.78,25.82,true,true,true,true
A,l40s,2,1500,,1024,128,5.0,4.78,5498.41,188.77,21.49,false,true,true,true
A,l40s,2,1500,,128,1024,10.0,2.47,2839.05,94.78,21.74,true,true,true,true
A,l40s,2,1500,,128,1024,20.0,2.49,2864.8,98.6,21.7,true,true,true,true
A,l40s,2,1500,,128,1024,5.0,1.67,1926.13,70.67,16.97,true,true,true,true
A,l40s,2,1500,,128,128,10.0,9.23,2352.93,64.78,14.24,false,true,true,true
A,l40s,2,1500,,128,128,2.0,1.97,502.1,64.01,12.8,false,true,true,true
A,l40s,2,1500,,128,128,20.0,16.89,4306.43,76.79,16.76,true,true,true,true
A,l40s,2,1500,,128,128,30.0,21.94,5593.94,90.51,18.04,true,true,true,true
A,l40s,2,1500,,128,128,5.0,4.81,1225.86,55.48,12.91,false,true,true,true
A,l40s,2,1500,,128,128,50.0,22.58,5758.39,92.6,18.04,true,true,true,true
A,l40s,2,1500,,128,512,10.0,5.33,3403.58,94.38,19.49,true,true,true,true
A,l40s,2,1500,,128,512,20.0,5.41,3456.62,91.12,19.48,true,true,true,true
A,l40s,2,1500,,128,512,30.0,5.44,3478.05,93.13,19.45,true,true,true,true
A,l40s,2,1500,,128,512,5.0,3.5,2234.66,67.03,15.71,true,true,true,true
A,l40s,2,1500,,512,128,10.0,9.17,5861.72,69.27,15.9,false,true,true,true
A,l40s,2,1500,,512,128,20.0,16.51,10550.45,92.56,20.75,true,true,true,true
A,l40s,2,1500,,512,128,30.0,19.18,12257.97,107.4,21.46,true,true,true,true
A,l40s,2,1500,,512,128,5.0,4.79,3062.39,134.03,17.5,false,true,true,true
A,l40s,2,1500,,64,2048,10.0,1.07,2257.86,116.84,25.85,true,true,true,true
A,l40s,2,1500,,64,2048,5.0,0.76,1604.65,86.27,19.02,true,true,true,true
A,l40s,4,1500,,1024,128,10.0,9.36,10769.36,74.66,13.49,false,true,true,true
A,l40s,4,1500,,1024,128,20.0,16.87,19412.25,99.76,19.45,true,true,true,true
A,l40s,4,1500,,1024,128,5.0,4.84,5569.75,158.83,15.17,false,true,true,true
A,l40s,4,1500,,128,1024,10.0,2.96,3411.82,86.07,18.37,true,true,true,true
A,l40s,4,1500,,128,1024,20.0,3.0,3458.42,89.4,18.32,true,true,true,true
A,l40s,4,1500,,128,1024,5.0,2.13,2446.62,67.52,13.43,true,true,true,true
A,l40s,4,1500,,128,128,10.0,9.44,2407.42,62.36,11.02,false,true,true,true
A,l40s,4,1500,,128,128,2.0,1.98,504.56,60.57,9.22,false,true,true,true
A,l40s,4,1500,,128,128,20.0,17.48,4458.09,76.54,15.26,true,true,true,true
A,l40s,4,1500,,128,128,30.0,23.82,6073.11,87.74,16.41,true,true,true,true
A,l40s,4,1500,,128,128,5.0,4.86,1240.55,48.12,9.66,false,true,true,true
A,l40s,4,1500,,128,128,50.0,25.33,6458.74,95.89,16.41,true,true,true,true
A,l40s,4,1500,,128,512,10.0,6.15,3930.01,85.73,17.15,true,true,true,true
A,l40s,4,1500,,128,512,20.0,6.3,4025.59,89.07,17.12,true,true,true,true
A,l40s,4,1500,,128,512,30.0,6.35,4058.55,89.85,17.11,true,true,true,true
A,l40s,4,1500,,128,512,5.0,4.24,2706.53,68.64,12.61,true,true,true,true
A,l40s,4,1500,,512,128,10.0,9.41,6012.93,63.15,11.93,false,true,true,true
A,l40s,4,1500,,512,128,20.0,17.21,10999.21,85.51,16.81,true,true,true,true
A,l40s,4,1500,,512,128,30.0,22.07,14105.25,95.17,18.23,true,true,true,true
A,l40s,4,1500,,512,128,5.0,4.85,3100.25,124.87,12.78,false,true,true,true
A,l40s,4,1500,,64,2048,10.0,1.35,2857.65,94.03,20.55,true,true,true,true
A,l40s,4,1500,,64,2048,5.0,1.0,2103.55,71.51,14.53,true,true,true,true
A,l40s,1,1755,,1024,128,10.0,6.1,7016.5,666.77,74.53,true,false,false,true
A,l40s,1,1755,,1024,128,20.0,6.26,7208.27,1904.02,72.42,true,false,false,false
A,l40s,1,1755,,1024,128,5.0,4.53,5218.23,318.86,44.26,false,false,true,true
A,l40s,1,1755,,128,1024,10.0,1.54,1768.42,143.0,34.64,true,true,true,true
A,l40s,1,1755,,128,1024,20.0,1.54,1774.96,155.6,34.67,true,true,true,true
A,l40s,1,1755,,128,1024,5.0,1.02,1169.38,109.61,27.99,true,true,true,true
A,l40s,1,1755,,128,128,10.0,8.68,2212.67,102.28,26.26,true,true,true,true
A,l40s,1,1755,,128,128,2.0,1.95,496.26,92.49,22.21,false,true,true,true
A,l40s,1,1755,,128,128,20.0,13.93,3550.9,114.74,28.13,true,true,true,true
A,l40s,1,1755,,128,128,30.0,14.13,3601.93,132.36,28.07,true,true,true,true
A,l40s,1,1755,,128,128,5.0,4.67,1191.05,89.96,23.85,false,true,true,true
A,l40s,1,1755,,128,128,50.0,14.31,3648.45,116.88,28.07,true,true,true,true
A,l40s,1,1755,,128,512,10.0,3.34,2137.25,126.23,30.85,true,true,true,true
A,l40s,1,1755,,128,512,20.0,3.38,2158.28,124.39,30.83,true,true,true,true
A,l40s,1,1755,,128,512,30.0,3.39,2164.75,130.87,30.84,true,true,true,true
